trait,attribute,family
form,"large, blunt-nosed",amphisbaenidae
head segments,without fusion,amphisbaenidae
adult color,unicolored,amphisbaenidae
segments to a midbody annulus,high number,amphisbaenidae
caudal autotomy constriction,lacking,amphisbaenidae
body annuli,198-248,amphisbaenidae
caudal annuli,13-21,amphisbaenidae
segments per midbody annulus,65-85,amphisbaenidae
precloacal pores,four to 10,amphisbaenidae
preserved specimen color,"yellow-tan, brown, or brownish pink dorsally, slightly lighter ventrally",amphisbaenidae
rostral,azygous,amphisbaenidae
cephalic shields,three pairs,amphisbaenidae
supralabials,4,amphisbaenidae
infralabials,3,amphisbaenidae
temporal (postocular) segments,varying in number,amphisbaenidae
mental,t-shaped,amphisbaenidae
postmental,"heart-shaped, slightly larger",amphisbaenidae
postgenial row segment,2-3,amphisbaenidae
postmalars,12-15,amphisbaenidae
snout,"blunt, flattened slightly dorsoventrally, oval in cross section",amphisbaenidae
temporal muscles,bulging away from the skull,amphisbaenidae
dorsal half-annuli,one to two,amphisbaenidae
the first body annulus,after the first or second body annulus,amphisbaenidae
ventral groove,indicated mainly as a gap between aligned segments,amphisbaenidae
lateral grooves,"well defined, starting gradually after the first fifth of the body",amphisbaenidae
dorsal segments,much narrower than long,amphisbaenidae
ventral segments,square at midbody,amphisbaenidae
precloacal pores,in a single uninterrupted row,amphisbaenidae
precloacals,"more than 10 elongate, parallel-sided segments",amphisbaenidae
postcloacals,"two to four enlarged segments, flanked on each side by a group of very narrow segments",amphisbaenidae
cloaca,may be entirely prolapsed,amphisbaenidae
tail,constant diameter up to the blunt end,amphisbaenidae
total length,193 mm maximum,amphisbaenidae
preanal pores,two,amphisbaenidae
body annuli,156-170,amphisbaenidae
tail annuli,18-20,amphisbaenidae
autotomy level,between third and fourth or between fourth and fifth caudal annuli,amphisbaenidae
segments to a mid-body annulus,14-16,amphisbaenidae
body shape,moderately stocky,amphisbaenidae
tail shape,slightly clavate,amphisbaenidae
medio-ventral segments,once and a half as wide as long,amphisbaenidae
preanal pores,"two, very small",amphisbaenidae
preanal scales,"six, the outer ones very small",amphisbaenidae
autotomy constriction,between the third and fourth or the fourth and fifth tail annuli,amphisbaenidae
back color,lustrous brown with slightly lighter intersegmental sutures,amphisbaenidae
belly appearance,varies from practically white to a brown checkerboard,amphisbaenidae
ventral aspect of the tail,"a checkerboard, or may present longitudinal series of 5-10 light segments, or still be almost white",amphisbaenidae
"rostral, nasals, upper labials and chin region",smudgy rose-colored,amphisbaenidae
postrostral head shields,paired,amphisbaenidae
head,"elongate, acutely pointed, terminating in a narrow, faintly spatulate tip",amphisbaenidae
tail,"short, conically reduced",amphisbaenidae
body annuli,190 to 215 (occasionally to 253),amphisbaenidae
caudal annuli,12 to 18,amphisbaenidae
dorsal segments,20 to 31,amphisbaenidae
ventral segments,21 to 30,amphisbaenidae
precloacal pores,"four, rarely three, five, or six",amphisbaenidae
living specimens' color,"brownish above, lighter below, with reddish purple overtones",amphisbaenidae
head segments,no major fusions,amphisbaenidae
body annuli,210 to 253,amphisbaenidae
