trait,attribute,family
enlarged ventral scales,do not extend the entire width of the venter,boidae
scales on the top of the head,no enlarged,boidae
subcaudal scales,mostly entire,boidae
dorsal scales,"more than 60 rows at midbody, smooth",boidae
adult size,huge,boidae
male's tail and hemipenis,much longer,boidae
dorsal body bloches,20-21,boidae
longitudinal mid-dorsal band,without projections to the eyes,boidae
head and body coloration,darker,boidae
tail color in adults,lacking tan or red,boidae
red coloration on the tail,lack of red,boidae
midbody scale rows,"a maximum of 76, usually fewer",boidae
body pattern,darker,boidae
head in adults,"grey, black-spotted",boidae
ventral count,246-252,boidae
tail,much longer,boidae
ventral coloration,lack of melanistic,boidae
middorsal scale rows,fewer than 86,boidae
overall coloration,darker,boidae
number of subcaudals,greater than 43-52,boidae
dorsal body saddles,fewer than 22,boidae
snout,prominent,boidae
canthus,convex,boidae
dorsal scale rows at midbody,65 to 75,boidae
ventrals,270 to 288,boidae
"distinct, subrectangular, dark dorsal saddles",27 to 31,boidae
dorsal ground color,rich brown,boidae
venter,white with black or grey spotting pronounced,boidae
subocular stripe,distinct and complete,boidae
loreal stripe,largely obsolete,boidae
chin and infralabials,dark pigment,boidae
facial stripes,not closely corresponding,boidae
mineralized internarial septum,only a small fenestra,boidae
postorbital and frontal,broadly separated by the parietal,boidae
distal border of the optic foramen,formed mostly by the parietal,boidae
anterior margin,formed by the frontal,boidae
apex of the coronoid,extends well above the surangular,boidae
lateroventral ledge of the surangular,restricted to the anterior region,boidae
posterior trunk intercostal arteries,supply one body segment each,boidae
hemipenis,"with longitudinal flounce, sulcus terminating below the tips of the arms",boidae
rostral,as broad as deep,boidae
small shields,two or three pairs,boidae
upper surface of the head,"covered with small, convex, tubercular scales",boidae
scales above the eye,may coalesce to form a supraocular shield,boidae
scales across the forehead,8 to 11,boidae
upper labials,13 to 15,boidae
lower labials,deeply pitted,boidae
scales,41 to 53 rows,boidae
ventrals,200-234,boidae
subcaudals,30-48,boidae
coloration,brown or olive above,boidae
dark brown spots,"large, roundish or rhomboidal, with yellow centre and border",boidae
oblique dark brown streak,on each side from the eye to the angle of the mouth,boidae
lower parts,"yellow, uniform or with small brown spots",boidae
total length,1300 millim,boidae
tail,130,boidae
shields between frontal and large rostral,3 pairs,boidae
azygous prefrontal,added,boidae
azygous shields,one or two,boidae
preocular,single,boidae
supraoculars,two,boidae
post-oculars,"2 on each side, 2-3 in three specimens, 3-3 in one",boidae
temporals in the first row,3 or 4,boidae
temporals in the second row,4 or 5,boidae
upper labials,8,boidae
lower labials,11-Sep,boidae
scale formula,between 28-35-28 and 26-32-25,boidae
ventrals,221 to 234,boidae
subcaudals,19 to 27,boidae
claws at each corner of the base,externally visible only in the males,boidae
general color,dark brown,boidae
irregular markings,lighter,boidae
sides,yellowish pink,boidae
venter,"brown, marked with pink",boidae
tip of head and tail,nearly black,boidae
white band around tail,20 nim. from its tip,boidae
iris,brown,boidae
pupil,vertically elongate,boidae
