trait,attribute,family
dark blotches,"highly contrasted, large, with usually ragged edges",Pythonidae
body size,larger (max. SVL 1220 mm),Pythonidae
ventrals,higher number (249�280),Pythonidae
pattern,blotched,Pythonidae
blotches,more ragged edges,Pythonidae
prefrontal scales,never having less than four,Pythonidae
SVL,maximum recorded of 1220 mm,Pythonidae
tail length,Maximum recorded is 112 mm and on average 0.094 of the SVL,Pythonidae
head length,on average 0.036 of the SVL,Pythonidae
head width,on average 1.68 times the head width,Pythonidae
mid-body girth,"Maximum recorded is 140 mm, and on average 2.04 times thicker than the neck",Pythonidae
frontal scale,One large roughly hexagonal or pentagonal,Pythonidae
parietal scales,two,Pythonidae
supraocular,one large above each eye,Pythonidae
prefrontal scales,"four large, with sometimes one additional small scale between them",Pythonidae
supralabials,"9-12, with an average of 10.5",Pythonidae
infralabials,"11�14, with an average of 12.9",Pythonidae
heat pits,three to four,Pythonidae
preocular scales,"single, large, anteriorly pointed",Pythonidae
loreal scales,1�11 irregularly sized,Pythonidae
postocular scales,two to four,Pythonidae
Ventral scales,"transversally elongated shields, ranging in number from 249 to 280",Pythonidae
Anal scale,single (undivided),Pythonidae
Subcaudal scales,range from 37 to 46 with an average of 41.2,Pythonidae
Background colouration,"greyish brown, light sandy colour, and a more reddish ochre",Pythonidae
spots or blotches,"much darker, from chocolate brown to a reddish dark brown",Pythonidae
Spots,ragged edges and irregular in shape,Pythonidae
skin sheen,slightly iridescent,Pythonidae
dark blotches,"highly contrasted, large, with usually ragged edges",Pythonidae
body size,larger (max. SVL 1320 mm),Pythonidae
ventrals,higher number (252�287),Pythonidae
prefrontal scales,never having less than four,Pythonidae
postocular scales,never having less than three,Pythonidae
Apodora papuana/Liasis olivaceus,large brown elongated,Pythonidae
ventral scales,high counts of,Pythonidae
A. papuana,"remarkable ability to change the colour of its head, eyes, and body",Pythonidae
neural spine on the vertebrae of the neck and body,low,Pythonidae
skin,darkly pigmented,Pythonidae
lining of the mouth and cloaca,darkly pigmented,Pythonidae
tongue,extremely long and deeply forked,Pythonidae
Apodora,easily slough skin,Pythonidae
Apodora,thermoreceptive pits in the rostral,Pythonidae
eggs (Apodora),relatively larger,Pythonidae
rostral,two times as broad as deep,Pythonidae
internasals,one time and a half as long as broad,Pythonidae
frontal,about one time and one fourth as long as broad,Pythonidae
loreal,large,Pythonidae
praeocular,a very small subocular below it,Pythonidae
upper labials,"eleven upper labials, first to third with a groove, fifth and sixth entering the eye",Pythonidae
lower labials,three posterior lower labials grooved,Pythonidae
scales,65 rows,Pythonidae
ventrals,375,Pythonidae
subcaudals,"86, of which the first four are paired, the next four single, 65 paired and 13 single",Pythonidae
color,brown above,Pythonidae
head,with dark dots,Pythonidae
lower surface,yellowish-white,Pythonidae
length of head and body,330 mm,Pythonidae
tail,220 mm,Pythonidae
size,attains a length of 2 M,Pythonidae
premaxillary teeth,absent,Pythonidae
subcaudals,majority single,Pythonidae
sensory pits,absent on labials and rostral,Pythonidae
head shields,symmetrical,Pythonidae
nasal,entire,Pythonidae
parietals,fragmented,Pythonidae
ventrals,273-359,Pythonidae
subcaudals,43-69,Pythonidae
Anal scale,entire,Pythonidae
midbody scale rows,43-63,Pythonidae
