trait,count
1 or 2 temporals,1
10-14 segments on the midbody annulus,1
18-25 caudal annuli,1
1st upper labial,1
202-218 body annuli,1
3/3 supralabial shields,1
a. albocingulata,1
a. darwinii,1
a. hogei,1
a. manni,1
a. mensae,1
a. munoai,1
a. nigricauda,1
a. prunicolor,1
a. schmidti,1
a. slateri,1
a. talisiae,1
anal segments,1
anal shields,1
annuli divisions,1
annuli on body,1
annuli on tail,1
anterior centers of dorsal segments,2
anterior fused shield,1
anterior head shields,11
anterior medial genials,1
anterior part of the back,1
anterior suture,2
anterior suture of the second infralabial,1
anterior tip,1
anterior trunk,3
anterolateral region,1
autotomy,1
autotomy annuli,1
autotomy annulus,9
autotomy constriction,33
autotomy levei,3
autotomy level,13
autotomy site,12
azygous fusion,1
azygous head shield,1
azygous head shields,2
azygous median shield,2
azygous shield,9
basipterygoid processes,2
belly,1
blind suture,16
bluntly rounded first body annulus,1
body,1
body and chest,1
body annuli,140
body color,1
body length,1
body segments,2
body shape,3
bulbous snout,3
caudal annuli,97
caudal annuli from cloaca to conical spine,1
caudal autotomy,14
caudal autotomy constriction,1
caudal autotomy visible between 5 and 9 tail annuli,1
caudal rosette,1
caudal segments,1
caudal tip,1
central pair of preanal shields,1
checkered pattern,1
chin,5
chin and anterior ventral region,1
chin and varying portions of venter,2
chin segments,1
chin shields,3
chin-shield shape,1
chin-shields,3
chinshield,2
cloacal region,4
cloacal shield,1
cloacal shields,2
collagen fibers of the extracolumellar attachment,1
color,20
color of preserved specimens,1
color of the head and tail,1
color on the dorsal surface,1
color pattern,1
contour scales,2
countershading,8
crescent-shaped nostrils,2
crown shape,1
dark brown,1
darker pigment,1
darker specimens,1
distal tip of original tail,1
divided from the frontals,3
divisions of the annuli,2
dorsais,1
dorsal and ventral sulci,3
dorsal brown-purplish coloration,1
dorsal caudal cap,1
dorsal color,49
dorsal darkening,2
dorsal half-annuli,1
dorsal half-annulus,1
dorsal median head sutures,1
dorsal pigmentation,3
dorsal portions,1
dorsal portions of the seventh to eighth discrete dorsal half-annuli,1
dorsal scale count,1
dorsal scales,2
dorsal scatering,1
dorsal segments,82
dorsal segments of the trunk,1
dorsal segments/midbody annulus,11
dorsal shields,2
dorsal sulci,1
dorsal sulcus,2
dorsal surface,5
dorsal surface of the head,3
dorsal surface of the head and tail,2
dorsal surface of the tail,1
dorsal surfaces of the head and caudal region,1
dorsal surfaces of the head and tail,2
dorsum,2
dorsum color,15
edge marking,2
elongate nasals,1
elongated body,1
endplate,1
enlarged cephalic shields,1
enlarged malar shields,1
enlarged malars,1
enlarged pentagonal malars,1
enlarged trapezoidal malars,1
enormous first postocular supralabial,1
enormous temporal,1
eye,12
eye shape,5
eye shield,1
first and second infralabials,1
first and second postgenials,1
first dorsal half-annulus,2
first infralabial,4
first infralabials,2
first labial,2
first pair of parietals,2
first parietals,1
first postgenials,5
first postocular supralabial,9
first postsupralabial,5
first preocular supralabial,2
first row,2
first supralabial,5
first two body annuli,2
first upper labial,1
"first, second, and third infralabials",1
flanks and belly,1
four precloacal pores,4
fourth supralabial,2
frequency of dark segments,1
frontal,16
frontal and parietal,4
frontal shape,1
frontal shields,2
frontal size,1
frontal-parietal-occipital shield,1
frontal-parietal-occipital shields,1
frontalparietal-occipitals,1
frontals,19
frontals shape,2
fused head shields,1
general outline,2
genial,2
groove,1
gular region,2
gular shield,1
gulars,1
head,16
head and tail,1
head color,2
head profile,1
head scalation,1
head scales,3
head segmentation,6
head segments,1
head shape,34
head shield,1
head shields,30
heart-shaped postmental,2
hinder shield,1
inferiorly,1
infralabial shape,1
infralabial width,1
infralabials,36
intercalated dorsal half-annulus,4
interfrontal suture,1
interlabial sutures,1
internasal suture,1
interparietals,5
intersegmental and interannular sutures,1
intersegmental raphes,13
intersegmental sutures,8
juvenile color pattern,1
keel,2
labial shield,1
labials,2
large head shields,2
large mental,1
large parietals,1
large second supralabial,2
large temporal,1
last caudal annuli,1
lateral and ventral sulci,3
lateral annuli,6
lateral blind sutures,5
lateral countershading,3
lateral genials,1
lateral line,1
lateral lines,1
lateral ones of preanal shields,1
lateral pair of parietal shields,2
lateral pectoral shields,1
lateral portions of the medial postgenial,1
lateral postgenials,3
lateral sulci,14
lateral sulcus,5
lateral-most postmalars,3
laterals,2
light color extension,1
light coloration,2
lightening,1
longer snout,1
lower border of second labial shape,1
lower jaw,10
lower jaw insertion,1
lower labial,1
lower labial shape,3
lower labials,12
lower lip,1
malar,2
malar shields,2
malars,7
malars and second infralabials,1
mandibular symphysis,6
mandibulars,5
maxillaries,5
medial pectoral shields,1
medial segments/midbody annulus,1
median,1
median azygous shield,7
median pair of parietal shields,2
median scale sutures,2
median sutures,2
median sutures of the head,2
median ventral row,1
median ventral segments,4
mental,34
mental and first infralabials,1
mental quadrangular shape,3
mental quadrilateral,1
mental shape,1
mental width,1
midbody annulus,3
midbody segments,11
middorsal segments,2
midventral line,1
midventral segments,6
midventral segments of each annulus,13
midventral segments of the seventh annulus,1
midventral sulcus,2
mouth shape,3
narrow postcloacal edge,1
narrow segments,1
nasal,34
nasal and prefrontal,6
nasal fusion,1
nasal scale,2
nasal scales,2
nasal shape,4
nasal shield,2
nasal suture,17
"nasal, prefrontal, frontal, and preocular",1
nasal-prefrontal,2
nasals,20
nasals shape,1
nasals suture,1
naserostral suture,1
nostril,6
nostrils,4
nuchal band,1
nuchal constriction,5
nuchal intercalated dorsal half-annulus,1
nuchal region,3
nuchal segments,1
number of body annuli,1
number of caudal annuli,1
occipital,10
occipital shape,1
occipitals,16
occiput,1
ocular,46
ocular and second supralabial,1
ocular scale,2
ocular shape,4
ocular shields,2
oculars,8
oval shape,1
pair of small triangular occipitals,1
"paired ""prefrontals""",3
paired shields,2
"pairs of nasals, prefrontals, and frontals",1
pale ventral color,1
parierals,1
parietal,14
parietal and postocular head scales,1
parietal region,1
parietal series,1
parietal shape,2
parietal shield,1
parietal shields,3
parietal size,1
parietal-occipital,1
parietals,37
parietals and occipitals,1
parietals shape,2
parietals size,1
pattern,1
pectoral shields,2
pigment density,6
pigmentation,6
pigmentation of segments,1
point of tail,1
post-malar row,1
post-ocular,1
post-symphysial,1
postcloacal scales,4
postcloacal segments,2
postcloacals,2
posterior 15% of a segment,10
posterior aspect of keel,2
posterior color,1
posterior head shields,1
