species,body annuli,caudal annuli,autotomy,divisions of the annuli,nasal,color,tail,precloacal pores,lateral sulci,anal shields,eye,dorsal sulci,rostral,ventral sulci,frontal shield,infralabials,parietals,postmalar shields,SVL,supralabial shield,snout,chin shields,temporal shields,head shields,head length,head width,prefrontals,occipitals
Amphisbaena anaemariae,156-170,18-20,between third and fourth or between fourth and fifth caudal annuli,,,,slightly clavate,2,little marked,,,,,,,"4, the first small, the second very large, the third narrow and elongate, its posterior end sometimes pinched off to form a fourth lower labial",irregular,,193 mm,"4, second and third large, subequal",,,,,,,,irregular
Amphisbaena angustifrons,186-219,10-15,,14-17,rather long,darker dorsally than ventrally,dark violet,,,,,,,,,,,,,,,,1,,,,,
Amphisbaena arenaria,195,27,6,14/14,,uniform light yellow,cylindrical,4,,with 8 scales,,disappears,,,,,,,,,,,,,,,,
Amphisbaena bakeri,239-255,14-16,,14-16,long,darker dorsally than pinkish venter,darker and more uniform,,,,,,,,,,,,,,,,,,,,,
Amphisbaena caeca,214-237,13-18,"uncommon, mostly after fifth caudal annulus",13-18,very short,darker than venter,completely so,,,,,,,,,,,,,,,,0-2,,,,,
Amphisbaena camura,194-217,14-26,,28-42,,color gradually fading out along sides,"short, terminally rounded",4 to 6,,,,,,,,,,,showing marked geographic variation within above limits,,,,,,,,,
Amphisbaena carvalhoi,231-245,7-8,,12-14,,"brown dorsally, fading out ventrally on the trunk",,"4, small, round",,,,,lightened area,,,,,,,lightened area,,,,slightly compressed dorsoventrally,,,,
Amphisbaena crisae,180-185,20-22,between fourth and fifth or between fifth and sixth caudal annuli,10/10 (in 1 case 10/11),,,"cylindrical, slightly tapering, to clearly but not strongly clavate",2,thin but distinct,,,,,,"irregular, with arcuate sides, at times quite elongate","5, the second very large, the third to fifth forming an even longitudinal row of rectangular scales",,,170 mm,"4, second and third very large, fourth squarish, sizable",,,,,,,,small but still differentiated
Amphisbaena cubana,199-240,10-18,usually after seventh caudal annulus,12-16,short,solid,16 mm,4-6,,,fused,,,,,,,,small,,,,1,,,,,
Amphisbaena darwinii,186-219,10-15,,14-17,rather long,darker dorsally than ventrally,dark violet,,,,,,,,,,,,,,,,1,,,,,
Amphisbaena dubia,213-231,13-17,,13-16,,light brown,cylindrical,2,,,,,,,,,large,,,,,,,,,,,
Amphisbaena fenestrata,236-251,12-14,,13-14,completely separating nasals and extending between anteriormost ends of prefrontals,shades of brown,solid,,,,,,elongate posteriorly,,,,,,,,,,1,,,,,
Amphisbaena frontalis,252-272,23-29,6-7,14-16/14-16,,,,4,,,irregularly trapezoid,,,,"asymmetrical, arcuate front edges converging forward, forming an obtuse angle",,very slightly enlarged,,,,,,,,,,,
Amphisbaena gonavensis,199-225,10-21,"uncommon, after fifth annulus",16-18,short,"rusty brown, pale tan, to purplish",19 mm,4,,,,,,,,,,,,,,,2,,,,,
Amphisbaena gracilis,224 (holotype) to 248,21-22 (est.),falling on sixth to seventh postcloacal annulus,,,uniform dark brown (with violet overtones-strauch),"medium long, rounded and of gradually reducing diameter",4 large suboval,,,,,,,,2 large and 1 very small on each side,large and pentagonal,,,2 large,faintly prognathous,,,,,,,
Amphisbaena hastata,266-273,40,12 to 16,35-37,,uniform white,,4,,,,,extensively visible from below,,,,,,,,prominent,,,,,,,
Amphisbaena heathi,183-187,7-8,,12,,even brown,,4,faint,,,,,,,3,trapezoidal,,,,somewhat prognathous,,,"pointed, elongate, markedly flattened, very wide",,,,
Amphisbaena hogei,177-191,15-19,fourth to sixth (in 1 case on the seventh) postcloacal annulus,10-13,,brown,"cylindrical, roundly capped distally","4 large, round",apparent,,,,slightly swollen,,,,,,,,,,,,,,largest segments,
Amphisbaena hyporissor,213,20,,16,,darker and slightly mottled,20 mm,,,,,,,,,,,,200 mm,,,,,,,,,
Amphisbaena ignatiana,255-263,32-36,6,16 above and 20-22 below,,,,6,becoming apparent,,,,not or scarcely visible from above,,,,squarish to pentagonal,,188 mm,,blunt but prominent,,,,,2.1-3.1 mm,,
Amphisbaena innocens,186-219,10-15,,14-17,rather long,darker dorsally than ventrally,dark violet,,,,,,,,,,,,,,,,1,,,,,
Amphisbaena leeseri,216-240,14-16,fifth or sixth postcloacal annulus,13-15,,"dark brown dorsally, lighter ventrally",,single pair,,,,,,,,,,,,,,,,,,,,
Amphisbaena leucocephala,233-240,26-27,no special pigmentation,,rectangular,dark brown,,12,,,,,,,asymmetrical,large,large,,large-sized,3,rounded,,,without major fusions,,,,
Amphisbaena lumbricalis,225-247,20-26,,12-16/16-20,,,"cylindrical proximally, becoming progressively a little thinner on the distal 2 thirds",cicatricial,,,,,,,"forming together a rough diamond, with the front edges tending to a bow-like curve",,"very variable, irregular",,,,,,,,,,very large,
Amphisbaena manni,209-243,17-22,between 5-7 caudal annuli,12-16,fused,uniform brown,22 mm,,,,,,fused,,,,,,small,,,,1,,,,,
Amphisbaena medemi,230-235,17-18,fifth to seventh postcloacal annulus,16,reduced to medial point contact,,horizontally oval in section at the base,"4 large, circular",poorly defined and narrower than 1 bordering segment,,,,,,,"1 medium, 1 large, and 1 small on each side",,,,3 equally sized,,,,,,,,
Amphisbaena mertensii,242,6,,20,,,,4,,,,,,,,3,,,,3,,,,,,,,
Amphisbaena miringoera,250-262,,,12/12-15,,,22-24 annuli,small,,,,,,,,4,,,unreliable,4,,,,,,,,polygonal
Amphisbaena neglecta,151-161,20-21,4th to 6th postcloacal annulus,12-14,,dark brown,,single pair,,,,,,,,,,,,bleached,,bleached,,,,,,
Amphisbaena nigricauda,222-226,19-24,,10,,light brownish white,cylindrical,,,,,,,,,,,,,,,,,,,,largest segment,
Amphisbaena occidentalis,261-79,,,"16-19 dorsals, 24-26 ventrals, 42-44 total",pairs,dark purplish-brown,,,,,,,small,,pairs,3,,,,4,,,,flattened,,,pairs,no larger than dorsal segments
