species,traits
amphisbaena alba,"body annuli 198-248, caudal annuli 13-21, segments per midbody annulus 65-85, precloacal pores 4-10, dorsal color uniform yellow-tan, brown, or brownish pink, ventral color slightly lighter, juvenile color pattern irregular darker spots, head scalation asymmetrical"
amphisbaena anaemariae,"postrostral head shields paired, head shape elongate, acutely pointed, tail shape conically reduced, lacks autotomy annulus, body annuli 190-215, caudal annuli 12-18, dorsal segments 20-31, ventral segments 21-30, precloacal pores 4-6, color brownish above, lighter below, pigmentation concentrated along anterior portions of segments, dorsal color dark brown, ventral color lighter, size medium to large, robustness medium to large"
amphisbaena angustifrons,"postrostral head shields paired, head shape elongate, acutely pointed, tail shape conically reduced, body annuli 190-215, caudal annuli 12-18, dorsal segments 20-31, ventral segments 21-30, precloacal pores 4-6, dorsal color brownish above, ventral color lighter below, pigmentation concentrated along anterior portions of segments, countershading occurs by the fading out of the pigment on the posterior half of a segment, rostral tip light colored in life and bleach to white in preservatives"
amphisbaena innocens,"nasal-prefrontal large, azygous shield variable size, supraoculars quadrangular, frontals anterior edge extends most anteriorly, occipitals small, postocular large, preocular supralabials two, ocular small polygonal, intercalated dorsal half-annulus one, body annuli 203-252, ventral segments reduced in size, dorsal segments narrowed and folded, cloacal region two to four, lateral annuli asymmetries common"
amphisbaena leeseri,"postrostral head shields paired, midventral segments of each annulus as wide as long, precloacal pores single pair, round, body annuli 218, caudal annuli 14-18, autotomy constriction at the fifth or sixth postcloacal annulus, dorsal segments 16, ventral segments 12-13, pre-cloacal segments 6, dorsal color dark brown, ventral color light brown, posterior 15% of a segment light colored, intersegmental raphes light"
amphisbaena arenaria,"preanal pores 4, separated on the middle by two segments, fused with those immediately behind, body annuli 195, tail annuli 27, autotomy level 6, segments to a midbody annulus 14/14, preanal pores 4, body annuli 195, tail annuli 27, autotomy level 6, segments to a midbody annulus 14/14"
amphisbaena bakeri,"svl 260 mm, tail 21 mm, tail shape cylindrical, rounded terminally, body annuli 239-255, caudal annuli 14-16, dorsal segments/midbody annulus 14-16, ventral segments/midbody annulus 16-17, rows of postgenials 2, precoacal pores 4-6, nasal suture long, more than one-third prefrontal suture, dorsum color pinkish gray, gray, or light brown"
amphisbaena bolivica,"ocular fused to the second supralabial, body annuli 226-240, caudal annuli 14-18, dorsal segments 12-14, ventral segments 16-18, postgenial rows 2, precloacal pores 4-6, nasal suture long, more than one-third prefrontal suture, dorsum color pinkish gray, gray, or light brown, ventral color light brown, chin and varying portions of venter light-colored segments lacking dark rectangles"
amphisbaena caeca,"size pinkish brown, svl 291 mm, tail cylindrical, tapering, rounded terminally, caudal autotomy uncommon, body annuli 214-237, caudal annuli 13-18, dorsal segments 13-18, ventral segments 14-20, rows of postgenials 2-3, postmalar chin shields 0-1, precloacal pores 4-6, nasal suture very short, temporals 0-2, dorsum color pinkish brown, head color brown, tail color brown"
amphisbaena camura,"postrostral head shields paired, head shape short, pointed, tail shape rounded terminally, autotomy constriction at fourth or fifth caudal annulus, body annuli 194-217, caudal annuli 14-26, dorsal segments 28-42, ventral segments 27-45, precloacal pores four to six, nuchal band light-colored, color brown above, lighter below, size large"
amphisbaena carlgansi,"postrostral head shields paired, midventral segments of each annulus as wide as long, precloacal pores single pair, round, body annuli 216-228, caudal annuli 14-16, dorsal segments 14-18, ventral segments 11-13, pre-cloacal segments 4-5, dorsal color brown, ventral color lighter, posterior 15% of a segment light colored, intersegmental raphes light, size 168 mm svl, total length 182 mm, body annuli 216-228, lateral annuli 2/2-3/3, caudal annuli 14-16, segments to a midbody annulus 14/18-20, precloacals 7-8, postcloacals 11-13, precloacal pores 4, total half-annular segments of head 4-8, chin segments 3 + 4, head shape narrow, rostral shape triangular"
amphisbaena carvalhoi,"head shields slightly enlarged, first parietals slightly enlarged, supra- and infralabials three each, postgenials two rows, body annuli 231-245, caudal annuli 7-8 up to autotomy constriction, caudal annuli from cloaca to conical spine 19-22, dorsal segments 12-14, ventral segments 16-18, precloacal pores four, small, round, color brown dorsally, fading out ventrally, dorsal color slightly darker on nape and parietal aspects of the head and dorsal surface of the tail"
amphisbaena caudalis,"head shape broadly arrow-shaped, first infralabial small, subquadrangular, second infralabial large, irregularly hexagonal, third infralabial small, trapezoidal, malar right pentagonal, postmental elongate, shield-shape, dorsal color pale pinkish-tan, ventral color slightly paler pinkish, head shape slightly compressed dorsoventrally, head shape broadly arrow-shaped, first infralabial small, subquadrangular, second infralabial large, irregularly hexagonal, third infralabial small, trapezoidal, malar right pentagonal, postmental elongate, shield-shape, dorsal color pale pinkish-tan, ventral color slightly paler pinkish, body annuli 231-245, caudal annuli 7-8, autotomy constriction at the fifth or sixth postcloacal annulus, dorsal segments 12-14, ventral segments 16-18"
amphisbaena cegei,"frontals largest segment, second infralabial largest segment, prognathous snout short, postmental with a medial groove, body annuli 198, caudal annuli 22, autotomy annulus seventh postcloacal annulus, dorsal segments 21-22, ventral segments 22-23, precloacal pores four, tail base depressed, tail tip conical, dorsal color light brown, ventral color very light, body annuli 198, caudal annuli 22, autotomy annulus 7th postcloacal annulus, dorsal segments 21-22, ventral segments 22-23, precloacal pores 4, dorsal color light brown, ventral color very light, segment pigmentation more concentrated on the anterior part of the scale"
amphisbaena crisae,"preanal pores two, body annuli 180-185, tail annuli 20-22, autotomy level between fourth and fifth or between fifth and sixth caudal annuli, segments to a midbody annulus 10/10 (in one case 10/11), body shape moderately stocky, tail shape varying from cylindrical, slightly tapering, to clearly but not strongly clavate, lateral sulci thin but distinct, median scale sutures on the dorsal aspect of the head in the following order of increasing length: (nasal, parietal), frontal, prefrontal, two preanal pores paired, body annuli 180-185, tail annuli 20-22, autotomy level between fourth and fifth or between fifth and sixth caudal annuli, segments to a midbody annulus 10/10 (in one case 10/11), tail shape varying from cylindrical, slightly tapering, to clearly but not strongly clavate, lateral sulci thin but distinct, median scale sutures on the dorsal aspect of the head in the following order of increasing length: (nasal, parietal), frontal, prefrontal"
amphisbaena cubana,"body annuli 226-239, caudal annuli 25-26+1, scales around midbody 28-34, dorsal scales 14-16, ventral scales 14-18, supralabials 3, infralabials 3, postgenials 1, postmalars 1, ocular small, preanal pores 4, head as wide as long, body slighlly depressed, posterior part with a shallow but distinct, median dorsal sulcus"
amphisbaena cunhai,"number of body annuli 226-239, caudal annuli 25-26+1, scales around midbody 28-34, dorsal scales 14-16, ventral scales 14-18, supralabials 3, infralabials 3, postgenials 1 row, postmalars 1 row, ocular small, preanal pores 4, head pinkish, dorsum brown, belly pink, underside of tail grey"
