trait,count
39–48,1
47–63,1
adult size,1
alary process of vomer,3
anal,4
anal and subcaudals,1
anal plate,1
anal spurs,1
anterior dorsal cephalic scales,1
anterior dorsal scales rows,1
anterior edge of splenial,1
anterior portion of nasal bone,1
anterior scale rows,2
anterior teeth,1
apex of the coronoid,1
auge,1
black irregular marks,1
black or grey spotting,1
blotches,2
blotches color,1
blotches limning,1
blotches outline,1
blotches outlined,1
blotches shape,1
body,2
body blotches,3
body color,1
body pattern,2
body shape,1
body+head,1
"broad, flat, slanted, bevel-like, overhung snout",1
c,1
c. caninus,1
c. cropanii,1
c. hortulanus complex,1
canthus,2
caudals,1
central area of dorsal blotches,1
chin,2
chin and throat,1
chin shields,1
circumocular ring,1
circumorbitals,1
claws,1
cloacal scale,1
color,5
color and pattern,1
color in life,1
coloration,4
coloration in preservative,1
comparisons (crombiei),1
coronoid,1
dark brown markings,1
dark line on the middle of the head,1
diagnosis,1
diet,1
distal border of the optic foramen,1
dorsal background coloration,1
dorsal blotches,2
dorsal body bloches,1
dorsal body saddles,1
dorsal color,1
dorsal cross bars,1
dorsal ground color,14
dorsal head scutes,1
dorsal markings,1
dorsal pattern,5
dorsal pattern (western cuba),1
dorsal saddles,1
dorsal scale count,1
dorsal scale rows,9
dorsal scale rows at midbody,6
dorsal scale rows at neck,1
dorsal scale rows on neck,5
dorsal scales,6
dorsal scales (midbody),1
dorsal scales (vent),1
dorsal series,1
dorsals,1
dorsum color,1
enamel-white markings,2
eye,3
eye direction,1
eye scales,1
eye size,1
eyes,1
folds,1
forehead,1
forehead scales,1
forked sulcus,1
frontal,3
frontal plate,1
frontalia,1
gl,1
ground color,1
größere,1
gular scale rows,1
habitus,1
head,5
head and body coloration,1
head color,2
head pattern,1
head scale formula,9
head shape,1
head-scales,1
hemipenial lobes,1
hemipenis,5
hemipenis length,1
holotype,1
holotype (crombiei),1
infralabial scales,1
infralabials,2
infraloreals + loreals,1
intermaxillare,1
interrictals,1
inverted hemipenis,4
