species,39–48,47–63,adult size,alary process of vomer,anal,anal and subcaudals,anal plate,anal spurs,anterior dorsal cephalic scales,anterior dorsal scales rows,anterior edge of splenial,anterior portion of nasal bone,anterior scale rows,anterior teeth,apex of the coronoid,auge,black irregular marks,black or grey spotting,blotches,blotches color,blotches limning,blotches outline,blotches outlined,blotches shape,body,body blotches,body color,body pattern,body shape,body+head,"broad, flat, slanted, bevel-like, overhung snout",c,c. caninus,c. cropanii,c. hortulanus complex,canthus,caudals,central area of dorsal blotches,chin,chin and throat,chin shields,circumocular ring,circumorbitals,claws,cloacal scale,color,color and pattern,color in life,coloration,coloration in preservative,comparisons (crombiei),coronoid,dark brown markings,dark line on the middle of the head,diagnosis,diet,distal border of the optic foramen,dorsal background coloration,dorsal blotches,dorsal body bloches,dorsal body saddles,dorsal color,dorsal cross bars,dorsal ground color,dorsal head scutes,dorsal markings,dorsal pattern,dorsal pattern (western cuba),dorsal saddles,dorsal scale count,dorsal scale rows,dorsal scale rows at midbody,dorsal scale rows at neck,dorsal scale rows on neck,dorsal scales,dorsal scales (midbody),dorsal scales (vent),dorsal series,dorsals,dorsum color,enamel-white markings,eye,eye direction,eye scales,eye size,eyes,folds,forehead,forehead scales,forked sulcus,frontal,frontal plate,frontalia,gl,ground color,größere,gular scale rows,habitus,head,head and body coloration,head color,head pattern,head scale formula,head shape,head-scales,hemipenial lobes,hemipenis,hemipenis length,holotype,holotype (crombiei),infralabial scales,infralabials,infraloreals + loreals,intermaxillare,interrictals,inverted hemipenis,iris,irregular lateral ocelli,irregular shape,irregularly shaped blotches on tail,juvenile color,juvenile dorsal coloration,juvenile dorsal coloration (in alcohol),juveniles,keels on the 2nd row of dorsals,kleine,labial scales,labials,lamina,lateral blotches,lateral neck stripe,lateral ocelli,lateral process of surangular,lateral row of dark markings,lateral stripe,lateral stripe of the body,lateroventral ledge of the surangular,lip/eye diameter ratio,lobes,longitudinal stripes,loreal,loreal scale,loreal stripe,loreal stripes,lower labials,lower parts,lower ventral count,main element in the dorsal pattern at midbody,mainland specimens,maxillary teeth,maximum dorsal scale rows,maximum length of inverted hemipenis,maximum number of dorsal scale rows,maximum number of ventrals,maximum rows of dorsal scales,maximum scale rows,maximum svl,mean svl,melanistic ventral coloration,mental groove,meristic characters,mid-dorsal band,mid-dorsal longitudinal stripe,midbody dorsal scale rows,midbody scale rows,middorsal blotches on body,middorsal scale rows,milky white band,mineralized internarial septum,mitochondrial dna sequence differences,nasal contact,nasalia,nasals,neck,neck shape,nicht vom hals abgesetztem kopf,nostril,number of scales across snout,number of subcaudal,oberwie,original description (crombiei),outer scale-rows,overall coloration,ovoid blotches,palatinum,papillate rows,paravertebral blotches,parietal crest,parietalkamm,parietals,pattern,pelvic spurs,phylogenetic distinctiveness,post-oculars,postanal white spot,postanal white spot (crombiei),posterior of body and tail,posterior scale rows,posterior trunk intercostal arteries,posteriormost caudal blotches,postocular scales,postoculars,postorbital and frontal,postorbital stripes,prefrontal,preocular,preocular scale,primary spade-like element of the dorsal pattern,prœoculars,pterygoid-mittelkamm,pupil,pupil shape,pupille,red tail color,rostral,rows of scales,rows of scales at midbody,rows of scales at vent,scalation,scale formula,scale rows,scale rows on neck,scale size,scales,scales across the forehead,scales around eye,scales around the eye,scales between eyes,scales between the eyes,scales round the eye,schädel,schädel gerundet,schlangen,schnauzenschild,schuppen,shields,sides,single prefrontal,size,size comparison,smooth apex and basal portion,snout,snout-vent length,specimens with less than 50,spots,spurs,stripes,sub-caudal scale count,sub-caudals,subcaudal scale count,subcaudal scales,subcaudalia,subcaudals,subocular scales,subocular stripe,subocular stripes,subspecies (crombiei),substrate use,suffusions,sulcus,supralabial scales,supralabials,supralabials entering orbit,supraocular,supraoculars,svl,symphysial,tail,tail blotches,tail color,tail length,tail pattern,tail shape,tail tip,tail/total length ratio,temperament,temporal scales,temporals,throat and venter,tip of head,tip of tail,tl/t,total length,total length/maximum transverse diameter,transverse markings,tubercles,unpaired subcaudal scales,unterkiefers,upper labials,upper side of tail,v,venter,venter color,venter markings,ventral,ventral color,ventral scale count,ventral scale rows,ventral scales,ventral suffusion,ventrally,ventrals,ventrals (crombiei),ventrals + subcaudals,ventrals minus subcaudals,ventrolateral spots,vertebral blotches,vetral scales,vordere zähne,vorderenden des parietale,x,yellow-brown individuals,zahnreihe
Boa constrictor,,,huge,,,,,,,,,,,,,,,,,,,,,,,,,darker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fewer,fewer,,,,,,,,,,,,,,in more than 60 rows at midbody,,,,,,,,,,,,,,,,,,,,,,,,,generally darker,,,,,,,longer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246-252,,,,,,,,,,,,lack of,,,without projections to the eyes,,,fewer,,fewer,,,,,,,,,,,,,,,,much darker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lack of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mostly entire,,greater number,,,,,,,,,,,,,,,longer,,without tan or red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,do not extend the entire width of the venter,,,,,,,,,,,,,,
Sanzinia madagascariensis,,,,,entire,,,,,,,,,,extends well above the surangular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown or olive above,,,,,,,,formed mostly by the parietal with anterior margin formed by the frontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,with longitudinal flounce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restricted to the anterior region,,,,,,,,deeply pitted,,,,,,,,,,,,,,,,,,,,,,,,small fenestra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,supply one body segment each,,,,broadly separated by the parietal,,,,,,,,,,,,broad as deep,,,,,,,,,in 41 to 53 rows,,,,,,,,,,,,small,,,,,,,,,,,,,,,,,30-48,,,,,,,terminating below the tips of the arms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200-234,,,,,,,,,,,
Calabaria reinhardtii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,externally visible only in males,,dark brown with irregular lighter markings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-11,,,,,,,,,,,,,,,,,,,,,,,about 20 nim. from its tip,,,,,,,,,,,,,,,,,,,,,,,,,,2-3,,,,,,,,,,,azygous,single,,,,,vertically elongate,,,,,,,,,28-35-28 to 26-32-25,,,,,,,,,,,,,,,,3 pairs,yellowish pink,,,,,,,,,,,,,,,,19-27,,,,,,,,,,,,2,,,,,,,,,,,,,"3 or 4 in the first row, 4 or 5 in the second",,nearly black,nearly black,,,,,,,,8,,,"brown, marked with pink",,,,,,,,,,221-234,,,,,,,,,,,
Candoia bibroni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brownish, reddish brown, or olive",,,,,,,,,,,,,,,,,,,,large black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"720.5 for males, 983.1 for females",,,,,,,31-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207-259 ventral scales,,,,,,,,,,,,,,,,,,,,svl460-1460 mm,,,,,,,present in all males and many females,,,,,,,47-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grayish or more brightly colored,,,,,,,,,,,,,,,,,,,,,
Candoia carinata,,,,,,,,,,,,,24-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.61 or more,,,,,,,,,,,,,,,,,,32-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.13-.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116-145,,,,,,,,
Lichanura trivirgata,,,,,,,entire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7-11 scales,,,,,,,,,,,,,,,,,,,,,,"cream to bluish gray, beige or pale gray","small, except on snout",,,,,,,,,,"small, smooth, and in 35-45 rows",,,,,,,small,,,,,,,,present,,,,,,,,,elongated,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,pinnate from the sulcus,,,,,,,,,,,"3 reddish, brown, or black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slightly distinct,,,,,,,,,,,,,,,,,,small,,,,,,,,,,,,,,,,,,,vertical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,single and number 39-51,,,,,,,,,,,,,,,"short, tapered, slightly prehensile",,,,,,,,,,,,,,,430-1120 mm,,,,,,,,,,,,,,,,,,,narrow,,,,,,,,,,,
Corallus annulatus,,,,,,,,,,,hooked,,,,,,,,,,,,,,,,,,,,,,,,,,,same shade as dorsal ground color,,,,,,,,,,,,,,in contact with the angular,,,,,,,6-12,,,,,beige to red-brown,,,,,,,50-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usually not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251-268,,,,,,,,,,,
Corallus caninus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pale yellow to beige,red-orange,,,,,,,0-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absent,,,,,,,3.1-16.2%,,,,,,,,2-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380-516 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corallus cookii,43.9 +/- 0.34,55.0 +/- 0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,less than 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"occasionally in guyana, suriname, bolivia, and peru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corallus cropanii,,,,,single,,,,,,,,,strongly enlarged,,,,,,,,,,,"stout, a little compressed laterally",,,,,1113 mm,,,,,,,1+-3/3+48,,,,,,,,,,,,olive-green with rhomboidal dorsal blotches,,,,,,,,,,,,,,,,,,,,,,,,,,very large and smooth,,,,in 30 series at midbody,,,surrounded by 9 scales,,,,,,,,,,,,,,,,,54 mm,,,,,,,,papillous apex,,,,,,,,,,,,,,,,,,,,,deep pits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large,,,,,,,,,a pit on each side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-13 with deep pits,,,a little enlarged,,,167 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,,,
