species,traits
boa constrictor,"ventral scales enlarged, top of the head no enlarged scales, subcaudal scales mostly entire, dorsal scales smooth, midbody more than 60 rows, adult size huge, dorsal ground color rich brown, ventral color white with black or grey spotting, subocular stripe distinct and complete"
sanzinia madagascariensis,"mineralized internarial septum present, postorbital and frontal broadly separated, parietal distal border of the optic foramen, frontal anterior margin formed, coronoid extends well above the surangular, lateroventral ledge of the surangular restricted to the anterior region, posterior trunk intercostal arteries supply one body segment each, hemipenis with longitudinal flounce, sulcus terminating below the tips of the arms, rostral broad as deep, small shields on the upper surface of the head, scales above the eye may coalesce to form a supraocular shield, upper labials 8 to 11, lower labials deeply pitted, mineralized internarial septum present, postorbital and frontal broadly separated, parietal distal border of the optic foramen, frontal anterior margin formed, coronoid extends well above the surangular, lateroventral ledge of the surangular restricted to the anterior region, posterior trunk intercostal arteries supply one body segment each, hemipenis with longitudinal flounce, sulcus terminating below the tips of the arms, rostral broad as deep, upper surface of the head covered with small, convex, tubercular scales, scales above the eye may coalesce to form a supraocular shield, 8 to 11 scales across the forehead from eye to eye, 13 to 15 upper labials one, two, or three of which enter the eye"
calabaria reinhardtii,"mineralized internarial septum presenting only a small fenestra, postorbital and frontal broadly separated by the parietal, distal border of the optic foramen formed mostly by the parietal, rostral broad as deep, supraocular shields some of the scales above the eye may coalesce to form, upper labials deeply pitted, ventrals 200-234"
candoia aspera,"broad, flat, slanted, bevel-like snout paired, supralabials entering orbit paired, subcaudals 35 or more, ventrals less than 203, white spot present, broad, flat, slanted, bevel-like snout paired, supralabials entering orbit paired, subcaudals 35 or more, ventrals less than 203, white spot immediately postanal, scales of 2nd row of dorsals keeled at least on neck, enlarged supraoculars entering orbit on either side, anterior scale rows 24-28, maximum scale rows 32-37, posterior scale rows 20-25, ventrals minus subcaudals 116-145, tail/total length ratio .13-.18, broad, flat, slanted, bevel-like, overhung snout paired, supralabials entering orbit paired, subcaudals 35 or more paired, ventrals less than 203 paired, scales of 2nd row of dorsals keeled at least on neck paired, large dark blotches on sides paired, 4-8 scales between enlarged supraoculars paired, subcaudals usually 48 or more paired"
charina bottae,
lichanura trivirgata,
corallus annulatus,"nasal contact present or absent, number of sub-caudals 94-137, dorsal scale rows 50-57, ventrals 251-268, dorsal ground color beige to red-brown, dorsal blotches 6-12, central area of dorsal blotches same shade as dorsal ground color, infraloreals + loreals 8-9, anterior edge of splenial hooked, coronoid in contact with the angular"
corallus caninus,"green dorsal ground color enamel-white markings, juvenile dorsal coloration pale yellow to beige, dorsal scales 3–6, mean = 3.4 +/- 1.1, mid-dorsal longitudinal stripe absent, lateral blotches absent, svl 380–516 mm, mitochondrial dna sequence differences 3.1–16.2%, dorsal scale rows invariably less than 50, maximum number of dorsal scale rows 39–48"
corallus cookii,
corallus cropanii,"anterior teeth strongly enlarged, labials with deep pits, rostral with deep pits, tail short, prehensil, dorsal scales very large and smooth, hemipenis with papillous apex, skull nasals thrice as long as broad, prefrontal broader than long, postfronal not in contact with frontal, mandibular with 15 teeth, palatine without processus and with 5 teeth"
