trait,count
11th marginal,1
11th marginals,1
1st vertebral,2
2d and 3d vertebrals,1
4 claws on each forelimb,1
4th vertebral,1
5th vertebral,2
abdominal scutes (asl/cl),1
adult size,1
affinities,1
alveolar ridge,2
anal scute notch,1
antebrachial scales,1
antebrachium scales,1
anterio-lateral corner,1
anterior bridge strut,1
anterior bridge struts,2
anterior carapace,1
anterior lobes of the plastron rounded,1
anterior marginal length,1
anterior plastron,1
anterior/posterior black spots,1
antero-medial distal tibial scale,1
antero-medial row of tibial scales,1
atlas (c1) not elongated,1
atlas elements fused,1
atlas length,1
axillary buttresses,1
barbels,3
barbels length,1
base color,1
basisphenoid,1
blunt,1
blunt snout,1
body shape,1
bridge,3
bridge length,1
bridge shape,1
bright yellow coloration,1
bright yellow marking,1
bright yellow stripe,1
bright yellow stripes,1
brown to black,1
brownish or blackish speckling,1
carapace,8
carapace border,1
carapace central portion,1
carapace color,12
carapace color (angkibaanya),1
carapace depth,1
carapace depth/length,1
carapace elongation,1
carapace keel,1
carapace length,7
carapace margin reduction,1
carapace markings,1
carapace oblong to oval,1
carapace of elseya dentata,1
carapace ornamentation,1
carapace pattern,1
carapace posterior rim,2
carapace sculpturing,1
carapace scutes,3
carapace shape,18
carapace size,2
carapace strongly convex,1
carapace texture,3
carapace width,2
carapace width/length,1
carapacial color,1
carapacial median groove,1
carapacial median keel,1
carapacial opening,1
carapacial scute surface,1
casque,1
central vertebral keel,1
cervical,1
cervical scute,4
cervical vertebrae 2–4,1
cervical vertebrae length,1
chelodina,1
chelodina longicollis,1
chin barbels,2
cloacal bursae,1
color phases,1
color retention (female),1
cornubranchiale,1
costal bones,2
cream or yellow plastron,1
creamish or whitish,1
dark markings through eye,1
dark markings through iris,1
dark to black circular spots,1
dentary bones enlarged,1
dentary symphysis,1
difference from elseya purvisi,1
distal caudal vertebrae,1
distinct vertebral groove,1
distribution,1
dorsal color,1
dorsal coloration,1
dorsal head color,1
dorsal scutes,1
dorsum of neck,1
dorsum of the head,1
egg size,1
eleventh marginal width,1
entoplastron,1
epibranchials cartilaginous,1
exposed neural bones,1
eye,1
eye color,1
eye position,1
eye size,1
eyes,1
face color,1
face shape,1
facial coloration,1
facial coloration fades with age,1
facial scales,1
female head,1
femoral scutes (fsl/cl),1
first and second marginal plates width,1
first and second marginal scutes,1
first neural bone,3
first pair of costals,1
flat head,1
flat uncornified temporal scales,1
fluid secretion,1
fore lobe shape,1
forearm scales,1
forelobe,2
forelobe size,1
four claws,1
fourth and rest of marginal plates width,1
front cavity shape,1
frontal bones,1
frontal scutes,1
g - ig scute sulcus length,1
genetic distinctiveness,1
gular scutes,1
gular shields in contact in front of the intergular,1
habitat,1
hard palate shape,1
head,1
head and neck length,2
head background color,1
head casque,1
head color,2
head color pattern,1
head features,1
head features (young),1
head robusticity,1
head shape,9
head shield,6
head shield (casque) color,1
head shield (casque) shape,1
head shield blotches,1
head shield color,1
head shield lateral extensions,1
head shield width,1
head size,1
head width,4
head width to head length ratio,1
hind lobe,1
hind lobe shape,1
holotype,1
horny head shield,1
horny plate,1
humerus and femur,1
hyolaryngeal assemblage,1
hyolaryngeal complex modified,1
ih sulci length,1
ilium contact,1
ilium in contact with 8th pleural,1
ilium sutures,1
incubation period,1
inguinal and axillary buttresses,1
inguinal buttresses,1
inguinal musk glands present,1
inter-orbital band,1
interanal plastral seam,1
interanal seam,1
interanal seam length,1
intergular,1
"intergular at least twice, or more than twice the length of the pectoral suture",1
intergular scute,2
intergular scute length,1
intergular scute posteriorly tapered,1
intergular scute shape,1
intergular scute size,1
intergular width,1
interlateral seam,1
interorbital width to head width ratio,1
ip sulcus length,1
iris,2
iris color,6
iris color (angkibaanya),1
iris ring,2
irregularly sculptured in surface pattern,1
jaw coloration,1
jaws,1
juvenile coloration,1
juvenile pattern,1
keel form,1
large,1
large broad palate,1
lateral band,1
lateral borders,1
lateral borders of the carapace,1
lateral edge of the head shield,1
lateral marginal scutes,1
lateral marginals,3
lateral margins,1
lateral sulcus of the first vertebral scute,1
laterally directed,1
length of head and neck,1
light brown band,1
lingual ridge,1
long neck,2
lower jawline/throat skin border,1
m1 and m2 size,1
m1 protrusion,1
m1/m2 sulcus,1
m2 size,1
m3-m7,1
male size,1
mandible color,1
mandibular rhamphotheca,1
mandibular symphysis,1
marbled light plastron,1
marginal plates,1
marginal scutes,2
marginal serration,2
marginal serrations,1
marginal shape,3
marginal undersides,1
maxilla color,1
maxillary rhamphotheca,1
maxillary tomial edge,1
maxillary triturating surface,1
maximum carapace length,2
maximum carapace length (male),1
maximum known length,1
medial depression,1
medial division of palate,1
medial groove,1
medial keel,4
medial ridge,1
medium to large freshwater turtles,1
mesoclemmys jurutiensis,1
mid-caudal aspect,1
middle of the fourth and eleventh,1
moderately deep body-form,1
moderately depressed,1
moderately large,1
mouth,1
mouth size,1
narrower less robust skull,1
neck,1
neck dorsum,1
neck dorsum texture,1
neck features,1
neck length,5
neck morphology,1
neck scales,1
neck thickness,2
neural bones,8
neural series,1
neurals,3
nictitating membrane,1
no central groove on carapace,1
nose shape,2
nuchal,1
nuchal bone,2
nuchal scute,1
number of barbels,1
number of facial scales,1
osteology,1
oval-shaped,1
paired barbels,3
palate shape,1
palatines,1
pale band on head and neck,1
parietal,1
parietal arch,1
parietal arch absent,1
parietal crest,1
parietal roof width,2
parietals,1
parieto-squamosal arches,1
pectoral-abdominal seam,1
pelvis bone strength,1
peripheral bones,1
periphery of carapace,1
phrynops geoffroanus,1
plastral formula,4
plastral patch,1
plastral seam formula,1
plastral sulcus formula,1
plastron,5
plastron and bridge color,2
plastron broad,1
plastron color,7
plastron coverage,1
plastron greatly expanded anteriorly,1
plastron length,3
plastron markings,1
plastron shape,6
plastron size,1
"plastron, bridge, and undersides of the marginals color",1
pleural scute #1 (p1) – vertebral scute #1 (v1) sulcus,1
pleural scutes,1
post-orbital stripe color,1
posterior bridge strut,4
posterior carapace depression,1
posterior head shield shape,1
posterior horny head shield,1
posterior mandibular skin,1
posterior margin,1
posterior margin elevation,1
posterior marginal flaring,2
posterior marginal smoothness,1
posterior marginals,2
posterior to the eye,1
posterior-center blotch,1
posteriorly-facing dark brown trident marking,1
precentral scute,1
prefrontal bones,1
proboscis length,1
proximal suture of strut,1
red coloration,1
reticulated ornamentation,1
rib tips,1
sclera,1
sclera color,3
scute surface,1
scutes,1
senescent males,1
serrated margin,1
sexual dimorphism,3
shell color,1
shell depth,1
shell shape,2
similarity to elseya latisternum,1
similarity to elseya purvisi,1
size,2
size differences,1
skin color,1
skin flaps,1
skull,3
skull anteriorly elongated,1
skull shape,1
small to medium-sized,1
snout orientation,1
snout shape,6
splenial bone,1
sternum shape,1
sternum width,1
supraoccipital,1
supratympanic scale,1
suture with pleural 1,1
suture with pleurals,1
sutures of the plastral plates edged in black,1
tail,1
tail length,1
tail length in adult males,1
temporal arch,1
temporal scutes,1
temporal/post-orbital stripe,1
third marginal plate width,1
throat pattern,1
tibial scales,1
toes,1
transverse processes of cervical vertebrae,2
triturating surface area,1
tubercles,2
two pairs of chin barbels,1
tympanic color,1
type locality,1
upper jaw,1
upper jaw shape,3
upper mandible color,1
v1 scute,1
v1-c1 scute seams,1
v1-p1 sulcus,1
v2 shape,1
ventral color,2
ventral coloration,1
ventral extension of the head shield,1
ventral margin color,1
vertebral 1,2
vertebral 1 shape,1
vertebral 4,1
vertebral 5,2
vertebral column shape,1
vertebral keel,3
vertebral length,1
vertebral plates,1
vertebral scutes,2
vertebral shape,2
