species,11th marginal,11th marginals,1st vertebral,2d and 3d vertebrals,4 claws on each forelimb,4th vertebral,5th vertebral,abdominal scutes (asl/cl),adult size,affinities,alveolar ridge,anal scute notch,antebrachial scales,antebrachium scales,anterio-lateral corner,anterior bridge strut,anterior bridge struts,anterior carapace,anterior lobes of the plastron rounded,anterior marginal length,anterior plastron,anterior/posterior black spots,antero-medial distal tibial scale,antero-medial row of tibial scales,atlas (c1) not elongated,atlas elements fused,atlas length,axillary buttresses,barbels,barbels length,base color,basisphenoid,blunt,blunt snout,body shape,bridge,bridge length,bridge shape,bright yellow coloration,bright yellow marking,bright yellow stripe,bright yellow stripes,brown to black,brownish or blackish speckling,carapace,carapace border,carapace central portion,carapace color,carapace color (angkibaanya),carapace depth,carapace depth/length,carapace elongation,carapace keel,carapace length,carapace margin reduction,carapace markings,carapace oblong to oval,carapace of elseya dentata,carapace ornamentation,carapace pattern,carapace posterior rim,carapace sculpturing,carapace scutes,carapace shape,carapace size,carapace strongly convex,carapace texture,carapace width,carapace width/length,carapacial color,carapacial median groove,carapacial median keel,carapacial opening,carapacial scute surface,casque,central vertebral keel,cervical,cervical scute,cervical vertebrae 2–4,cervical vertebrae length,chelodina,chelodina longicollis,chin barbels,cloacal bursae,color phases,color retention (female),cornubranchiale,costal bones,cream or yellow plastron,creamish or whitish,dark markings through eye,dark markings through iris,dark to black circular spots,dentary bones enlarged,dentary symphysis,difference from elseya purvisi,distal caudal vertebrae,distinct vertebral groove,distribution,dorsal color,dorsal coloration,dorsal head color,dorsal scutes,dorsum of neck,dorsum of the head,egg size,eleventh marginal width,entoplastron,epibranchials cartilaginous,exposed neural bones,eye,eye color,eye position,eye size,eyes,face color,face shape,facial coloration,facial coloration fades with age,facial scales,female head,femoral scutes (fsl/cl),first and second marginal plates width,first and second marginal scutes,first neural bone,first pair of costals,flat head,flat uncornified temporal scales,fluid secretion,fore lobe shape,forearm scales,forelobe,forelobe size,four claws,fourth and rest of marginal plates width,front cavity shape,frontal bones,frontal scutes,g - ig scute sulcus length,genetic distinctiveness,gular scutes,gular shields in contact in front of the intergular,habitat,hard palate shape,head,head and neck length,head background color,head casque,head color,head color pattern,head features,head features (young),head robusticity,head shape,head shield,head shield (casque) color,head shield (casque) shape,head shield blotches,head shield color,head shield lateral extensions,head shield width,head size,head width,head width to head length ratio,hind lobe,hind lobe shape,holotype,horny head shield,horny plate,humerus and femur,hyolaryngeal assemblage,hyolaryngeal complex modified,ih sulci length,ilium contact,ilium in contact with 8th pleural,ilium sutures,incubation period,inguinal and axillary buttresses,inguinal buttresses,inguinal musk glands present,inter-orbital band,interanal plastral seam,interanal seam,interanal seam length,intergular,"intergular at least twice, or more than twice the length of the pectoral suture",intergular scute,intergular scute length,intergular scute posteriorly tapered,intergular scute shape,intergular scute size,intergular width,interlateral seam,interorbital width to head width ratio,ip sulcus length,iris,iris color,iris color (angkibaanya),iris ring,irregularly sculptured in surface pattern,jaw coloration,jaws,juvenile coloration,juvenile pattern,keel form,large,large broad palate,lateral band,lateral borders,lateral borders of the carapace,lateral edge of the head shield,lateral marginal scutes,lateral marginals,lateral margins,lateral sulcus of the first vertebral scute,laterally directed,length of head and neck,light brown band,lingual ridge,long neck,lower jawline/throat skin border,m1 and m2 size,m1 protrusion,m1/m2 sulcus,m2 size,m3-m7,male size,mandible color,mandibular rhamphotheca,mandibular symphysis,marbled light plastron,marginal plates,marginal scutes,marginal serration,marginal serrations,marginal shape,marginal undersides,maxilla color,maxillary rhamphotheca,maxillary tomial edge,maxillary triturating surface,maximum carapace length,maximum carapace length (male),maximum known length,medial depression,medial division of palate,medial groove,medial keel,medial ridge,medium to large freshwater turtles,mesoclemmys jurutiensis,mid-caudal aspect,middle of the fourth and eleventh,moderately deep body-form,moderately depressed,moderately large,mouth,mouth size,narrower less robust skull,neck,neck dorsum,neck dorsum texture,neck features,neck length,neck morphology,neck scales,neck thickness,neural bones,neural series,neurals,nictitating membrane,no central groove on carapace,nose shape,nuchal,nuchal bone,nuchal scute,number of barbels,number of facial scales,osteology,oval-shaped,paired barbels,palate shape,palatines,pale band on head and neck,parietal,parietal arch,parietal arch absent,parietal crest,parietal roof width,parietals,parieto-squamosal arches,pectoral-abdominal seam,pelvis bone strength,peripheral bones,periphery of carapace,phrynops geoffroanus,plastral formula,plastral patch,plastral seam formula,plastral sulcus formula,plastron,plastron and bridge color,plastron broad,plastron color,plastron coverage,plastron greatly expanded anteriorly,plastron length,plastron markings,plastron shape,plastron size,"plastron, bridge, and undersides of the marginals color",pleural scute #1 (p1) – vertebral scute #1 (v1) sulcus,pleural scutes,post-orbital stripe color,posterior bridge strut,posterior carapace depression,posterior head shield shape,posterior horny head shield,posterior mandibular skin,posterior margin,posterior margin elevation,posterior marginal flaring,posterior marginal smoothness,posterior marginals,posterior to the eye,posterior-center blotch,posteriorly-facing dark brown trident marking,precentral scute,prefrontal bones,proboscis length,proximal suture of strut,red coloration,reticulated ornamentation,rib tips,sclera,sclera color,scute surface,scutes,senescent males,serrated margin,sexual dimorphism,shell color,shell depth,shell shape,similarity to elseya latisternum,similarity to elseya purvisi,size,size differences,skin color,skin flaps,skull,skull anteriorly elongated,skull shape,small to medium-sized,snout orientation,snout shape,splenial bone,sternum shape,sternum width,supraoccipital,supratympanic scale,suture with pleural 1,suture with pleurals,sutures of the plastral plates edged in black,tail,tail length,tail length in adult males,temporal arch,temporal scutes,temporal/post-orbital stripe,third marginal plate width,throat pattern,tibial scales,toes,transverse processes of cervical vertebrae,triturating surface area,tubercles,two pairs of chin barbels,tympanic color,type locality,upper jaw,upper jaw shape,upper mandible color,v1 scute,v1-c1 scute seams,v1-p1 sulcus,v2 shape,ventral color,ventral coloration,ventral extension of the head shield,ventral margin color,vertebral 1,vertebral 1 shape,vertebral 4,vertebral 5,vertebral column shape,vertebral keel,vertebral length,vertebral plates,vertebral scutes,vertebral shape,vertebrals,vertebrals 2-4,vomer and pterygoids,vomer-palatine contact,vomer-pterygoid contact,yellow-faced,young adult males,young description
Hydromedusa maximiliani,,,,,,,,,,,,,,,,,,,,,,,,,,,,strong,,,,limited contact with the quadrate bones,,,,,,,,,,,,,flattened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"large, lies behind the anterior marginals, and does not extend to the carapacial rim",,,,,absent,,,,,7th or 7th and 8th pairs meet at the midline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,separate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weak,,,,,,,,,,,,,,,,,,,,,,,lack triturating ridges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valvelike flap occurs at the corner,,,,,,,,,,,6-9,,,,,,,lies behind the anterior peripherals and does not reach the carapacial rim,,,,,,,,form a large bony opening,,"dorsal part absent, lateral edges reduced and tapered posteriorly",,,,,,,,,,,,,,,,"extensive, lacks a hinge, and has a large intergular scute separating the gulars",,,,,,,,,,,,,,,,,,,,,,,,,,,,meet at the midline,,,,,,,,,,,,,,,,,,,,,,long and flattened,,,,,,,,,contacts the parietal,,,,,,,,slender,,,,,,"fully webbed, four claws on each foot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absent,,,,
Emydura subglobosa,,,,,,,,,,,,,,,,,,,,,,form a horizontal bar through the iris,,,,,,,,,,,,,,,,,,,,,,,,,,dark-brown to black,lacks reddish to reddish-yellow lighter centers,,,,,,,,,,,,,,,oval to oblong,consistently oval-shaped,,,,,,,,,,,,,,,,,,,,,tend to retain bold coloration of ventral surfaces more vividly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pale golden-yellow,bright yellow to greenish yellow,,,,,,,,,,,,,,,,,,,,,,,horse-shoe shaped dark marking,,,,,,,,,,,,,,,,,,,,,,rarely exceed 150 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow or orangish-yellow,,,,,dark blotch present,,,,,,,,,,,,,flush across ventral carapace surfaces,,,,"yellowish-gray, often with darker markings",,,,,minimal morphological differences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extends to tympanum,,"dark gray, often with a centralized reddish-yellow patch",,,,,,,,,,,,,,,,,,,dark figure or wash,,,,,,,,,,,,,,,,,,
Hydromedusa tectifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown or yellow with large brown blotches,,,,,,,,,"oval, dark-brown",,,,,,,,,to 30 cm,,,,,,,,,,,,,,,,,,,,,,,,behind the first two anterior marginals,,,,,,,,,,7th and 8th pairs meet at the midline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,longer than the hind lobe and more or less rounded anteriorly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posterior conical protuberances on vertebrals 1-4 and as an anterior conical protuberance on the 5th,,,,,,,,slightly upturned,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,only six,,,,,reaches the rim of the carapace by lying partially between the first two anterior peripheral bones,,,,,,,,,,,,,,,,,,,22,,,,,,,immaculate yellow to yellow with brown blotches,,,,,,,,,,,,similar protuberances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,largest,anteriorly flared,smallest,posteriorly expanded,,,,,"all broader than long in juveniles, but in adults the 1st vertebral is as long as or slightly longer than broad, and the 4th vertebral may be as long as broad",,,,,,,,,
Pseudemydura umbrina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broad, about one-third the length of the plastron",,,,,,,,,,,light brown to black,,,,,,to 14 cm,,,,,,,,,,"flat, rectangular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broad and flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very large, separating both the gulars and humerals and also partially separating the pectoral scutes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,,,no neurals are present,,,,,,,,,,,,,,,,,,,,,,,,,,,intergul > an > pect > abd > fem > gul > hum,,,,,,,,,,,,posterior notch,"very large, covering almost all of the carapacial opening",yellow with dark seams,,,,,,,,,,elevated over the tail,,smooth,,,,,,,,,,,,,,wrinkled and leathery,,,,,,,,,,,,,,,,,,,"short, slightly projecting",,,,,,,,,,,,,,,,,,,,,,,,,,unnotched,,,,,,,,,,,,,,,,"1st is the longest, and the 5th is the shortest and usually flared posteriorly",,,all vertebrals are broader than long in adults,,,,,,,,
Myuchelys bellii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,up to 135 mm,,,,,,,,,,very flattened and rounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grayish to blackish,,"yellow line that originates just behind the mouth, at first very wide narrowing and fading out posteriorly on the neck","wide, yellow spot behind each eye, yellow line being very obvious behind the mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dotted with large, somewhat tapered protuberances",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marked with a yellow band that extends to the underside of the marginals,,,,,,,,,"dirty gray, strongly marked with black seam lines and dark clouding; sometimes completely black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"almost discoidal in shape, serrated posterior marginals, flattened carapace, brown with black spots"
Chelodina canni,,,,,4 claws on each forelimb,,,,,,,,,,,,,,anterior lobes of the plastron rounded,,,,,,,,,,,,,,blunt,,,,,,,,,,brown to black,brownish or blackish speckling,,,,,,,,,,,,,,,,,,,,,,carapace strongly convex,,,,,,,,,,,,,,,,,,,,,,,,creamish or whitish,,,,,,,,distinct vertebral groove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gular shields in contact in front of the intergular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inguinal musk glands present,,,,,,"intergular at least twice, or more than twice the length of the pectoral suture",,,,,,,,,,,,,,irregularly sculptured in surface pattern,,,,,,,,,,,,,,,,laterally directed,,,,long neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moderately deep body-form,moderately depressed,,,,,,,,,,,,,,,,,,,,,,,,,oval-shaped,,,,,,,,,,,,,,,,,,,,,,,,,,plastron greatly expanded anteriorly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small to medium-sized,,,,,,,,,,sutures of the plastral plates edged in black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myuchelys purvisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ventral marginal, plastron",ventral distal tip of the tail,ventral aspects of legs,tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rivers of north-eastern new south wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rheodytes leukops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huge,,,,,,,,,,,"long, completely coossified",,,,,,,,,,,relatively small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,short,,,,,,,,,,,,,,,,contacts on the posterior parts of the sixth and eighth marginal scutes,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,straight in profile,"narrow, unridged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forming gomphoses with the centers of peripherals 4-6,,,,,,,,,,,,,,,,,,,,,,,lacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesoclemmys vanderhaegei,,,,,,,,smallest,,,,,,,,,,,,,,,moderately developed,,,,,,small,,,,,,,,,,,,,,,,,,,dark brown to blackish with pale brownish yellow speckling,,,,,,,,,,,,,,,,flatter,,,,,,,present,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,largest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium-sized,,,,,,,,,proportionately wider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wider than gulars,,,,"horizontal ""bar""",,,,,,,,,,,,,,,,upturned,,not upturned,,,,,,,,,,,,,,,,,,,11th narrower than 12th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduced,,,,pointed,,,,,,,,,,,,,,,,moderate,,,,,,,,,"blackish on central parts of humeral, pectoral, abdominal, and femoral scutes",ig>if>iab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generally pale, unpigmented burnt yellow",,,,,,,,,,,,,,,,,,,,,
Chelodina rugosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,longer,,,thicker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,narrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,less obvious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
