trait,count
1st and 4th vertebrals,1
1st and 5th vertebrals,1
1st vertebral,2
2d to 4th vertebrals,1
2d vertebral shape,1
2nd neural bone,1
4th vertebral covering,1
4th-6th neural bones,1
5th vertebral,1
6th vertebral,1
adult carapace color,1
adult size,1
adult vertebrals,1
aged adult carapace and plastron color,1
anal notch,2
anal notch shape,2
anal notch width,1
anal scute notching,1
anal scutes,2
anterior and lateral marginal shape,1
anterior border of the 4th,1
anterior lobe length,2
anterior marginals,1
anterior part of head,1
axillary and inguinal buttresses,1
axillary and inguinal scutes,1
axillary and inguinal scutes presence,1
axillary and marginal scutes,1
axillary attachment,1
axillary buttress,1
axillary buttress attachment,1
axillary buttresses,1
axillary buttresses attachment,1
axillary length,1
axillary scute presence,1
axillary scutes,5
batagur kachuga,1
black bridge,1
black ovoid shape,1
bony buttresses presence,1
border color,2
bridge,5
bridge and plastron color,1
bridge color,6
bridge dark bar,1
bridge length,7
bridge scutes,1
bridge width,2
bridges,1
brown bridge,1
brownish-red blotch,1
buttress strength,2
buttresses,1
carapace,9
carapace arching,2
carapace border,1
carapace color,26
carapace color comparison,1
carapace dorsal surface,1
carapace features,2
carapace ground color,1
carapace height,2
carapace keel,1
carapace keels,4
carapace lateral marginals,1
carapace length,30
carapace marginal scutes,1
carapace pattern,1
carapace posterior,1
carapace posterior marginals,1
carapace posterior serration,1
carapace rim and keels color,1
carapace scutes,2
carapace serration,2
carapace shape,35
carapace shape (juveniles),1
carapace size,1
carapace texture,2
carapace widest point,4
carapace width,3
carapacial color,3
carapacial ground color,1
carapacial scute surface,1
carapacial scutes,2
carotid canal,1
central blotch,1
cervical scute,2
cervical scute shape,1
cervical scute size,1
chin,2
chin and throat color,1
chin color,1
choanae,1
choanæ,1
claw length,1
cloacal bursae,1
color,4
colouration and pattern of shell,1
comparison with diagnostic characters,1
costal scutes,1
costals,1
crown color,2
dark color,1
dark-brown to olive stripe,1
differential diagnosis,1
dorsal markings,1
dorsal shape,1
dorsal surface color,1
