species,1st and 4th vertebrals,1st and 5th vertebrals,1st vertebral,2d to 4th vertebrals,2d vertebral shape,2nd neural bone,4th vertebral covering,4th-6th neural bones,5th vertebral,6th vertebral,adult carapace color,adult size,adult vertebrals,aged adult carapace and plastron color,anal notch,anal notch shape,anal notch width,anal scute notching,anal scutes,anterior and lateral marginal shape,anterior border of the 4th,anterior lobe length,anterior marginals,anterior part of head,axillary and inguinal buttresses,axillary and inguinal scutes,axillary and inguinal scutes presence,axillary and marginal scutes,axillary attachment,axillary buttress,axillary buttress attachment,axillary buttresses,axillary buttresses attachment,axillary length,axillary scute presence,axillary scutes,batagur kachuga,black bridge,black ovoid shape,bony buttresses presence,border color,bridge,bridge and plastron color,bridge color,bridge dark bar,bridge length,bridge scutes,bridge width,bridges,brown bridge,brownish-red blotch,buttress strength,buttresses,carapace,carapace arching,carapace border,carapace color,carapace color comparison,carapace dorsal surface,carapace features,carapace ground color,carapace height,carapace keel,carapace keels,carapace lateral marginals,carapace length,carapace marginal scutes,carapace pattern,carapace posterior,carapace posterior marginals,carapace posterior serration,carapace rim and keels color,carapace scutes,carapace serration,carapace shape,carapace shape (juveniles),carapace size,carapace texture,carapace widest point,carapace width,carapacial color,carapacial ground color,carapacial scute surface,carapacial scutes,carotid canal,central blotch,cervical scute,cervical scute shape,cervical scute size,chin,chin and throat color,chin color,choanae,choanæ,claw length,cloacal bursae,color,colouration and pattern of shell,comparison with diagnostic characters,costal scutes,costals,crown color,dark color,dark-brown to olive stripe,differential diagnosis,dorsal markings,dorsal shape,dorsal surface color,dorsolateral keel development,ear,elliptical carapace,entoplastron,entoplastron location,epipterygoid extension,ethmoid fissure,ethmoid fissure shape,ethmoidalis fissure,exoccipital,exposed limb surfaces,eye,eyelid pigment,facial markings,facial stripes,female carapacial pattern,female characteristics,female m. macrocephala,female plastron,femoral mid-seam length,fifth vertebral,first four vertebrals,fore lobe,forearm scales,foreclaw size,forefoot scale size,forefoot webbing,foreleg scalation,foreleg scales,forelimb scale shape,forelimb webbing,forelobe,forelobe size,four distinct ocelli,frontal bone,frontal bones,growth annuli,hatchling,hatchling central figure,hatchling diagnostic similarity,hatchling head and neck color,hatchling head and neck stripes,hatchling ocellate pattern,hatchling plastron color,hatchling shell color,hatchling throat color,hatchling throat pattern,head,head and neck color,head and neck stripes,head color,head crown color,head crown color comparison,head features,head markings,head shape,head size,head skin,head stripe color,head stripe presence,head surface,heel color,hexagonal neurals,hind leg shape,hind limb shape,hind lobe,hind lobe closure,hind lobe length,hind lobe shape,hind lobe size,hind lobe width,hind marginals,hindfoot heel scale size,hindfoot webbing,humero-pectoral seam,humero-pectoral seam angle,inferior parietal process,infraorbital stripe,infraorbital stripe extension,infraorbital stripe length,infraorbital stripe shape,infraorbital stripes,ingual scute size,inguinal buttress,inguinal buttress attachment,inguinal buttresses,inguinal extension,inguinal length,inguinal scute length,inguinal scute presence,inguinal scute size,inguinal scutes,inguinals,interanal seam,intergular seam,iris color,jaw and chin color,jaw color,jaw serration,juvenile coloration,juvenile dorsal keel development,juvenile dorsal keels,juvenile keels,juvenile scute pattern,keel,keel color,keel development,keel height,keel location,keel presence,keel shape,keels,knob color,lateral edges of the jaws,lateral keel,lateral keel length,lateral keels,lateral marginals,lateral plastral margins,lateral stripes,light seams,limb and tail color,limb color,limb scales,limb sockets and undersides of the limbs,limb webbing,limbs,limbs and soft parts,limbs and tail,loreal stripe,lower 2/3 to 3/4 of the pleurals,lower edge of the upper jaw,lower marginal scutes,lower triturating surface,m. m. kami,male carapacial pattern,male characteristics,male femoral scutes,male m. macrocephala,male plastron,male plastron shape,male tail,male tail length,marginal border,marginal color,marginal scutes,marginal shape,marginal stripe,marginals,margins,maximum size,medial carapacial keel,medial keel,medial keel length,medial keel shape,medial stripe,medial vertebral keel development,median keel,mottled spots,mouth color,mouth-to-neck stripe,nasal stripes,neck,neck color,"neck, limbs, and tail","neck, limbs, and tail color",neural bone shape,neural bones,neural bones length,neural bones shape,neural elongation,neural length,neurals,nostrils,notch above tail,nuchal,number of keels,number of longitudinal keels,orbit,orbital border,orbital stripe,orbito-nasal foramen,orbito-nasal foramen location,orbito-nasal foramen shape,palate and tongue color,palate color,pale streak,pangshura sylhetensis,parietal blotches,plastral buttresses,plastral color,plastral formula,plastral hinge,plastral hinges,plastral pattern,plastron,plastron and bridge color,plastron anterior lobe,plastron anterior lobe shape,plastron attachment,plastron bridge presence,plastron bridges,plastron color,plastron development,plastron formula,plastron hinge,plastron lacking,plastron length,plastron notch,plastron notching,plastron pattern,plastron posterior lobe,plastron posterior lobe shape,plastron presence,plastron shape,plastron size,plastron suturation,plastron width,"plastron, bridge, and undersides of the marginals color","plastron, bridges, and undersides of the marginals color",pleural 4 size,pleurals,"pointed, projecting corner (marginal scutes)",posterior anal notch,posterior border,posterior border of the anals,posterior carapace,posterior carapacial marginals,posterior dorsal head skin,posterior head skin,posterior lobe length,posterior lobe shape,posterior margin,posterior margin of the carapace,posterior marginal rim,posterior marginal serration,posterior marginals,posterior medial keels,posterior neural bones,posterior notch,posterior part of carapace,posterior part of head and temporal region,posterior plastral notch,posterior projections,posterior rim,posterior rim serration,posteriormost marginals,postlagenar hiatus,postlagenar hiatus shape,postorbital,ray pattern,recognition,round spot,scl,scute blotch,scute markings,scutes,seam between anal scutes,seam between vertebrals 3 and 4,seam length,sexual dichromatism,sexual dimorphism,shell elongation,shell shape,skin color,skull,skull features,skull postorbital bone,skull squamosal bone presence,skull temporal arch,snout,snout length,snout shape,snout spot,soft parts,spikelike posterior projection,spine at the posterior margin of each pleural scute,spinelike posterior projection,spinelike projection (juveniles),squamosal,squamosal bones position,squamosals,stripes,stripes or light spots,subocular stripe,subspecies,subspecies separation,supracaudal marginals,supracaudal plates,supraocular stripe,supraorbital stripe,tail,tail color,tail features,tail length,temporal arch,temporal blotches,temporal region color,temporal stripe,throat color,throat pattern,toes,toes webbing,tongue color,toothlike projection presence,triturating surface,triturating surface of upper jaw,triturating surfaces,triturating surfaces of the jaws,tympanic ring,underside of the head and neck,undersides of the marginals,upper jaw,upper jaw color,upper jaw medial notch,upper jaw notch,upper jaw profile,upper jaw shape,upper surfaces of the marginals,vent location,vertebral 1,vertebral 1 shape,"vertebral 1, 2, and 5","vertebral 1, 2, and 5 size","vertebral 1, 3, and 4",vertebral 1-3,vertebral 2,vertebral 2 and 5,vertebral 2 shape,vertebral 2 size,vertebral 2-4,vertebral 2-4 shape,vertebral 3,vertebral 3 and 4,vertebral 3 and 4 size,vertebral 3 shape,vertebral 3-5 shape,vertebral 4,vertebral 4 shape,vertebral 4 size,vertebral 5,vertebral 5 shape,vertebral and pleural scute color,vertebral keel,vertebral projection,vertebral scute,vertebral scute shape,vertebral scute size,vertebral scutes,vertebral shape,vertebral shields,vertebral size,vertebrals,vertebrals 1 and 5,vertebrals 2-4,vertebrals 2-5,vertebrals shape,webbing,yellow band,yellow bridge,yellow line,yellow or orange bands,yellow orange stripes,yellow plastron,yellow seam lines,yellow stripes,yellow to cream-colored stripe,yellowish orange stripes,yellowish pigment,yellowish seam,yellowish stripe,young,young adult carapace and plastron color,young individual markings
Rhinoclemmys rubida,,,,,,,,,,,,230 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellowish brown with dark seams and dark mottling on each scute to unicolor chocolate,,,,,,,,,,light brown without dark mottlings,,,,,,,,flattened to slightly domed,,,rugose owing to growth rings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"light stripe between the orbit and the tympanum, corner of the mouth to the tympanum",,,"fat plastrons, shorter tails, vent beneath the carapace",,,,,,,,,,,,large yellow or reddish black spotted,,,,,,,,,,,,,,,,,,,,,,,,,,"highly variable, broad horseshoe-shaped light mark on the crown, light bars across the snout","moderate-sized, projecting snout, hooked upper jaw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow with small dark vermiculations or stipples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"concave plastrons, longer tails, vent beyond the carapacial margin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"yellow with a brown central blotch, and a brown bridge",,,,,,,,,,,,"unhinged, slightly upturned anteriorly, and notched posteriorly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no apparent difference between the sexes,,,olive-gray to yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow with a brown central blotch,,,,,,,,,,,,,,,not or only slightly webbed,,,,,,,,,,,,,,,,
Heosemys spinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medial and two lateral keels,,,,,,,,,,,flattened across the vertebrals,"broad, oval",to 22 cm,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,usually crossed by the humero-pectoral seam,,,broadly oval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not flared outward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,six-sided and shortest posteriorly,,,,,,,,,posteriorly placed at a level with the primitive caroticum foramen and bordered medially by the basisphenoid,,,,,,,,,,,,,,"rigid, well buttressed, and generally hingeless",,,,,,,,,,,,,,,,,,,,,,,,,,,making the entire outer rim of the carapace spiny,,,,,,,,,,,serrated,,,,,,,,,,,,,,round,,,,smaller individuals are like walking pin cushions,,,,,,,,,,,,,,,,,,,,,,,,,small,,occurs on the keel at the posterior border of each vertebral,,,,,,,,,,,,,,,,,absent from the short skull,,,,,,,,,,,,,narrow and ridgeless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanochelys trijuga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,about as long as the posterior plastral lobe,,,,,,,,,,,,,,,,,,three,slightly upturned,to 38.3 cm,,,,not serrated (or slightly so in juveniles),,,,,"elongated, slightly depressed",,,,,,,reddish brown to dark brown or black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large,,,,,,,,,,,,,,,,,,,,,,"brown to black, may contain orange or yellow spots or reticulations, or a large yellow or cream-colored blotch at the temporal region",,,,,short snout and medially notched upper jaw,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray to dark brown or black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd>< pect > fem >< an > gul >< hum,,,,,,,,,,,"dark brown or black, or yellow border",well developed,,,,elongated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,longer and thicker in males than in females,,,,,,,,"fully webbed to the claws, or nearly so",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variable in width and length,,,,,,,,,,,,,,,,,,,,,,,,,
Morenia ocellata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slightly depressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lies entirely within the pterygoid bone,,broader than long,,,,,,lie at the level of the posterior orbital rim,,,,,,,,,,,,,,,,,,,lies anterior to the humero-pectoral suture,,,,,,supported by an extension of the opisthotic and drops behind the paracapsular sac,,,,,,,,,,,,,,,,,,,,,,,,,,touch beneath the olfactory nerves posterior to the ethmoid fissure,,,,,,,,,,,,,,,,,,,,,,,,,,,shortened anteriorly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serrated,,,,,,,,,,,,,,,,,,,,ridgeless,,,,,,,,,,,,,,,,,,,more pronounced in the young,,,,,,,,,,,,,,,,,,,,,,,,,,,separated from the prefrontal and postorbital bones,,,,,,,,,,,,,,,,"well developed, but hingeless",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,firmly in contact with the postorbital,,,,,,,,,,,,,,,,,,,,,,,,,,very wide and has a well-defined tubercular medial ridge,,,,,,,medially notched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,as long as or longer than broad,broader than long,,,,,,,,,,,,,,,,,,,
Cuora philippinensis,,,,,,,,,,,,,,,,,,,unnotched in female and notched in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rather flattened, chestnut brown",,,brown,,,,,,,,,,,,,,,,,,low- to moderately high-domed,,,,,,,,,,,,,,,cream white,,,,,,,,,,,,,,,description of characteristics used to distinguish the species from others in the same genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"faded, olive-colored",,,,,,,,,,,,,,,,,,,,,,,,slightly serrated,,,,,,,,,,,,,,,,,,,,"well-developed, nearly as wide as long",well-developed,,,,,,,dark central pattern and pale orange plastron,,,,,,,,,,,,,,,,,,,,,,,,,,,,greyish without pattern,,"weakly visible, temporal stripe interrupted and not connecting to the tympanum patch",,,,,,,,,,,,,,,,,,,,,,,well-developed,,,,,,,,,,,,,,,,,,,,,,well-developed,,,,,,,,,,,,,,,,,,,,"variable, extending from central posterior part of scute towards anterior part","yellow, with a black blotch of varying size on each scute and a faded brown central pattern present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.2 cm,,,"iron-stained, tricarinate",,,,,,,,,,,,,,,,,,,,,,,,,,,,faded in some portions,,,,,interrupted,,,,,35 – 40% scl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuora praschagi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beneath the tympanum,,,,,,,,,,,,,,,high-domed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow orange,,,,,,,,,,orange patches,,,,,,,abrupt posterior decline,,,,,,,,,,,,,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,more massively developed in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weakly developed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,,,,,,,,concave,,,,,,brownish pattern,,,,,,,yellowish to orange-brown stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,same width as subocular stripe,,,,,20 – 25% scl,,,,widest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 – 4,,,,,,,,,,reticulations,,,,,uninterrupted,,encircles,between labial and subocular stripes,,,
Cuora aurocapitata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uniform dark brown,,,,,,,,,not exceed 120 mm,,,,,,,,,"rather flat, without posterior serration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,strikingly enlarged,,,,,,,,,,,,,,,,,,,,,,,,,,,"black or grayish below and on the neck, with light areas on the mandibles and the sides and with a brilliant yellow shield or helmet on top",,,,,pointed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well developed and fully mobile,,,,,,,,,,yellow,,,,,,,,,,,,lacking an anal notch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauremys mutica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"orange, marked with two prominent black blotches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown to grayish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"medium size, grayish to brown-black in color",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disappear with age,,,,,,,,,,"grayish to olive above, yellowish below",,,,,faded yellow color,,,"lighter brown carapace, smaller plastral blotches, indistinct (or absent) postorbital stripe, and unusual sexual dimorphism",,,,,,,,,,,,,,,"somewhat recurved in old individuals, and the posterior ones may be slightly serrated",,,,,,,,weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"orange-yellow, with a black spot along the border of each scute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"short, almost truncated",,,,,,,,,,,,,,,"two subspecies: the nominal race, m. m. mutica, and m. m. kami",,,,,,significantly longer and thicker in males than in females,,,,,,,,,,,,,,,,,,,faded yellow color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"extends from the snout, traverses the eyes, and ends at the base of the neck",,,,,,,,,,,,,"three keels, light spots on the carapace",,
Mauremys sinensis,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,highest between the second and third vertebrals,,,,,,,,,,,often show clear annual growth rings,lightly serrated posteriorly,,,,,,,,,,,,,,,,,,,,,,,reddish brown to black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"olive on top, and yellow below",,,,,narrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pale green,,,,,smooth out or disappear in adults,three,,,,,,,,,,,,,,,,,,,,,"olive, with numerous very fine yellow stripes","large scales on forelimbs, small, flat scales on the remainder of each limb",,fully webbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,well developed,,,,,,,,,,,,,,large,,,,"yellow, with a brown to black blotch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fine, very straight yellow and black rays",,,,,,,,,,,,,"elliptical, slightly flattened toward the back",,,,,,,,,slightly pointed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white or cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,following the original keel lines,,,present in the young,,,,,,,,,
Batagur affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"chocolate brown to almost black, rusty brown to reddish",,,,,elongated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,golden or bright yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,distally yellow,,,,,,,,,,,,,,edges of mouth orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conspicuous whitish grey to silvery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,upturned,,,,,,,,,,,,,,,,,,,,,,,,conspicuous whitish grey to silvery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
