trait,count
adult length,1
anal,4
anal scale,3
anterior parietals,1
anterior prefrontals,1
anterior teeth,1
anterior temporal shape,2
arrow-shaped mark on head distinct,2
back,1
bands,1
belly,1
belly color,1
black streak,1
blotches,1
blotches shape and distribution,1
blotches size,1
body,6
body shape,1
body size,5
broken pattern following the vertebral ridge,1
caudal scales,1
chin and belly,3
chin and belly color,1
cloacal spurs,5
color,7
color change,1
color pattern,1
coloration,1
dark blotches on flanks,1
dark shade of green coloration,1
dark sub-rectangular blotches,2
darkened tail tip,1
dorsal color,6
dorsal color pattern,1
dorsal coloration,1
dorsal pattern,2
dorsal patterning,1
dorsal scales,5
dorsal spots,4
dorsum color,1
elongate medial anterior process of the ectopterygoid,2
eye,1
eye band,1
eyes,2
flank color,1
flanks,1
flanks color,1
frontal,6
frontal plate,1
hatchlings,1
head,8
head and body,1
head color,2
head coloration,1
head length,1
head scale arrangement,1
head shape,3
head shields,3
head stripes,1
heat pits,1
high midbody scale count,1
hl/hw,1
hl/svl,1
infralabial count,1
infralabial pits,2
infralabial scales,1
infralabials,4
internasals,7
interoculars,1
interparietal,1
interparietal scales,1
iridescence,1
iris band,1
jaw color,1
jaws,2
juvenile morph,2
juveniles,2
juveniles possess a single iris band,1
keeled dorsal scales,1
labial counts,1
labials,3
labials separated from eye by sub-oculars,2
large dark blotches,2
large scales,2
largest specimen,1
length,2
loreal,6
loreal scale count,2
loreal scales,2
loreal shape,2
loreals,1
low subcaudal scale counts,1
lower labials,5
mandibular foramen,1
mid-body girth,2
midbody scale row,1
midbody scale row counts,1
midbody scale rows,2
nasal,3
neck shape,2
neck thickness,1
neural spine,1
number of ventrals,2
orbit,1
pale post-ocular stripe,1
parietals,10
perioculars,1
post-ocular pattern,2
posterior dorsals,1
posterior parietals,1
posterior ventral,1
postocular scale count,1
postocular scale counts,1
postocular scales,2
postocular shape,2
postocular spot,1
postocular spots,1
postoculars,8
praefrontals,6
praemaxillary,1
praeocular,2
praeoculars,4
prefrontal scale count,2
prefrontal scales,4
prefrontal shape,2
premaxillary teeth,1
preocular scale,1
preocular shape,2
preoculars,1
presence of a single juvenile morph,1
pupil,1
rostral,8
rostral shape,2
scale arrangement,1
scale pattern,1
scales,4
scales in a median line between the orbits,1
scattered pale spots,1
sensory pits,3
"short, stubby tails",1
sides of head,2
sides of snout,1
sides of snout color,1
size,1
skin pigmentation,1
spurs,1
strongly imbricate,1
subcaudal scale counts,2
subcaudal scales,1
subcaudals,8
subocular scale,1
suboculars,1
suborbital supralabial region,2
supralabial and infralabial scales,1
supralabial area,1
supralabial scales,1
supralabial thermoreceptive pits,2
supralabials,3
supraoculars,2
svl,2
tail,4
tail length,2
tail shape,3
tail tip,2
tan ocelli,1
thermoreceptive pits,1
tightly knitted row of white vertebral scales,1
tongue,1
top of body,4
top of body color,1
two pairs of parietals,2
upper labials,8
ventral,1
ventral color,2
ventral count,1
ventral scale counts,3
ventral scales,4
ventral surface,3
ventrals,10
vertebral region,3
vertebral ridge,1
vertebral scales,1
white spots,1
whitish postocular spots,1
