species,adult lengths,anal,anal scale,anterior ones of both jaws,anterior parietals,anterior praefrontals,anterior prefrontals,anterior teeth,anterior temporals,anterior third of the body,arrow-shaped mark on head,average hl/hw,average hl/svl,average tl/svl,belly,black stripe,blotched pattern,blotches,body,body length,body size,both jaws,broad transverse black-edged patches,broken pattern,chin,cloacal scale,cloacal spurs,color,color pattern,comparative dna properties,coronoid,dark patch,dark shade of green coloration,dark spots,delayed color change,dentary teeth,description (genus),description (species),diagnosis (genus),diagnosis (species),dorsal and lateral spots,dorsal color,dorsal color pattern,dorsal coloration,dorsal midbody rows,dorsal midbody scales,dorsal pattern,dorsal scale rows,dorsal scales,dorsal surface,dorsum of the head,eggs,elongate medial anterior process of the ectopterygoid,eye,eye-supralabial contact,eyes,flank blotches,flanks,forehead,frontal,frontal scale,genus,girth,half ventrals,head,head blotch,head length,head scalation,head scale arrangement,head size,head stripe,head width,heat pits,high midbody scale count,infralabial pits,infralabial scales,infralabials,internasal scales,internasals,interoculars,interparietal,iridescent,jaws,labials,labials entering the orbit,largest specimen known,lateral color,lateral surface,length of head and body,light spot,loreal,loreal region,loreal scales,loreals,lower labials,lower surface,mandibular foramen,maxillary,maxillary teeth,maximum mid-body girth,mental groove,mid-body girth,molecular genetic information,monophyletic clade,nasal,nasals,neck,neural spine,nostril,number of prefrontals,number of ventral and subcaudal scales,number of ventrals,orbit,overall coloration,palatine,palatine teeth,pale post-ocular stripe,parietal scales,parietals,part of labials,parts of head,patches,pattern,perioculars,post-internasal scutes,post-ocular pattern,post-ocular stripe,posterior dorsals,posterior parietal scales,posterior prefrontals,postocular scales,postocular spots,postoculars,prae-,prae-oculars,praefrontals,praemaxillary,praeocular,prefrontal scales,prefrontals,preocular scale,preoculars,pterygoid,pupil,python breitensteini,python brongersmai,python curtus,python curtus species group,rapid color change,remainder of head shields,remnant or partially inserted ventrals,rostral,rostral scale,rostral width,scale arrangement,scale at snout tip and first two upper lip scales,scale of head,scale rows at midbody,scale rows at neck,scales,scales in a median line between the orbits,scales on dorsum of the head,scales on the dorsum of the head,sensory pits,sexes,sexual dimorphism,sides of snout,simalia,single iris band,single juvenile morph,skin,snout tip,spurs,stripes,subcaudal scales,subcaudals,subocular,subocular scale,suboculars,suborbital portion of the maxilla,supralabial scale counts,supralabial scales,supralabial thermoreceptive pits,supralabials,supralabials entering the eye,supralabials entering the orbit,supraocular,supraoculars,supratemporal,tail,tail (broken),tail length,tan ocelli,thermoreceptive pits,thick-bodied,tip of arrow-head mark on head,tongue,top of body,total length,two dark streaks on side of head,upper and lower labials,upper labials,upper surface eye,upper surface of head,v,venter,ventral,ventral color,ventral scale count,ventral scale counts,ventral scales,ventral surface,ventrals,vertebral region,vestiges of pelvis and legs,whitish postocular spots,yellow stripe,yellow stripes,yellowish to brown,young specimens
Antaresia maculosa,,,,,,,,,,,,,,,,,ragged edges,,,,1220 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large hexagonal or pentagonal,,,,,,0.036 of svl,large symmetrical shields,,,,1.68 times,three to four,,,,11-14,two,,,,,,,,,,,,,,,1-11,,,,,,,,,140 mm,,,,,2.04 times,,,,,,,,,,,two,,,,,,,,,,,,,,,,,,,,,four,,"large, anteriorly pointed",,,,,,,,,,,,"in contact with internasals, nasal and first supralabials",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-12,,,large,,,,,,,,,,,,,,,,,,,,,,,,,,249-280,,,,,,,
Apodora papuana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relatively larger,,,,,,,,about one time and one fourth as long as broad,,,,,,,,,,,,,,,,,,,one time and a half as long as broad,,,,,,,,,,,,large,,,,,,,,,,,,,,,,,low,,,,,,,,,,,a pair,,,,,,,,,,,,,,three elongate,,,two thirds the length of the praefrontals,,large,,,,,,,,,,,,,,two times as broad as deep,,,,,,,,,,,,,,,,,,,darkly pigmented,,,,,,very small,,,,,,,,,,,,,,,,,in the rostral,,,"extremely long, deeply forked",,,,,,,,,,,,,,,,,,,,,,,
Aspidites melanocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juveniles strongly banded and compressed,preoculars 2,premaxillary teeth absent,distinguished from a. ramsayi by its glossy black or deep reddish-brown hood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspidites ramsayi,,,,,,,,,"4 (4% of specimens), 5 (44% of specimens), 6 (33% of specimens), 7 (15% of specimens), 8 (2% of specimens) or 9 (2% of specimens)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2-2.0 times as long as wide,,,,,,,,,,,,,,,,,,,,,,,,,,,2 (rarely 3),14 (2% of specimens),,,,,,,,,,,,,,,2 pairs,,,,,,,,,,,,,,,,,,,,,,,"3 (4% of specimens), 4 (48% of specimens), 5 (39% of specimens) or 6 (9% of specimens)",,,,,,,,,"1 (4% of specimens), 2 (91% of specimens) or 3 (5% of specimens)",,,,,,,,,,,,1.0-2.0 (mostly 1.5) times as wide as high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11 (9% of specimens), 12 (46% of specimens), 13 (32% of specimens) or 14 (13% of specimens)",,,,,"273-304 (n 27, mean 286.4)",,,,,,,,,,,,,
Bothrochilus boa,,entire,,,,,,,,,,,,,,,,,,,,,,,,,,brown with black rings or uniform blackish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,as long as broad or a little more long,,,,,,,,,,,,,,,,,,,more broad than long,,,,,,,1540 mm,,,830 mm,behind the eye,small,,,,three or four pitted,,,,,,,,,,,,,,,,,,,,,,,,two pair,,,,,,,,,,,,,,two (three),,,one pair,,one large,,,,,,,,,,,,,,twice as broad as deep,,,,,,,,35-39 rows,,,,,,,,,,,,,,,,47-52,,,,,,,,,,,,,,,,120 mm,,,,,,,,,,nine to twelve,,,,,245-267,,,,,,,,,,,,,black and orange rings
Leiopython albertisii,,,,,,,,,,,,,,,,,,,,,larger,,,,,,,,,,,,,,,,,,,,,dark yellow or golden,,,higher average,,,,,,,,,,,,,,,,,,,,,,,,different,shorter and narrower,,,,,,,,,,,small,strongly,,,two,,lighter,,,,,,,lower number,,,,,,,,,,,,,,,,,,,,,,,,"small, irregular",two pairs,,,,,,,,,,large and wide,,,whitish,lower average number,,,,,,,lower number,,,,,,,,,,,,,,,different,,,,,,,,,,,absent,,,,,,,,,higher average,,,,,,higher,,,,higher number,,,,,,,,,,,,,,,,,,,,,,,white or cream,,lower,higher number,,,,,present,,,,
Liasis fuscus,,entire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,,,,,,,,,,,,,about one time and a half as long as broad,,,,,,,,,,,,,,,,,,,more long than broad,,,,,,,,,,1 140 mm,,single large,,,,three or four,,,,,,,,,,,,,,,,,,,,,,,,one or two pair,,,,,,,,,,,,,,two,,one,extend to the frontal or are separated from it by a small shield,,,,,,,,,,,,,,,,more broad than deep,,,,,,,,in 47 or 49 rows,,,,,,,,,,,,,,,,65-72,,,,,,,,,,,,,,,,190 mm,,,,,,,,,,ten to twelve,,,,,,yellowish,,,,,275-291,,,,,,,
Liasis mackloti,,,,,,,,very long,,,,,,,,,,,"cylindrical or a little compressed, covered with small smooth scales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rather small,,,,,,"about one time and a half as long as broad, as long as its distance from the tip of the snout",,,,,"distinct from neck, covered with symmetrical shields",,,,,,,,,,,,,,"a little more long than broad, hardly half the length of the praefrontals",,,,,,,,,,,,large,,,,five,,,,,,,,,,,,,,in a semi-divided nasal,,,,,,,,,,"a pair, followed by smaller shields",,,,,,,,,,,,,,two,one,,,toothed,,,,,,,vertical,,,,,,,,"more broad than deep, scarcely visible from above, with a feeble pit on each side",,,,,,,,,,,,,,,,,,,,,,,,in two rows or the greater part only,,,,,,,,,,,,,,"moderate or short, not or very slightly prehensile",,,,,,,,,,,,eleven,,,,,,,,,,,,,,,,,,
Morelia bredli,,entire,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,10,,,,,,,,,,,,46,"smooth, weakly imbricate",,,,,,,,,,,unfragmented and obvious,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,16,,bordered by 12 scales,,,,,internasals,,,,,,,surrounded by 15 scales,,,6,,,,,,,,,unfragmented and obvious,,,,,,,,,,,,,,,,,,,,,,,,,,,visible from above,,,,,,,,,11,,,,,,,,,,,,,,,90,,,,,,,,14,,"sixth, seventh and eighth",,,,,,,,,,,,,,,,,,,,,293,,,,,,,,,,,,,
Morelia carinata,,,entire,,,,4 symmetric parts,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oval (9 x 8 mm),,,,,,,,,,,,,,,,,,,2 small median scales,,,,,,,,,,,,,,,"small, numerous","16 and 17, pits in labials 9-14, and 10-14",,,,,,"deep, bordered on each side",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asymmetrically divided,,angular apex,,,,,,45,41,,,,,oblique,,,,,,,,,,,,"83, all but numbers 4-6 and 73-80 divided",,,,,,,,,,,,"4, third largest",,not prehensile,,,,,,,,,,,,"14 and 15, seventh and eighth entering orbit",,,,,,,,,,,298,,,,,,,
