trait,count
11 marginals,1
1st vertebral,1
400 mm,1
5th vertebral,7
76 cm,1
8 kg,1
abdominals,1
abruptly descending sides,2
adult color pattern,1
adult coloration,2
adults,1
anal midline suture length,1
anal notch,3
anal scute projections,1
antcrior marginals,1
anterior and posterior marginals serrated,1
anterior marginals,3
anterior neurals,2
anterior notch,1
anterior orbito-nasal foramina,1
areolae,1
average mass,1
axillaries,5
axillary,1
axillary and inguinal buttresses,2
axillary and inguinal scutes,2
axillary scale,1
axillary scales,1
axillary scute,3
axillary scutes,3
beak,2
beak edge,1
beak shape,6
bifurcated gulars,1
black markings,1
black-brown,1
body skin color,1
bridge,5
bridge characteristics,1
bridge color,1
bridge ridge,1
bridge width,3
broad bridge,1
brown,1
buttock tubercles,6
carapace,3
carapace color,12
carapace features,1
carapace length,11
carapace margins,1
carapace of male,1
carapace pattern,4
carapace scutes,1
carapace shape,19
carapace size,1
carapacial color,2
centrochelys sulcata,1
cervical indentation,2
cervical notch,6
cervical region,3
cervical scute,8
chin color,1
claw distance,1
clutch size,1
color,2
color variation,1
coloration,3
colour,1
concave plastron,1
contrast,1
cream or yellow,1
dark radiations,1
difference between percentages of heights at third vertebral and at nuchal notch,1
disrupted keel,1
distribution,1
domed carapace,1
dorsal shields,1
dorsal surface,2
elbow mobility,1
eleven marginals,1
elongated carapace,1
elongated cervical,1
enlarged sub-conical tubercle,1
expanded 5th vertebral,1
female size,1
flared posterior marginals,1
flared posterior rim,1
flattened dorsally,1
fore limb claws,1
fore limb scales,1
fore lobe,1
fore lobe shape,2
fore-limb scutes,1
forearm claws,1
forearm scales,2
foreclaw number,1
forefeet,1
forefoot claws,1
forefoot scales,1
forehead shields,1
forelimb scales,1
forelimbs,1
forelobe shape,1
four claws,1
fourth cervical vertebra,1
fourth to fifth vertebral suture,1
front and rear marginals,1
front foot size,1
frontal and prefrontal scales,1
general size,1
glans penes,1
growth annuli,5
gular,1
gular area,1
gular notch,1
gular projections,1
gular scutes,1
gular scutes length,1
gular shape,1
gular size,1
gular size (female),1
gulars,15
gulars projection,1
habitat,1
hatchling coloration,1
hatchling mass,1
hatchling weight,1
head,1
head color,3
head coloration,1
head physiognomy,1
head scales,4
head size,6
height at nuchal notch,1
highest point,1
hind limb claws,1
hind lobe,4
hind lobe of plastron,1
hind lobe shape,2
hinge,5
inguinal,2
inguinal scute,5
inguinal scutes,1
inguinals,2
interhumeral and interpectoral seams ratio,1
jaw serrations,1
jaw surface,1
jaws and throat,1
juvenile color pattern,1
juvenile coloration,2
juvenile pattern,1
juvenile shape,1
juveniles and females,1
laminae,1
large black blotches,1
large prefrontal scale,1
large single frontal scale,1
length,1
length over curve in male,1
length/height ratio,1
limb scales,1
longest median suture,1
male plastron shape,1
male tail length,1
male tail shape,1
males,3
marginal areolae,1
marginal color,1
marginal count,1
marginal plates,1
marginal scutes,1
marginal stripes,1
marginals,19
mass,1
mature males,1
max. tl,1
maxillae,1
maximum length,1
maximum tl,2
medial keel,1
midline pectoral scute,1
moderate,1
narrow cervical scute,1
neurals,1
no cervical scute,1
nonprotruding snout,1
nostril location,1
nuchal,7
nuchal scute,3
nuchal shield,2
number of marginals,1
number of species,1
one or two inguinals,1
orange-yellow,1
oval carapace,1
overall coloration,1
p. t. tentorius,1
p. t. verroxii,1
paired gulars,2
pectoral midseam length,1
pectoral plates,1
pectoral scute,1
penis length,1
penis shape,1
plastral concavity,3
plastral forelobe,1
plastral formula,13
plastral hind lobe,1
plastral hinge,1
plastral lobes,2
plastron,9
plastron and bridge color,4
plastron color,10
plastron development,3
plastron lacking,1
plastron length,1
plastron pattern,1
plastron shape,3
plastron shield,1
plastron size,1
pleural areolae,2
pleural color,1
pleurals,1
posterior declivity,1
posterior marginals,10
posterior marginals upturned,1
posterior notch,1
posterior notch on hind lobe,1
posterior portion,1
posterior portion of the carapace,1
posterior rim,2
posterior slope,1
postorbital bar,1
prefrontal scale size,1
prefrontal scales,1
prefrontals,1
premaxillae,1
projecting gulars,1
radial pattern development,1
raised areolae,1
scute borders,1
scute color,1
scute shape,1
scutes,2
seam borders,1
serrated posterior rim,1
sex ratio,1
sexual dimorphism,4
shell color,2
shell depression,1
shell length,2
shell opening size,1
shell shape,3
shell width,1
shorter and narrower hind lobe,1
sides,1
single axillary,1
single undivided supracaudal scute,1
size,3
skull shape,1
smoothshelled,1
snout,1
snout shape,4
space between plastron and carapace,1
straight length,1
submarginal scales,1
submarginal scutes,2
subspecies,1
supracaudal,9
supracaudal scute,3
supracaudal shape,1
supracaudals,1
suprapygal bones,2
suprapygals,1
suture color,1
tail,1
tail spine,2
tail spur,1
tapered forelobe,1
temporal arch,1
terminal spine,2
the elongated carapace,1
thigh tubercle,1
tl,7
top scutes,1
triturating surfaces,1
undivided supracaudal,1
unequal tubercular scales,1
upper jaw,2
upper jaw shape,2
upturned forelobe,1
vertebral 1,1
vertebral and pleural areolae,1
vertebral and pleural areole,1
vertebral and pleural patterns,1
vertebral length,1
vertebral scutes,1
vertebral shields,1
vertebral width,1
vertebrals,8
vertebrals 2-5,1
vertebrals and laterals,1
vertical distance from lower surface of plastron to lower edge of lateral marginals,1
weak cervical notch,1
weakly hooked upper jaw,1
weight,3
well-defined growth annuli,1
well-developed plastron,1
wider than long vertebrals,1
yellow bar on each marginal,1
yellow plastron,1
yellow vertebral and pleural areolae,1
young tortoise coloration,1
