species,11 marginals,1st vertebral,400 mm,5th vertebral,76 cm,8 kg,abdominals,abruptly descending sides,adult color pattern,adult coloration,adults,anal midline suture length,anal notch,anal scute projections,antcrior marginals,anterior and posterior marginals serrated,anterior marginals,anterior neurals,anterior notch,anterior orbito-nasal foramina,areolae,average mass,axillaries,axillary,axillary and inguinal buttresses,axillary and inguinal scutes,axillary scale,axillary scales,axillary scute,axillary scutes,beak,beak edge,beak shape,bifurcated gulars,black markings,black-brown,body skin color,bridge,bridge characteristics,bridge color,bridge ridge,bridge width,broad bridge,brown,buttock tubercles,carapace,carapace color,carapace features,carapace length,carapace margins,carapace of male,carapace pattern,carapace scutes,carapace shape,carapace size,carapacial color,centrochelys sulcata,cervical indentation,cervical notch,cervical region,cervical scute,chin color,claw distance,clutch size,color,color variation,coloration,colour,concave plastron,contrast,cream or yellow,dark radiations,difference between percentages of heights at third vertebral and at nuchal notch,disrupted keel,distribution,domed carapace,dorsal shields,dorsal surface,elbow mobility,eleven marginals,elongated carapace,elongated cervical,enlarged sub-conical tubercle,expanded 5th vertebral,female size,flared posterior marginals,flared posterior rim,flattened dorsally,fore limb claws,fore limb scales,fore lobe,fore lobe shape,fore-limb scutes,forearm claws,forearm scales,foreclaw number,forefeet,forefoot claws,forefoot scales,forehead shields,forelimb scales,forelimbs,forelobe shape,four claws,fourth cervical vertebra,fourth to fifth vertebral suture,front and rear marginals,front foot size,frontal and prefrontal scales,general size,glans penes,growth annuli,gular,gular area,gular notch,gular projections,gular scutes,gular scutes length,gular shape,gular size,gular size (female),gulars,gulars projection,habitat,hatchling coloration,hatchling mass,hatchling weight,head,head color,head coloration,head physiognomy,head scales,head size,height at nuchal notch,highest point,hind limb claws,hind lobe,hind lobe of plastron,hind lobe shape,hinge,inguinal,inguinal scute,inguinal scutes,inguinals,interhumeral and interpectoral seams ratio,jaw serrations,jaw surface,jaws and throat,juvenile color pattern,juvenile coloration,juvenile pattern,juvenile shape,juveniles and females,laminae,large black blotches,large prefrontal scale,large single frontal scale,length,length over curve in male,length/height ratio,limb scales,longest median suture,male plastron shape,male tail length,male tail shape,males,marginal areolae,marginal color,marginal count,marginal plates,marginal scutes,marginal stripes,marginals,mass,mature males,max. tl,maxillae,maximum length,maximum tl,medial keel,midline pectoral scute,moderate,narrow cervical scute,neurals,no cervical scute,nonprotruding snout,nostril location,nuchal,nuchal scute,nuchal shield,number of marginals,number of species,one or two inguinals,orange-yellow,oval carapace,overall coloration,p. t. tentorius,p. t. verroxii,paired gulars,pectoral midseam length,pectoral plates,pectoral scute,penis length,penis shape,plastral concavity,plastral forelobe,plastral formula,plastral hind lobe,plastral hinge,plastral lobes,plastron,plastron and bridge color,plastron color,plastron development,plastron lacking,plastron length,plastron pattern,plastron shape,plastron shield,plastron size,pleural areolae,pleural color,pleurals,posterior declivity,posterior marginals,posterior marginals upturned,posterior notch,posterior notch on hind lobe,posterior portion,posterior portion of the carapace,posterior rim,posterior slope,postorbital bar,prefrontal scale size,prefrontal scales,prefrontals,premaxillae,projecting gulars,radial pattern development,raised areolae,scute borders,scute color,scute shape,scutes,seam borders,serrated posterior rim,sex ratio,sexual dimorphism,shell color,shell depression,shell length,shell opening size,shell shape,shell width,shorter and narrower hind lobe,sides,single axillary,single undivided supracaudal scute,size,skull shape,smoothshelled,snout,snout shape,space between plastron and carapace,straight length,submarginal scales,submarginal scutes,subspecies,supracaudal,supracaudal scute,supracaudal shape,supracaudals,suprapygal bones,suprapygals,suture color,tail,tail spine,tail spur,tapered forelobe,temporal arch,terminal spine,the elongated carapace,thigh tubercle,tl,top scutes,triturating surfaces,undivided supracaudal,unequal tubercular scales,upper jaw,upper jaw shape,upturned forelobe,vertebral 1,vertebral and pleural areolae,vertebral and pleural areole,vertebral and pleural patterns,vertebral length,vertebral scutes,vertebral shields,vertebral width,vertebrals,vertebrals 2-5,vertebrals and laterals,vertical distance from lower surface of plastron to lower edge of lateral marginals,weak cervical notch,weakly hooked upper jaw,weight,well-defined growth annuli,well-developed plastron,wider than long vertebrals,yellow bar on each marginal,yellow plastron,yellow vertebral and pleural areolae,young tortoise coloration
Stigmochelys pardalis,,,,,,,,,"varying patterns, often breaking into spots or striations",,,,,,,,,,,,,10-15 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,302 mm (fitzsimons 1935a:304),,,,,highly domed,,,,,,,,,,,tawny yellow to brown with dark areolae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,about 30-35 g,,,,,,,,,,,,,,,,,,,,,,,dark margins on scutes of carapace enclosing dark spots,,,,,"raised, flared",,,,600 mm (archer 1968),,,,,,,,,,,,,,,flared,up to 40 kg (archer 1968),,,,,,,,,,,,,,,,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geochelone elegans,,,,,,,,,,,,,,,,,may be flared or downturned,alternately octagonal or quadrilateral in shape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no adults are less than 25 cm in carapace length,,,,,"oval to elongated, and from domed to somewhat dorsally flattened (especially in males of some species) to saddlebacked",,,,some form of cervical indentation or notch is usually present,,,a cervical scute is present in most species,,,,,,,,,,,,,,pantropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 marginals lie on each side of the carapace,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,lacks a hinge and varies from narrow to broad,,,,,,,,,,,,,,may be serrated,,"may be deep, shallow, or nonexistent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"to 130 cm, and over 185 kg",,,,,,,,no submarginal scutes,,usually single and undivided,,,,two suprapygal bones are present: the larger anterior suprapygal bifurcates posteriorly and partially surrounds the smaller posterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indotestudo elongata,,,,,,,,,,,,,deep,,,,,alternately octagonal or four-sided,,small and concealed in ventral view,,,,,short but strong,,,,,,,,,,,,,wide,,,,,,,,,,,,,,,,"elongated, flattened dorsally",to 27.5 cm,,,,shallow,,narrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,somewhat thickened,,,,,,,,,,,,,,,,,,,,,,,,somewhat serrated,,,,,,,,,,,,,,,,,,,,,,,,,,,11 on each side,,,,do not contribute to the roof of the palate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"well-developed, hingeless",,moderate,,,,,somewhat serrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,short to moderate,,,,,,,absent,,single and undivided,,,,2,,,,,,,relatively weak,,,,,,weak to moderate medial ridge,,,"hooked, tricuspid",,,,,,,,,,,,,,,,,,,,,,,,
Psammobates geometricus,,,,,,,,,,,,,,,,,,,,,,,,,,,single,,,,,,hooked,,,,,,,,,,,,absent,,beautifully marked with geometric patterns,,,,,,,"high, domed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"five, covered with scattered, large scales",,,,,,,,,,,,,,,,,,,,,,,,,,,,"paired, longer than they are broad",,,,,,,,,,,,,,,,,,lacking,,,,,,,,,,"single yellow 'x' on each carapace scute, black plastron",,,,,,,,,,,,,,,,,,,,,,,"11-12, sli<rhtly upturned at the back",,,,,,"143 mm female, 123 mm male",,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,,,"yellow, with radiating faint black rays and bands",,,,,,,,,,,,,,,,,,,,,,,,,,with age,,,"yellow centres, separated by black",,slightly raised,,,females are more common than males,females are slightly larger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lacking,,,80-120 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinixys nogueyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uniformly brown or with yellow areolae bordered with dark pigment,,,,,,,domed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,< 2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22-36% of the abdominal midseam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psammobates oculifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hooked and tricuspid,,,,,,,,,,,,,,,,,,,attractive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"present, often surrounded by smaller subsidiary tubercles",,,,,,,,,,,,,,,,,,,,,,,,,,fragmented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serrated,,,,,,,,,,,,,,,,,,,,,,,,,,"flared, often quite markedly",,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,yellowish with light to dark brown markings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,olive or grey tinge,,120-150 mm in adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"present, including a single conspicuously enlarged scute",,,,,,,,,,,,,,marked with light stars formed by stripes on the laminae radiating out from the areolae towards the margin,,,,,,,,,,,
Kinixys belliana,,,,,,,,,,straw yellow to light brown with varying darker marks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither spinose nor serrated,,,,,,radiate,,,,,,,,,,,,,,,,variable,,,,,,,,,,,,,,,,,,,,,,,,,5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attractive radiating patterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,from the middle of the 5th vertebral,very thin or entirely absent,,,,,,,,,,,,,,,,,,,,hump-backed,,,,,,up to 200 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrochelys radiata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vertical,,,,evenly rounded,,,,,,,,,,,,"old animals may lose their markings and become almost unicolored, with tones ranging from brown to beige",,,,,,,,,,,,,very mobile,,,,,,,,,,,,,,,,,,,,,,,"large, covered with fine skin and small rounded scales, with a rounded tip",,,,,,,,,,,,,,,,,,,,,,,,,,,,bicolored-brown-black on top and yellow below a line that originates at the back of the eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,"blackish, with numerous brilliant yellow rays that emerge, fanlike, from the areola on one-third or one-half of the surface of the scute",,,,,,,half the length of the carapace,arrowhead-shaped extremity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,males are a little smaller than females (15 kg maximum) and often have a very concave plastron and thickened xiphiplastral area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 kg,,,,,,,"no two having identical designs, ranging from yellow or cream marked with black to black marked with yellow, with a great variety of markings, dark or light rays, and an overall color ranging from whitish to orange"
Chersina angulata,,,,,,,light orange to bright red (particularly in w. cape 'rooipens' form),,,,,,,,,,,,,,,,,,,,,,,,"weakly hooked, bi- or tricuspid, and is rarely serrated",,,,,,,,,,,,,,absent,never hinged; it is elongate and flared at the front and behind in mature males,light straw-yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,five claws on each,,,,,,,,,,,,,,,,single and protrudes beneath the head in mature males,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'peanut' shape, an elongate gular and deep concavity in the plastron",,black triangle on the posterior edges,,,,,10-12 (usually 11),,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,"dark, irregular centre, often with white sutures in old animals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slightly raised,,,,,,,,,,,,,,,medium-sized,,uniform dirty straw color,,,,,,,,,,,,,,,does not have a terminal spine,,,,,,,,"150-250 mm; max. tl 300 mill, male",dark brown areolae and black edges,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinixys spekii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140-160 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
