trait,count
'peanut' shape,1
10th and 11th marginals,2
10th dorsal rib,1
10th marginal,1
10th marginal scute,1
10th vertebral,1
11th marginal,1
11th pair of marginals equal or wider than 12th,1
12s rrna gene,5
13.5 cm,1
16.8 cm,1
1st and 4th vertebrals,1
1st and 5th vertebrals,2
1st neural shape,1
1st pair of pleurals,1
1st pleural scute,1
1st vertebral,9
1st vertebral length,1
1st vertebral margin,1
1st vertebral scute,1
1st vertebral scute shape,1
21.6 cm,1
2d and 3d vertebrals,1
2d neural bone,1
2d through 4th vertebrals,1
2d to 4th vertebrals,1
4th and 5th vertebrals,1
4th pleural scute,1
4th vertebral,2
4th vertebral covering,1
4th-6th neural bones,1
5th marginal scute,1
5th vertebral,10
5th vertebral length,1
6th vertebral,1
8th neural bone,1
8th pair of costals,1
9th pair of peripherals,1
abdl length,1
abdominal fontanelle,1
abdominal scute length,2
abdominal-femoral constriction,1
abdominals,1
absence or fading of circular spots,1
adenine (a),2
adult carapace,1
adult carapace color,2
adult carapace pattern,1
adult color pattern,1
adult coloration,1
adult colour,1
adult dorsal keels,1
adult head color,1
adult size,3
adult vertebral shape,1
adult vertebrals,1
affinities,1
alveolar ridge,3
alveolar ridge presence,1
anal notch,5
anal notch shape,2
anal notch size,2
anal scute notch,1
anal scute notching,1
anal scute separation,1
anal scutes,3
anal scutes projections,1
anl length,1
antcrior marginals but little everted,1
antebrachium scales,1
anterior and lateral marginals,1
anterior and posterior marginals,1
anterior border of fused hyo-hypoplastra,1
anterior border of the 4th,1
anterior bridge strut,1
anterior bridge struts,1
anterior carapace shape,1
anterior carapacial rim,2
anterior cornubranchiale shape,1
anterior hinge,1
anterior lobe,1
anterior lobe length,3
anterior lobe shape,1
anterior lobes of the plastron rounded,1
anterior marginal length,1
anterior marginal shape,1
anterior marginals,2
anterior movable lobe,1
anterior neck “v” divergence point,1
anterior orbito-nasal foramina size,1
anterior plastral lobe,1
anterior plastral lobe length,1
anterior plastral lobe size,1
anterior plastron shape,1
anterior rim,1
anterior sternal tubercle size,1
antero-medial row of tibial scales,1
anterodorsal head scale,1
anteromedial process,1
anteromedial row of tibial scales,1
appearance,1
areolae,1
areole,1
atlas (c1) length,1
atlas elements,1
atlas elongation,1
average mass,1
average size,1
axillaries,3
axillary,3
axillary and inguinal buttresses,4
axillary and inguinal contact,2
axillary and inguinal scutes,12
axillary and inguinal separation,1
axillary and marginal scutes size,1
axillary attachment,1
axillary buttress,2
axillary buttress attachment,1
axillary buttresses,2
axillary buttresses attachment,1
axillary scale,1
axillary scales,1
axillary scute,6
axillary scute presence,2
axillary scute width,1
axillary scutes,8
axillary-inguinal contact,1
b. heliostemma sp. nov.,1
b. raniceps,1
back color,1
back height,1
back of the young animal,1
back shape,1
barbels,14
basisphenoid,2
batrachemys,1
batrachemys heliostemma,1
beak,1
beak development,1
beak edge,1
beak shape,8
black,1
black bridge,1
black dots on chin pattern,2
black lines on head,1
black markings,1
black ovoid shape,1
black-edged sutures of plastral plates,1
blunt snout,1
body shape,1
body size,1
body skin color,1
bones at the rim,1
bony buttresses,1
bony carapace,1
bony snout,2
bony snout length,2
border color,1
bridge,18
bridge and marginal color,1
bridge and plastron,1
bridge blotches,1
bridge buttress,1
bridge color,14
bridge extent,1
bridge length,16
bridge shape,2
bridge size,1
bridge structure,1
bridge width,7
bright yellow coloration,1
bright yellow marking,1
bright yellow pigmentation,1
bright yellow stripe,1
bright yellow stripes,1
brown area in between these two stripes,1
brown bridge,1
brown or black mottling,1
brown to black carapace,1
brownish or blackish speckling,1
brownish-red blotch,1
buttock tubercles,5
buttress strength,1
buttresses,2
buttressing,1
callosities,4
caparace length,1
carapace,13
carapace and plastron,1
carapace and plastron color,2
carapace arching,1
carapace band,1
carapace border,3
carapace broadening,1
carapace color,103
carapace color (adult),1
carapace color comparison,1
carapace decoration,1
"carapace depressed, front elevated in male",1
carapace depression,2
carapace depth,2
carapace depth/length,1
carapace distinctly keeled,1
carapace dorsal shape,2
carapace dorsal surface,2
carapace elongation,1
carapace expansion,1
carapace features,8
carapace flattening,1
carapace flexibility,1
carapace groove,1
carapace ground color,1
carapace height,2
carapace highest point,1
carapace keel,6
carapace keel development,1
carapace keels,9
carapace lateral shape,1
carapace length,98
carapace length of japanese chinemys reeves,1
carapace length of largest known specimen,1
carapace margin reduction,1
carapace margins,1
carapace markings,3
carapace of male slightly saddle-shaped but broad,1
carapace ornamentation,1
carapace pattern,11
carapace periphery,1
carapace posterior,1
carapace posterior rim,3
carapace posterior serration,2
carapace posterior shape,1
carapace sculpturing,2
carapace scutes,5
carapace serrated,1
carapace serration,7
carapace shape,126
carapace shape (juveniles),1
carapace size,5
carapace spinose,1
carapace stripes,1
carapace surface,2
carapace texture,7
carapace widest point,7
carapace width,5
carapace width/length,1
carapacial bone granulation,1
carapacial bone surface,2
carapacial bones,5
carapacial caudal notch,2
carapacial color,6
carapacial coloration,1
carapacial ground color,1
carapacial length,4
carapacial opening,1
carapacial pattern,2
carapacial scale surface,1
carapacial scute overlap,1
carapacial scute surface,3
carapacial scutes,3
carapacial vertebral column,1
carapacial width,1
carotid canal,1
casque extensions,1
caudal notch size,1
caudal notch variation,1
caudal scute blotch,1
central blotch,1
central figure,1
central portion of carapace,1
central vertebral keel,1
cervical,2
cervical and vertebral scutes,1
cervical indentation,3
cervical notch,5
cervical region,2
cervical region indentation,1
cervical scute,21
cervical scute presence,2
cervical scute shape,2
cervical scute size,1
cervical size,1
cervical vertebrae elongation,1
cervical vertebrae length,2
chin,2
chin and throat color,1
chin barbels,6
chin color,3
chin grey brown,1
chin or neck barbels,1
chin pattern,1
choanae,1
choanæ presence,1
cl,2
claw distance,1
claw number,1
claw size,1
claws,1
cloacal bursae,2
color,5
color phases,1
color variation,1
coloration,7
colour,1
colouration,1
colouration and pattern of shell,1
common name,1
comparison with other species,1
complete internal seam,1
concave plastron,1
congeners,1
contrast,1
corpus hyoideum length,1
costal and peripheral bones,1
costal bones,4
costal mark formation,1
costal mark shape,1
costal meeting,2
costal number,1
costal pairs,3
costal reduction,1
costal scutes,2
costal separation,1
costal shape,2
costals,5
costals (last pair),1
cream-colored bridge,1
creamish or whitish ventral surface,1
crown color,1
crown markings,1
cyt b gene,1
cytosine (c),2
dark bar on the bridge,1
dark color,1
dark radiations,1
dark speckling on “light” (head and neck) stripes,2
dark spots on carapacial scutes,1
dark-brown or black vertebral and pleural,1
dark-brown to olive stripe,1
dentary bones,1
dentary symphysis,1
dermal scale on the frontals,2
diagnosis,1
diagnostic characters,4
"difference between percentages of heights at third vertebral and at nuchal notch 6 in male, 24 in female",1
different head pattern and coloration,1
diminished size of neck tubercles,1
distal caudal vertebrae,1
distal rib end of costal 1,2
distal rib end of costal 1 (apalachicolae),1
distinct head coloration,1
distinct pair of neck stripes,2
distinct peri-orbital ocelli,2
distinct vertebral groove,1
distinctive flecking pattern,1
distinctiveness from c. fimbriata,1
distribution,3
dna sequence,1
dome,1
"domed, hingeless carapace",1
dorsal coloration,1
dorsal head color,1
dorsal keel,1
dorsal scutes,1
dorsal shape,1
dorsal shields,1
dorsal spots,1
dorsal surface,2
dorsal vertebrae,1
dorsolateral keels,2
dorsum of head,1
dorsum of neck,1
dorsum of the head,1
dorsum pattern,1
drops abruptly,1
ear position,1
eggs,1
elbow mobility,1
eleventh marginal,1
eleventh marginal width,1
elliptical carapace,1
elseya latisternum similarity,1
elseya purvisi similarity,1
emargination,1
endochondral ribs resorption,1
enlarged blunt tubercles,1
enlarged conical tubercles,1
enlarged sub-conical tubercle,1
enlarged tough scute,1
entoplastral callosity size,1
entoplastron,7
entoplastron boomerang-shaped,1
entoplastron location,2
entoplastron position,1
entoplastron shape,1
epibranchials,1
epiplastra,8
epiplastra size,1
epipterygoid extension,1
ernst & barbour,1
ethmoid fissure,2
ethmoidalis fissure,1
exoccipital,1
eye,1
eye color,1
eye diameter,1
eye markings,1
eye position,2
eye shape,1
eye size,2
eyelid pigment,1
eyes,1
face color,1
face shape,1
facial scales,1
facial stripes,1
facial striping,1
female carapace color,1
female characteristics,2
female head,1
female plastron,2
female size,1
females,1
femoral excrescences,1
femoral mid-seam length,3
