trait,count
20,1
20–30 scale rows,1
261-273,1
3rd and 4th upper labials,1
5–26 subcaudals,1
above color,1
all scale rows,1
anal region,2
anal scales,1
angle between mandibular condyle articulation and the retroarticular process of the compound bone,2
anterior,1
anterior nasal scale,1
anterior projection of the preocular,1
antnas/rw1,1
anus scales,1
apex,1
apical spine,2
auge,1
average number of middorsals,1
azygos shield,1
b/c,2
background color,1
base et sommet des écailles,1
belly color,1
below color,1
bicolored,1
blackish brown,1
body,9
body annuli,1
body appearance,1
body color,2
body diameter,9
body form,2
body length,4
body length/mid-body diameter ratio,1
body length/width,1
body pigmentation,1
body proportion,1
body rows,1
body scales,4
body shape,4
body size,6
body width,3
breadth,1
broader rostral,1
brown,1
cardiac lung,1
caudal annuli,1
caudal rows,1
caudal spine,5
caudals,15
chin shield,1
cleft,4
color,24
color (above),1
color (below),1
color (head and end of tail),1
color (subadults),1
color above,1
color below,1
color bordering the mouth,1
color on head,1
color on sides,1
color on tail,1
color pattern,2
color pattern sharply bicolored,1
coloration,23
coloration (in life),1
coloration (in preservative),1
coloration fading,1
colour,3
colours,1
confluent dark spots,1
contact between the nasal process of premaxilla and vertical laminae of the nasals,1
costals,2
cream,1
cuspidate spine,1
cutting edge,2
dark lines,1
deep concavity,1
demar- cated,1
depression,1
diameter,2
diameter at midbody,1
diameter greatest at midbody,1
diameter of body,11
diameter of scales,2
diameter of the body,1
diamètre,0
diamètre du corps,1
dichromatic pattern,1
dorsal and lateral head profiles,2
dorsal and ventral scales,1
dorsal body,1
dorsal body color,1
dorsal body scales,5
dorsal color,27
dorsal coloration,3
dorsal head profile,1
dorsal lines,1
dorsal pigmentation,8
dorsal rostral,1
dorsal scales,9
dorsal scales (from rostral to terminal spine),1
dorsal segments/midbody annulus,1
dorsal stripe,1
dorsal surface,2
dorsal surface of dentary bone,1
dorsal/ventral differentiation,1
dorsals,2
dorso,1
dorsum,4
dorsum color,2
dorsum color in preservative,1
dorsum darker than (or same as) venter,1
dorsum darker than venter,10
dorsum of head,1
dorsum pattern,2
dorsum same color as venter,1
ecailles longitudinales,1
ecailles transversales,1
edges of the posterior nasals,1
elongation ratio,1
escamas ao redor do corpo,1
escamas dorsais,1
exoccipital,1
extension of rostral,1
eye,25
eye color,1
eye development,1
eye diameter,1
eye distinctness,2
eye location,1
eye moderate,1
eye shape,1
eye size,2
eye visibility,1
eyepieces,1
eyes,14
facial pigmentation,1
fading,1
first upper labial,1
flanks,1
flecks,1
foramina,1
four upper labials,1
fourth labial,1
frontal,10
frontal scale,1
frontal size,2
frontorostral,14
färbung,1
gradation of color,1
grey dorsum,1
ground color,1
habit,1
hardened anterior rostral edge,1
head,7
head and body,1
head and lower surfaces,1
head and neck,1
head color,5
head length,1
head markings,1
head scale arrangement,14
head scales,3
head shape,21
head shields,1
head size,1
head squamous glands,1
head-scales,1
head-shields,1
hemipenes,1
hemipenis,1
immaculate,1
inferior nasal suture,4
inferior part of rostral,1
inferior suture,1
infralabial scales,5
ins contact,1
"inter-nasal, frontal, and supraocular shields",1
interlabial plate,1
interparietal,3
interparietal scale,1
l/d ratio,15
labial and anal regions,1
labial flare,1
labials,4
largest,1
last upper labial,1
lateral apex,1
lateral borders of the scales,1
lateral color,3
lateral dark line,1
lateral head profile,1
lateral snout profile,1
lateral tongue papillae,2
ld ratio,1
le dessous,1
left lung,2
left side,1
length,8
length of tail,5
length/diameter ratio,2
length/width ratio,1
leptotyphlops goudotii,1
light areas,1
line of demarcation,1
linha mediodorsal escura,1
long,1
longitudinal lines,1
longitudinal scale rows,3
longitudinal scales rows,1
longueur,0
longueur du corps,1
lower body color,1
lower cleft,3
lower edge of ocular shield,2
lower jaw,1
lower middorsal count,1
lower part of rostral,3
lower part of rostral size,1
lower surface,2
lower surface color,4
lower surface of head,1
lower surfaces,3
lower suture,2
mandible,1
maxilla,1
maximum known total length,1
maximum length,2
maximum tl,18
maximum total length,16
maximum ttl,3
mbd,2
md,17
md/v ratio,12
measurements and counts,1
median row of scales,1
melanophore distribution,1
mental shield,1
micro-ornamentation,1
microtubercles,1
mid-body scale rows,1
mid-dorsal scales,5
midbody,1
midbody diameter,4
midbody scale rows,41
midbody scale rows (within madagascar),1
midbody scale-rows,1
midbody scalerows,1
midbody scales,5
middle of belly,1
middorsal 10 rows,1
middorsal scale count,1
middorsal scale counts,3
middorsal scale row counts,1
middorsal scale rows,6
middorsal scales,19
middorsal/vertebrae ratio,1
middorsals,5
midlateral zone,1
midtail diameter,1
moderate rostral,1
moderately high number of vertebral scales,1
msr,5
museau,2
muzzle shape,1
narine,1
naris,1
naris-eye distance,1
narrow oval rostral,1
narrow to moderate rostral,1
nasal,36
nasal cleft,24
nasal cleft extension,1
nasal cleft location,4
nasal cleft termination,1
nasal cleft visibility,1
nasal division,1
nasal passages,1
nasal process of premaxilla,2
nasal scale,7
nasal shield,2
nasal spots,1
nasal strips,1
nasal strips placement,1
nasal suture,21
nasal suture origin,14
nasale,2
nasals,3
nasenlöcher,1
neck scales,1
non-reducing number of longitudinal scale rows,1
nostril,12
nostril direction,1
nostril location,3
nostrils,14
nuchal,1
nuchal size,1
number of helical coils in the hemipenis,1
number of longitudinal scale rows about body,1
number of middorsals,1
number of middorsals (within madagascar),1
number of pigmented scale rows,1
number of postoculars,1
number of scale rows,1
number of scales,1
number of transverse scale rows about body,1
number of transverse scale rows on tail,1
oculaire,1
ocular,16
ocular scale,2
ocular shield,1
ocular size,1
oval rostral,1
overall,10
overall pattern,1
palatine fossa,1
paravertebral scales,2
parietal,2
parietal size,1
parietalen,1
parietals,4
pattern,1
pfrontal,1
pigment,1
pigmentation,3
