species,20,20–30 scale rows,261-273,3rd and 4th upper labials,5–26 subcaudals,above color,all scale rows,anal region,anal scales,angle between mandibular condyle articulation and the retroarticular process of the compound bone,anterior,anterior nasal scale,anterior projection of the preocular,antnas/rw1,anus scales,apex,apical spine,auge,average number of middorsals,azygos shield,b/c,background color,base et sommet des écailles,belly color,below color,bicolored,blackish brown,body,body annuli,body appearance,body color,body diameter,body form,body length,body length/mid-body diameter ratio,body length/width,body pigmentation,body proportion,body rows,body scales,body shape,body size,body width,breadth,broader rostral,brown,cardiac lung,caudal annuli,caudal rows,caudal spine,caudals,chin shield,cleft,color,color (above),color (below),color (head and end of tail),color (subadults),color above,color below,color bordering the mouth,color on head,color on sides,color on tail,color pattern,color pattern sharply bicolored,coloration,coloration (in life),coloration (in preservative),coloration fading,colour,colours,confluent dark spots,contact between the nasal process of premaxilla and vertical laminae of the nasals,costals,cream,cuspidate spine,cutting edge,dark lines,deep concavity,demar- cated,depression,diameter,diameter at midbody,diameter greatest at midbody,diameter of body,diameter of scales,diameter of the body,diamètre,diamètre du corps,dichromatic pattern,dorsal and lateral head profiles,dorsal and ventral scales,dorsal body,dorsal body color,dorsal body scales,dorsal color,dorsal coloration,dorsal head profile,dorsal lines,dorsal pigmentation,dorsal rostral,dorsal scales,dorsal scales (from rostral to terminal spine),dorsal segments/midbody annulus,dorsal stripe,dorsal surface,dorsal surface of dentary bone,dorsal/ventral differentiation,dorsals,dorso,dorsum,dorsum color,dorsum color in preservative,dorsum darker than (or same as) venter,dorsum darker than venter,dorsum of head,dorsum pattern,dorsum same color as venter,ecailles longitudinales,ecailles transversales,edges of the posterior nasals,elongation ratio,escamas ao redor do corpo,escamas dorsais,exoccipital,extension of rostral,eye,eye color,eye development,eye diameter,eye distinctness,eye location,eye moderate,eye shape,eye size,eye visibility,eyepieces,eyes,facial pigmentation,fading,first upper labial,flanks,flecks,foramina,four upper labials,fourth labial,frontal,frontal scale,frontal size,frontorostral,färbung,gradation of color,grey dorsum,ground color,habit,hardened anterior rostral edge,head,head and body,head and lower surfaces,head and neck,head color,head length,head markings,head scale arrangement,head scales,head shape,head shields,head size,head squamous glands,head-scales,head-shields,hemipenes,hemipenis,immaculate,inferior nasal suture,inferior part of rostral,inferior suture,infralabial scales,ins contact,"inter-nasal, frontal, and supraocular shields",interlabial plate,interparietal,interparietal scale,l/d ratio,labial and anal regions,labial flare,labials,largest,last upper labial,lateral apex,lateral borders of the scales,lateral color,lateral dark line,lateral head profile,lateral snout profile,lateral tongue papillae,ld ratio,le dessous,left lung,left side,length,length of tail,length/diameter ratio,length/width ratio,leptotyphlops goudotii,light areas,line of demarcation,linha mediodorsal escura,long,longitudinal lines,longitudinal scale rows,longitudinal scales rows,longueur,longueur du corps,lower body color,lower cleft,lower edge of ocular shield,lower jaw,lower middorsal count,lower part of rostral,lower part of rostral size,lower surface,lower surface color,lower surface of head,lower surfaces,lower suture,mandible,maxilla,maximum known total length,maximum length,maximum tl,maximum total length,maximum ttl,mbd,md,md/v ratio,measurements and counts,median row of scales,melanophore distribution,mental shield,micro-ornamentation,microtubercles,mid-body scale rows,mid-dorsal scales,midbody,midbody diameter,midbody scale rows,midbody scale rows (within madagascar),midbody scale-rows,midbody scalerows,midbody scales,middle of belly,middorsal 10 rows,middorsal scale count,middorsal scale counts,middorsal scale row counts,middorsal scale rows,middorsal scales,middorsal/vertebrae ratio,middorsals,midlateral zone,midtail diameter,moderate rostral,moderately high number of vertebral scales,msr,museau,muzzle shape,narine,naris,naris-eye distance,narrow oval rostral,narrow to moderate rostral,nasal,nasal cleft,nasal cleft extension,nasal cleft location,nasal cleft termination,nasal cleft visibility,nasal division,nasal passages,nasal process of premaxilla,nasal scale,nasal shield,nasal spots,nasal strips,nasal strips placement,nasal suture,nasal suture origin,nasale,nasals,nasenlöcher,neck scales,non-reducing number of longitudinal scale rows,nostril,nostril direction,nostril location,nostrils,nuchal,nuchal size,number of helical coils in the hemipenis,number of longitudinal scale rows about body,number of middorsals,number of middorsals (within madagascar),number of pigmented scale rows,number of postoculars,number of scale rows,number of scales,number of transverse scale rows about body,number of transverse scale rows on tail,oculaire,ocular,ocular scale,ocular shield,ocular size,oval rostral,overall,overall pattern,palatine fossa,paravertebral scales,parietal,parietal size,parietalen,parietals,pattern,pfrontal,pigment,pigmentation,pigmented band,pigmented rows,pigmented scale rows,pigmented scales,populations/individuals,posterior end,posterior head-scales,posterior nasal,posterior nasal scale,posterior nasal-preocular suture,posterior scale rows,postfrontal scale,postnasal pattern,postocular,postoculars,prae-ocular,praefrontal,praeocular,praeocular contact,praeocular size,praeoculare,precoacal pores,prefrontal,preoc-u-labial contact,preocular,preocular and ocular scales,preocular apical diameter,preocular plate,preocular scale,preocular size,preocular-labial contact,preocular-nasal suture,protrusion,prœocular,pupil,pure white,ratio between length of ventral pterygoid process of palatine and skull length,reduction,reduction a/b,reduction a–b,reduction b–c,relative body thickness,relative rostral width,reproduction mode,reticulation,reticulation location,right lung,right side hemipenis,roastral,roastral position,roastral scale,roastral shape,roastral size,robust tail,rostral,rostral cuneiform,rostral extension,rostral followed by three transversely enlarged shields,rostral indent,rostral protuberance,rostral scale,rostral shape,rostral size,rostral tapering,rostral umbo,rostral wide point,rostral width,rostrale,rostrum,row of squamous glands,row pigmentation,rows of dorsal scales,rows of dorsal scales pale brown,rows of postgenials,rows of scales,rows of scales around the body,rows of ventral scales,rows of ventral scales yellowish cream,rw1,rw1/rl1,rw2,rw3,rwd/rld,région médiane,scalation,scale centers,scale color,scale diameter,scale reduction,scale row reduction,scale rows,scale rows anteriorly,scalerows,scales,scales around midbody,scales from vent to tail spine,scales on the top of the head,scales on the top of the head size,scales round the body,schnauze,schuppen,schwanz,schwanz shape,second supralabial,short to moderate tail,side of the snout,sides of the ventral part of rostral,sinuosity,sip,sip iii-s,sip ii–p,sip x,size,size of praeocular,skin pigment,small- to large-sized,snout,snout and anal region,snout color,snout edge,snout pattern,snout profile,snout shape,sns visibility,specimen,specimen similarity,spine on tip of tail,spots,stout- to slender-bodied,streaks,sub-oculars or subpreoculars,subcaudal colorless area,subcaudal scales,subcaudals,subnarial glandular pit,subnarial pit,subocular,subocular region,suboculars or subpreoculars,superior nasal suture,supralabial,supralabial imbrication pattern,supralabial imbrication pattern (within madagascar),supralabial imbrication patterns,supralabial scales,supralabialen,supralabials,supranasal suture,supraocular,supraocular suture,supraoculare,supraoculars,supraoculars and parietals,supraoculat,suture,suture between preocular and ocular,suture between the preocular and the 3rd infralabial,svl,ta,tail,tail color,tail ending,tail length,tail length percentage,tail pigmentation,tail ring,tail shape,tail spine,tail tip,temporal,terminal tail spine,testes,testis,thin body proportions,third and fourth supralabials,third supralabial,tip of tail,tl,tl/mbd,tl/midbody diameter,tl/svl,tl/ta,tl/taillength,tongue,top of head color,total dorsal scales,total length,total length to body width ratio,total length/midbody diameter,total length/midbody width ratio,total length/tail length,total middorsal scales,total middorsals,total scale rows,tracheal lung,"tracheal, cardiac and right lungs",trachel lung,transverse bar,transverse rows of scales,transverse scale rows,transverse scale rows at mid-body,transverse scale rows on body,transverse scalerows,ttl,tumidbody diameter,under side of head,undersurface,undersurface of tail,unpigmented areas,unpigmented areas around,unpigmented areas fade,unpigmented midventral zones,upper arm of the anterior nasal,upper body color,upper head-scales,upper labial number,upper labials,upper lateral surface,upper lateral surface color,upper lateral surfaces,upper part of rostral,upper portion,upper portion of rostral,upper surfaces,upper suture,variation,venter,venter color,venter coloration,ventral color,ventral pigmentation,ventral pterygoid process of palatine,ventral rostral,ventral scales,ventral segments/midbody annulus,ventrals,ventre,ventrum,vertebrae,vertebral scales,vestigial left lung,white spot,width,width of rostral,yeux,écailles,écailles de la moitié antérieure du corps,écailles de la moitié postérieure
Acutotyphlops infralabialis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,brown above and yellow below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52 times in length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moderate,,acute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,narrow,,,,,,,,,,,,,,315 mm,,,,,,,,,,,,,,,,,,,,,,,,,,a-shaped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-lateral,,,,,,,,,,,,,,,,,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large,,,,,,,,,,,,,,,,,,,,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26 rows,,,,,,,,,,,,,,,,,,,,,,,short and narrow,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,three,,,,,,,,,,,,,as broad as long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acutotyphlops kunuaensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11–31 (average, 20.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark brown (rarely golden orange),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,distinct,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,non-circular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333–487 (average, 392) mm",,,,,,,,,,,,,,,"26–36 (average, 30.4)",,,,,,,,,,,,,,,,,,,,,,,,,,incompletely divided,,,,,,,,,,,,,,,2nd supralabial (sometimes 1st),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3–5 (average, 4.10)",,,,,,,,,,,,,,,,"supralabials 2 & 3, 3rd, or none",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,acuminate or rounded,,,,,,,,,,,,,,,,,,,,,,present (rarely absent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18–58 (average, 38.2)",,"13–100 (average, 31.1)",,,"334–542 (average, 415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellowish or gold,,,,,,,,,,,,,,,,,,
Cyclotyphlops deharvengi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark brown,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,distinct,,,,,,,,,,,,,,,,,,,,,,,absent,,,,,,,,,,,,,,circular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146 mm,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,completely divided,,,,,,,,,,,,,,,junction of 1st and 2nd supralabial,,,,,,,,,,,,,,,,,,,,,,,,,,,,patternless,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,rounded,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,,32.3,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,,,,,,,,,,,,,
Anilios affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170 millim.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,longer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anilios aspina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,"not completely divided by nasal cleft, clearly visible from above and joining second supralabial below",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elongate from above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bluntly-rounded from above, rounded and flattened laterally",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403-428,,,,,,,,,,,,
Anilios australis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8–36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usually brown,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,distinct,,,,,,,,,,,,,,,,,,,,,,,absent,,,,,,,,,,,,,,non-circular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122–750,,,,,,,,,,,,,,,16–24,,,,,,,,,,,,,,,,,,,,,,,,,,completely or incompletely divided,,,,,,,,,,,,,,,2nd supralabial,,,,,,,,,,,,,,,,,,,,,,,,,,,,usually patternless or sometimes with longitudinal lines,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,supralabials 2 & 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,rounded or beaked,,,,,,,,,,,,,,,,,,,,,,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20–134,,15–112,,,278–750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"usually white, cream, or yellowish",,,,,,,,,,,,,,,,,,
Anilios batillus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 times in its length,,320 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sub-acute, much produced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rostral very long, one-third longer than broad",,,,,,,,,,,,,,,,,,,,,,,,"lateral, close to the rostral",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very long, one-third longer than broad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acutely rounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anilios bituberculatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,second labial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slightly angular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anilios broomi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38 to 55 times in its length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quadrangular,wider than long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nearer to the rostral than to the preocular,,just visible from above,,,,,,,,,,,,,,,,,,,inferior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reaching to the level of the middle of the eyes,,subcircular,a little longer than broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"evenly rounded, very blunt",,,,,,,eleven reddish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anilios chamodracaena,,,,,,,,,,,,,,,,,,,,,,yellowish cream to off-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark to light brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smaller than prefrontal,,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark to light brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from second labial, extending diagonally up from nostril",,,,,,,,,,,,,,,,,,,,inferior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rounded,,,,,,,,,,,14-16,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,1-3%,,,,,,,,,,,,,,,,,,,,,,,,210 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark to light brown,,,,,,464-523,,,,,,,,,,,,
