trait,count
10–11 supralabials,1
150–172 ventral scales in females,1
153–162 ventral scales in males,1
157–161 ventral scales,1
162–179 ven,1
16s,1
178–191 ven,1
180–187 ven,1
21 dsr at midbody,4
21 rows of midbody dorsal scales,1
2nd supralabial,1
39 inches,1
3rd sl,1
3rd supralabial,1
4th supralabials,1
58–72 sc (males: 71–72; females: 58–66),1
63–77 sc,1
64–82 sc,1
abdominal plates,1
absence of canthorostral scales,2
absence of lacunolabial scale,1
actual substitution difference,1
adult body size,1
adult females,1
adult size,3
almost black,0
anal,9
anal plate,4
anal scale,1
anal scute,1
angular,2
angulare size,1
anterior and posterior portions of the body color,1
anterior cephalic scales,1
anterior dorsal scale rows,4
anterior dorsal scale rows (dsr),2
anterior dorsal scales,1
anterior dorsals,1
anterior edges,1
anterior genial shields,1
anterior intercanthal,1
anterior nasal,1
anterior scale rows,1
anterior scales,1
anteriormost 5–25 subcaudals,1
apicals,2
arrowhead,0
back color,1
background,1
background color,2
band extent,3
band width,3
bands,1
basal invasions,1
basal invasions of ground color,1
bases of crossbands,1
bauch,1
bauchseite,1
bellies,1
belly,8
belly (edwardsii),1
belly (females),1
belly (males),1
belly blotches,1
belly blotches (edwardsii),1
belly color,1
below,1
bifurcation point of hemipenial lobes about 3–6 sudcaudal scales,1
bifurcation point of the hemipenial lobes about 2–4 sudcaudal scales,1
black,1
black blotches,1
black edging,1
black marking,1
black markings,0
black postocular stripe,1
black stripe,1
blotches,4
blotches in median series,1
blotches in median series (edwardsii),1
blotching,1
body,3
body annuli,10
body background coloration,1
body bands,1
body color,13
body crossbands,1
body flattening,1
body ground color,1
body ground color pattern,1
body length,4
body scales,5
body shape,5
body size,3
body surface with less than 28 dark-brown bands dorsally and/or juxtaposed trapezoid-shaped blotches with paler centers,1
border,1
bothriopsis species,1
bothrops osbornei,1
bothrops punctatus,1
bothrops species,1
brown blotches,1
c. male,2
c. males,1
calculate,1
calyces,1
canthal,1
canthal + intersupraocular scales,1
canthal ridge,1
canthal scale,1
canthal shield,1
canthalia,1
canthals,15
canthorostrals,1
canthus rostralis,5
caudal,1
caudal annuli,10
caudal shape,1
caudal vertebrae,1
caudals,2
caudals in females,1
caudals in females (edwardsii),1
caudals in males,1
caudals in males (edwardsii),1
cefálico,1
centres of lozenges,1
cep,1
cephalic scales,6
cephalic scales in the posterior sides,1
cheek stripe,5
chin,2
chin shields,0
circum-orbital scales,1
circumocular scales,1
circumoculars,2
circumorbitals,1
claro da cruz,1
cloacal scute,2
color,9
color description,1
color in life,2
color on head,10
color on tail,10
color pattern,6
coloration,9
colorization,1
colour pattern,2
colour pattern (mainland populations of c. pyrrhus),1
colouration,2
contact between lacunal and supralabial scales,2
contact between paravertebral stripes and supraocular scales,2
cor de fundo do dorso,1
costals,1
creamy white or pale yellow ventral ground color with ventral scales heavily marked with black pigment towards the edges contacting the paraventral scales,1
creamy yellow ventral surfaces and ventral scales mottled with dark brown pigment,1
cross-bands,4
crossbands,1
crown,2
crown scales,2
crown shields,1
cyt b,2
cytochrome b,1
dark bars or zig-zag lines,1
dark cross-bands,1
dark crossbands,1
dark dorsal blotches,1
dark median streak,0
dark pigments,1
defensive reactions,1
dentale size,1
diameter of the eye,1
distal one-half of tail,1
distal subcaudals,2
distal tail,1
distance between supraoculars,1
distribution,2
dorsais,1
dorsal,1
dorsal and lateral blotches,1
dorsal and lateral headshields,1
dorsal background coloration,1
dorsal bands,2
dorsal blotches,3
dorsal body and tail,1
dorsal body blotches,3
dorsal body color,3
dorsal body scales,1
dorsal color,15
dorsal coloration,1
dorsal coloration pattern,1
dorsal colouration of tail tip,1
dorsal ground color,2
dorsal head and body markings,1
dorsal head color,1
dorsal head plates,1
dorsal head scales,2
dorsal head shields,2
dorsal keels,1
dorsal lozenges,1
dorsal markings,1
dorsal pattern,2
dorsal rhombuses,1
dorsal rhombuses color,1
dorsal rows,4
dorsal rows of scales,1
dorsal scale microdermatoglyphic pattern,1
dorsal scale row,1
dorsal scale row reduction,1
dorsal scale rows,18
dorsal scale rows (c. angelensis),1
dorsal scale rows (females),1
dorsal scale rows (mainland populations of c. pyrrhus),1
dorsal scale rows at midbody,2
dorsal scales,25
dorsal scales rows,3
dorsal segments/midbody annulus,10
dorsal series,2
dorsal surface color,1
dorsal surface of head,1
dorsal tail,1
dorsal texture,1
dorsal transverse bars,1
dorsal windings,1
dorsal zigzag pattern,1
dorsalia,1
dorsals,5
dorsals at midbody,1
dorsals on the first third of the body,1
dorsals on the last third of the body,1
dorso-lateral,1
dorsolateral blotches,2
dorsolateral blotches in the trunk,1
dorsolateral blotches of the trunk,1
dorsolateral stripes,1
dorsum,18
dorsum color,12
dorsum of the head,1
dots on lower part of tail,1
drop-shaped head angle marks,1
dsr,6
dull grey-green,0
ectopterygoid,3
ed/hl ratio,1
end of tail,3
enlarged supranasal,1
erect horn-like scale,1
escamas ventrais,1
extreme posterior body and tail,1
eye,10
eye color,2
eye shape,2
