Species,supra-auricular scales,supranasals,frontonasal scale,internasals,canthals,temporals,supraocular contact,occipital,posterolateral head scales,superciliary,subocular,preauriculars,postmental,infralabials,nuchal scale rows,dorsal transverse scale rows,dorsal longitudinal scale rows,ventral longitudinal scale rows,body color,juvenile pattern,circumorbital region,primary temporals,parietal-median supraocular contact,anterior superciliary,posterior subocular,preauricular scales,posteriormost infralabial,longitudinal nuchal scale rows,dorsal coloration,orbital region,color pattern,posterior internasals,posterior infralabial,temporal scales,limbs,lateral fold,supraauricular scales,frontonasal,parietal,head scales,supercilliary,suboccular,postmentals,dorsal scale rows,ventral scale rows,dorsal bands,temporal,head width,head length,infralabial scales,postoculars,parietals,infralabial,crossbands,dorsal midline contact,frontal contact,anterior internasals,anterior temporals,postocular contact,parietal contact,scale length,orbit,adult color,juvenile color,juvenile color pattern,occipital scale,dorsal midline,frontal,supraoculars,temporal scale,scales in series,nuchal scales,transverse rows,longitudinal scale rows,ventral scales,dorsum,subadults,granules,collar scales,femoral pores,scales on fingers,dorsal scales,dorsal colour pattern,colouration,teeth,teeth size and shape,head shape,eye shape,nostril shape,loreal shape,body shape,subcaudals,nasal bones,hemipenis,coronoid process,dentary teeth,scales,nostrils,scales of lips,pterygoid teeth,scale behind nasal,tail,anal scute,cloacal region,maxillary teeth,palatine teeth,palatine-pterygoid teeth,nasals and septomaxillae,frontal-prefrontal contact,eye,snout,head scale arrangement,frontorostral,nasal,preocular-labial contact,scale row reduction,maximum total length,ventral color,overall pattern,length,snout shape,eye size,pupil shape,nasals,loreal,preocular,supralabials,ventrals,anal plate,tail length,dorsal nasal laminae,frontal bones,parietal bone,quadrate,supratemporal,prefrontal,interorbital foramen,basioccipital process,parasphenoid,loreal scale,genials,muzzle,paravertebral stripes,lateral stripe,dorsal scale row reduction,dorsal pattern,maxilla,ventrolateral stripe,vertebral row,supraciliary,subdigital lamellae,ventrals and subcaudals,preanal spurs,SVL,dorsal head scales,frontoparietal and parietal plates,scales between supraoculars and supraciliaries,occipitals,anterior gulars,middle anterior gulars,posterior gulars,mesoptychial scales,postbrachials,scales between interparietals and base of tail,dorsal scales across mid-body,bicolored,throat,keeling,smoothness,enlargement,tail ratio,prefrontal scales,shape,ventral edging,ventral darkness,dorsal color,dorsal spots,dorsolateral stripe,postocular streak,neck streak,nape streak,sexual dimorphism,height,contact,chin shields,mental,reduced scale rows,anal,dorsal stripes,lateral line,venter,dorsal background,preservative color,edging,extension,dorsal edging,reticulation,blackish-brown edging,gap,chevron,venter color,ventral tips,diastema,1st dorsal row,body size,maximum ToL,dorsal scales rows,body stripe,dorsal body,head,rostral,internasal,prefrontals,keeled scales,teeth size,subcaudal scales,temporal shape,neck pattern
Abronia anzuetoi,distinctive spinelike supra-auricular scales in subadults and adults, unexpanded supranasals, a median frontonasal scale, relatively longer posterior internasals, discrete canthals, the lower two contacting the postoculars, usually no parietal-median supraocular contact, a single occipital, posterolateral head scales not knoblike, similar in length to other scales in series, which is the posteriormost scale in this series to reach the orbit, at least three rows of granular preauriculars, postmental divided, often about twice as long as preceding infralabials, six longitudinal nuchal scale rows, 27-28 dorsal transverse scale rows, 14 dorsal longitudinal scale rows arranged parallel to ventrolateral fold, 14 ventral longitudinal scale rows, adults dark green or dark blue-green, juvenile pattern unknown, a distinctly yellow circumorbital region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia aurita,distinctive spinelike supra-auricular scales in subadults and adults, unexpanded supranasals, usually not contacting frontal, posterior internasals not greatly enlarged, discrete canthals,,, a single occipital, posterolateral head scales not knoblike,,, multiple rows of nonimbricate preauriculars, but most frequently single,,, 27-31 dorsal transverse scale rows, these parallel to ventrolateral fold, 14 ventral longitudinal scale rows,, juvenile pattern of dark dorsal crossbands,, primary temporals, usually no parietal-median supraocular contact, similar in length to other scales in series, which is the posteriormost scale in this series to reach the orbit, usually disposed in 3-4 rows, often about twice as long as preceding infralabials, usually six longitudinal nuchal scale rows, adult greenish dorsal coloration with much black mottling concentrated into indistinct dorsal crossbands, yellow orbital region,or orange markings, shorter posterior internasals, expanded posterior infralabial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia deppii,, supranasals not expanded and not in contact at dorsal midline,,, no canthals, three anterior temporals in each side,, single occipital,,,,,, posterior infralabials elongated, six longitudinal nuchal scale rows,,,,,,,,,,, preauricular scales only slightly enlarged,,,,,,,,fifth row of temporal scales absent, well-clawed limbs, reduced lateral fold, having no indication of spines, frontonasal usually in contact with frontal, parietal separated from supraoculars, posterior head scales weakly developed knob-like, anterior supercilliary not contacting the cantholoreal, posterior suboccular separated from the lower primary temporal by the penultimate scale in the supralabial series, two postmentals, longitudinal dorsal scale rows 10-11, 12-14 longitudinal ventral scale rows, dark dorsal bands, lower anterior temporal in broad contact with antepenultimate supralabial,18 in adult females,75 in adult males, infralabial scales 7-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia fimbriata,distinctive spinelike supra-auricular scales in subadults and adults, expanded supranasals meeting at midline,, posterior internasals relatively large through fusion with canthals, these apparently fused with posterior internasals, primary temporals,, a single occipital, posterolateral head scales not knoblike, similar in length to other scales in series, which is the posteriormost scale in this series to reach the orbit,, postmental single,, six longitudinal nuchal scale rows, 27-30 dorsal transverse scale rows, 14 dorsal longitudinal scale rows arranged parallel to ventrolateral fold, lateral row expanded,, juvenile pattern of a broad pale brown middorsal stripe,,,,,, disposed in 2-3 rows,,, concentrated dorsally,,,,,,,,, frontonasal absent,,,,,,,,,,,,, the lower two contacting postoculars, parietals usually in contact with the median supraoculars, posterior infralabial not elongate, subadults and young adults with brown chevron-shaped crossbands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia gaiophantasma,supra-auricular scales of subadults and adults spinelike, supranasals relatively small and unexpanded, frontonasal scale present,, canthals discrete,,, usually a single occipital, posterolateral head scales not knoblike,,,, postmental single or divided,, six longitudinal nuchal scale rows, 28-30 dorsal transverse scale rows, arranged parallel to ventrolateral fold, 14-16 ventral longitudinal scale rows,,,,,, anterior superciliary contacting cantholoreal, posterior subocular broadly separated from the lower primary temporal by the penultimate supralabial, two or occasionally three incomplete rows of subimbricate preauricular scales, posteriormost infralabial not elongate,,,,, posterior internasals relatively small,,,,,,,,,,,,,,,,,,,,,,, not in contact at the dorsal midline, not contacting frontal, only slightly larger than the anterior internasals, three or four anterior temporals per side, contacting the postoculars, parietal not in contact with median supraoculars, similar in length to other scales in series, the posteriormost scale in this series to reach the orbit, or reddish brown, juveniles and subadults with dark brown crossbands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia leurolepis,distinctive spinelike supra-auricular scales in adults, unexpanded supranasals, no median frontonasal scale, posterior internasals not greatly enlarged, canthals meeting at the midline, three primary temporals, narrow parietal-median supraocular contact on one side, a single large occipital, posterolateral head scales not knoblike, anterior superciliary contacting cantholoreal, posterior subocular broadly separated from the lower primary temporal,, postmental single,, six longitudinal nuchal scale rows, 31 dorsal transverse scale rows, 14 dorsal longitudinal scale rows arranged parallel to ventrolateral fold, 12 ventral longitudinal scale rows,,,,,,,, nonimbricate and in three rows,,, but with dorsal crossbands,,,,,,,,,,,,,,,,,,,,,,,, posteriormost infralabial elongate,,,,,,,,,,,, and juvenile color pattern unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia matudai, but not spinelike, but not contacting each other at the dorsal midline, not contacting frontal,, Discrete canthals, occasionally three or four,,, Posterolateral head scales not knoblike, longer than other scales in series, the posteriormost scale in this series to reach the orbit,, Postmental single or divided,, Six longitudinal nuchal scale rows, 33-37 dorsal transverse scale rows, arranged parallel to ventrolateral fold, 12-14 ventral longitudinal scale rows, females brown, Juvenile pattern unknown,,,,,, Two rows of subimbricate to granular preauricular scales,,,,,,,,,,,,, Parietal contacting median supraoculars,,,,,,,,,,,,,, Posteriormost infralabial not elongate,,,,,,,,,,,,, Single occipital scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia meledona,distinctive supra-auricular scales of adults, supranasals are small and unexpanded, median frontonasal scale present, posterior internasals not greatly enlarged, canthals discrete, 2-3 anterior temporals per side,, occipital single,, anterior superciliary contacting cantholoreal, the posteriormost scale in this series to reach the orbit,, postmental single, usually about twice as long as preceding infralabials,,,,,,,,,,,, granular preauricular scales in about three rows,,,,,,,,,,,,, lower two contacting postoculars and upper scale relatively small and variably in contact with parietal, posterior head scales of adults not strongly convex or knoblike,,,,,,,,,,, both contacting the postoculars,,,,,,,,,,,,,,,, not in contact at dorsal midline, usually not contacting frontal, parietal usually contacting median supraoculars, the upper temporal scale intervenes to partially or completely separate the parietal from the median supraocular series, similar in length to other scales in series, longitudinal nuchal scales in six rows, dorsal scales in 27-32 transverse rows, arranged parallel relative to ventrolateral fold, ventral scales in 14 longitudinal rows, dorsum of adults green or cream-colored with heavy black mottling, subadults bronze with black spots arranged in irregular transverse series across dorsum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia smithi,distinctive spinelike supra-auricular scales in subadults and adults, unexpanded supranasals, not contacting frontal, posterior internasals not greatly enlarged, discrete canthals,, no parietalmedian supraocular contact, single occipital, posterolateral head scales not knoblike, anterior superciliary contacting cantholoreal or not, the posteriormost scale in this series to reach the orbit,, postmental divided or single,, six longitudinal nuchal scale rows, 27-30 dorsal transverse scale rows, 14 dorsal longitudinal scale rows arranged parallel to ventrolateral fold, 12 ventral longitudinal scale rows,, juvenile pattern with a broad pale brown middorsal stripe,, contacting the postoculars,,,, usually imbricate or subimbricate,,, adult dorsal coloration greenish,,,,,,,,,,,,,,,,,,,,,,,, posterior infralabial not elongate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthodactylus busacki,,,,,, upper temporals small and pointed whereas the lower temporals are large and smooth,,,,, subocular with a distinct keel located between the fourth and fifth upper labials and not contacting the lip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, three supraoculars,,,,,,34 transverse rows of ventral scales,,,27 granules around the supraoculars,11 collar scales,26 femoral pores on each side,23 lamellae underneath the fourth toe, dorsal scales are pointed and smooth, adult males have intricate colouration of black reticulation that covers most of the dorsal area and the rows of pale ocelli become indistinct or may completely disappear, sub-adults have reddish or white ventral tail colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
