Species,auricular lobes,supranasals,frontal scales,internasals,canthals,temporal markings,parietal angle,occipital,head scales,superciliary,supralabial size,preauriculars,postmentals,supra-auricular scales,frontonasal scale,postoculars,supralabials,preauricular scales,temporal scales,arm width,lateral fold,supraauricular scales,frontonasal,parietals,supercilliary,suboccular,infralabials,temporals,subocular,nuchal scales,dorsal scale rows,dorsal scales,primary temporals,supraoculars,collar scales,ventral scales,femoral pores,digit lamellae,maxillary teeth,jaw size,head size,eye size,nostril scale,midbody size,dorsal scale keels,lower tail scales,apical pits,pileus color,eye-nostril distance,snout scales,tail size,snout-vent length,head width,orbital diameter,tympanum size,preocular scale,ventrals,caudal vertebrae,anal plate,flank scales,max SVL,supraoculars-supraciliaries scales,occipitals,gular scales,mesoptychial scales,postbrachials,interparietals-base of tail scales,prefrontal scales,nasal,nostrils,loreal,preocular,mental scale,subcaudals,infralabial size,body bands
Abronia anzuetoi, distinctive spinelike supra-auricular scales in subadults and adults, unexpanded supranasals, a median frontonasal scale, although about twice the length of anterior internasals, discrete canthals, the lower two contacting the postoculars, usually no parietal-median supraocular contact, a single occipital, posterolateral head scales not knoblike, similar in length to other scales in series, which is the posteriormost scale in this series to reach the orbit, at least three rows of granular preauriculars, postmental divided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia aurita,, unexpanded supranasals,, posterior internasals not greatly enlarged, discrete canthals, primary temporals, usually no parietal-median supraocular contact, a single occipital, posterolateral head scales not knoblike, similar in length to other scales in series,,, but most frequently single,distinctive spinelike supra-auricular scales in subadults and adults, usually not contacting frontal, the lower two contacting the postoculars, which is the posteriormost scale in this series to reach the orbit, usually disposed in 3-4 rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia deppii,, supranasals not expanded and not in contact at dorsal midline,, posterior internasals almost twice as long as anterior internasals, no canthals, three anterior temporals in each side,, single occipital, posterior head scales weakly developed knob-like,,,, two postmentals,,,,, preauricular scales slightly enlarged and in one row,fifth row of temporal scales absent, well-clawed limbs, reduced lateral fold, having no indication of spines, frontonasal usually in contact with frontal, parietal separated from supraoculars, anterior supercilliary not contacting the cantholoreal, posterior suboccular separated from the lower primary temporal by the penultimate scale in the supralabial series, posterior infralabials elongated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia fimbriata,, expanded supranasals meeting at midline,, posterior internasals relatively large through fusion with canthals, these apparently fused with posterior internasals,,, a single occipital, posterolateral head scales not knoblike, similar in length to other scales in series,,,,distinctive spinelike supra-auricular scales in subadults and adults,, the lower two contacting postoculars,,,,,,, frontonasal absent, parietals usually in contact with the median supraoculars,,,, primary temporals, which is the posteriormost scale in this series to reach the orbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia gaiophantasma,,, not contacting frontal, only slightly larger than the anterior internasals,, contacting the postoculars,,, two or occasionally three incomplete rows of subimbricate preauricular scales,,,, postmental single or divided,,,,,,,,,,, parietal not in contact with median supraoculars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia leurolepis, nonimbricate and in three rows, unexpanded supranasals, anterior superciliary contacting cantholoreal, posterior internasals not greatly enlarged, canthals meeting at the midline, three primary temporals, narrow parietal-median supraocular contact on one side, a single large occipital, posterolateral head scales not knoblike,,,, postmental single,,,, posterior subocular broadly separated from the lower primary temporal by the antepenultimate supralabial,,,,,,,,,, posteriormost infralabial elongate,,, six longitudinal nuchal scale rows, 31 dorsal transverse scale rows, 14 dorsal longitudinal scale rows arranged parallel to ventrolateral fold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia matudai,,, not contacting frontal, but not contacting each other at the dorsal midline,, occasionally three or four,,, the posteriormost scale in this series to reach the orbit,,,,,,,,,,,,,,, Parietal contacting median supraoculars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia meledona,,, usually not contacting frontal, Posterior internasals not greatly enlarged,, Posterior subocular broadly separated from the lower primary temporal by the penultimate supralabial,,, Granular preauricular scales in about three rows,,,, Postmental single,,,,,,,,,,, Parietal usually contacting median supraoculars,,, usually about twice as long as preceding infralabials,,, Longitudinal nuchal scales in six rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia smithi,, unexpanded supranasals,, posterior internasals not greatly enlarged, discrete canthals,, no parietal-median supraocular contact, a single occipital, posterolateral head scales not knoblike, anterior superciliary contacting cantholoreal or not,,, postmental divided or single,distinctive spinelike supra-auricular scales in subadults and adults, not contacting frontal,,, usually imbricate or subimbricate,,,,,,,,, posterior infralabial not elongate,, the posteriormost scale in this series to reach the orbit,,,, contacting the postoculars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthodactylus busacki,,,,,, upper temporals small and pointed whereas the lower temporals are large and smooth,,,,,,,,,,, subocular with a distinct keel located between the fourth and fifth upper labials and not contacting the lip,,,,,,,,,,,,,,, dorsal scales are pointed and smooth,, 13-27 granules around the supraoculars, 8-11 collar scales, 29-34 transverse rows of ventral scales, 20-26 femoral pores on each side, with 16-23 lamellae underneath the fourth toe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
