Species,
Amphisbaena innocens,"size, postgenials, precloacal pores, nasal suture, temporal, color."
Amphisbaena leeseri,"postrostral head shields, midventral segments, precloacal pores, body annuli, caudal annuli, autotomy constriction, dorsal segments, ventral segments, pre-cloacal segments, color, intersegmental raphes."
Amphisbaena leucocephala,"maxillary teeth, mandibular teeth, head, eye, nostril, loreal, body, dorsal scales, precloacal pores, lateral sulci"
Amphisbaena lumbricalis,"prefrontals, frontals, parietals, nasals, upper labials, ocular, postocular, lower labials, postsymphysial, lateral genials, anterior medial genials, second row of medial genials, postgenials, ventral sulci, dorsal sulci, lateral sulci, pores, preanal flap, dorsal parts, ventral parts, underside of tail."
Amphisbaena munoai,"rounded head, smooth segments, precloacal pores, body annuli, postmalar shields, caudal annuli, caudal autotomy, midbody annulus, post-malar row, coloration, scales."
Boa constrictor,"ventral scales, head, subcaudals, midbody scale rows, tail, hemipenis, dorsal body blotches, longitudinal mid-dorsal band, coloration, ventral count, middorsal scale rows, subcaudals, dorsal body saddles, color patterns."
Eunectes beniensis,"scales, teeth, head, eye, nostril, loreal, body"
Ornithuroscincus nototaenia,"snout, lower eyelid, ear-opening, nostril, frontonasal, frontal, supraoculars, supraciliaries, frontoparietals, interparietal, parietals, temporals, nuchals, upper labial, scales, vertebral series, axilla, groin, praeanals, tail, limbs, digits, lamellae, coloration, size"
Ungaliophis continentalis,"prefrontal, nasals, loreal, preocular, postoculars, supralabials, infralabials, mental, chin shields, cephalic scales, dorsal scales, ventral scales, subcaudals, anal plate, tail, premaxilla, maxillae, palatine, pterygoid, dentary, hemipenes, sulcus spermaticus"
Ungaliophis panamensis,"scales, color, venter, rostral, prefrontal, supraoculars, supralabials, maxillary teeth"
Bitis atropos,"head scaling, keeled, outermost row of scales, khaki to reddish brown."
Bitis rubida,"horns, scutellation, ventral scale counts, circumorbitals, msr, supraorbital ridge, colouration."
Montatheris hindii,"skull, head, rostral, microornamentation, vomerine process, palatine-pterygoid articulation, intra-pulmonary bronchus, hemipenis, postorbital bone, splenial, snout, circumocular scales, intemasals, supralabials, infralabials, mental, interocunasals, interorbitals, ventrals, anal, subcaudals."
Mixcoatlus melanurus,"subcaudals, supralabials, scales, ventrals, rows, horn, groove, nasal, pit, canthals, infralabials, mental, chinshields, dorsals, anal, color, variation, comparisons."
Ophryacus undulatus,"preoculars, supraoculars, supralabials, infralabials, scales, frontals, post-frontals, parietals, pro-otics, ectopterygoids, palatines, pterygoids, dentaries, maxillaries, splenials, angulars, haemapophyses, zig-zag pattern, ground colour, mottling, speckling."
Python anchietae,"preoculars, postoculars, supraoculars, suboculars, perioculars, interoculars, upper labials, lower labials, dorsal scales, ventrals, subcaudals, cloacal scale."
Python curtus,"body, head, eye, nostril, loreal, dorsal scales, subcaudals, chin, belly"
Python molurus,"maxillary, palatine, pterygoid, supratemporal, teeth, coronoid, pelvis, legs, scales, labials, head, snout, upper lip, eye, tongue, ventral, anal, subcaudals"
Python natalensis,"preoculars, postoculars, supraoculars, suboculars, perioculars, interoculars, upper labials, lower labials, ventrals."
Python regius,"dorsal coloration, preoculars, postoculars, supraoculars, suboculars, upper labials, lower labials, dorsal scales, ventrals, subcaudals, cloacal scale."
