Family,Category,Count
Amphisbaenidae,size,1
Amphisbaenidae,postgenials,2
Amphisbaenidae,precloacal pores,4
Amphisbaenidae,nasal suture,1
Amphisbaenidae,temporal,1
Amphisbaenidae,color.,1
Amphisbaenidae,postrostral head shields,1
Amphisbaenidae,midventral segments,1
Amphisbaenidae,body annuli,2
Amphisbaenidae,caudal annuli,2
Amphisbaenidae,autotomy constriction,1
Amphisbaenidae,dorsal segments,1
Amphisbaenidae,ventral segments,1
Amphisbaenidae,pre-cloacal segments,1
Amphisbaenidae,color,1
Amphisbaenidae,intersegmental raphes.,1
Amphisbaenidae,maxillary teeth,1
Amphisbaenidae,mandibular teeth,1
Amphisbaenidae,head,1
Amphisbaenidae,eye,1
Amphisbaenidae,nostril,1
Amphisbaenidae,loreal,1
Amphisbaenidae,body,1
Amphisbaenidae,dorsal scales,1
Amphisbaenidae,lateral sulci,2
Amphisbaenidae,prefrontals,1
Amphisbaenidae,frontals,1
Amphisbaenidae,parietals,1
Amphisbaenidae,nasals,1
Amphisbaenidae,upper labials,1
Amphisbaenidae,ocular,1
Amphisbaenidae,postocular,1
Amphisbaenidae,lower labials,1
Amphisbaenidae,postsymphysial,1
Amphisbaenidae,lateral genials,1
Amphisbaenidae,anterior medial genials,1
Amphisbaenidae,second row of medial genials,1
Amphisbaenidae,ventral sulci,1
Amphisbaenidae,dorsal sulci,1
Amphisbaenidae,pores,1
Amphisbaenidae,preanal flap,1
Amphisbaenidae,dorsal parts,1
Amphisbaenidae,ventral parts,1
Amphisbaenidae,underside of tail.,1
Amphisbaenidae,rounded head,1
Amphisbaenidae,smooth segments,1
Amphisbaenidae,postmalar shields,1
Amphisbaenidae,caudal autotomy,1
Amphisbaenidae,midbody annulus,1
Amphisbaenidae,post-malar row,1
Amphisbaenidae,coloration,1
Amphisbaenidae,scales.,1
