Family,Category,Count
Boidae,ventral scales,2
Boidae,head,2
Boidae,subcaudals,3
Boidae,midbody scale rows,1
Boidae,tail,2
Boidae,hemipenis,1
Boidae,dorsal body blotches,1
Boidae,longitudinal mid-dorsal band,1
Boidae,coloration,1
Boidae,ventral count,1
Boidae,middorsal scale rows,1
Boidae,dorsal body saddles,1
Boidae,color patterns.,1
Boidae,scales,2
Boidae,teeth,1
Boidae,eye,1
Boidae,nostril,1
Boidae,loreal,2
Boidae,body,1
Boidae,prefrontal,2
Boidae,nasals,1
Boidae,preocular,1
Boidae,postoculars,1
Boidae,supralabials,2
Boidae,infralabials,1
Boidae,mental,1
Boidae,chin shields,1
Boidae,cephalic scales,1
Boidae,dorsal scales,1
Boidae,anal plate,1
Boidae,premaxilla,1
Boidae,maxillae,1
Boidae,palatine,1
Boidae,pterygoid,1
Boidae,dentary,1
Boidae,hemipenes,1
Boidae,sulcus spermaticus,1
Boidae,color,1
Boidae,venter,1
Boidae,rostral,1
Boidae,supraoculars,1
Boidae,maxillary teeth,1
