Family,Category,Count
Pythonidae,preoculars,3
Pythonidae,postoculars,3
Pythonidae,supraoculars,3
Pythonidae,suboculars,3
Pythonidae,perioculars,2
Pythonidae,interoculars,2
Pythonidae,upper labials,3
Pythonidae,lower labials,3
Pythonidae,dorsal scales,3
Pythonidae,ventrals,2
Pythonidae,subcaudals,4
Pythonidae,cloacal scale.,2
Pythonidae,body,1
Pythonidae,head,2
Pythonidae,eye,2
Pythonidae,nostril,1
Pythonidae,loreal,1
Pythonidae,chin,1
Pythonidae,belly,1
Pythonidae,maxillary,1
Pythonidae,palatine,1
Pythonidae,pterygoid,1
Pythonidae,supratemporal,1
Pythonidae,teeth,1
Pythonidae,coronoid,1
Pythonidae,pelvis,1
Pythonidae,legs,1
Pythonidae,scales,1
Pythonidae,labials,1
Pythonidae,snout,1
Pythonidae,upper lip,1
Pythonidae,tongue,1
Pythonidae,ventral,1
Pythonidae,anal,1
Pythonidae,ventrals.,1
Pythonidae,dorsal coloration,1
