Family,Category,Count
Viperidae,head scaling,1
Viperidae,keeled,1
Viperidae,outermost row of scales,1
Viperidae,khaki to reddish brown.,1
Viperidae,horns,1
Viperidae,scutellation,1
Viperidae,ventral scale counts,1
Viperidae,circumorbitals,1
Viperidae,msr,1
Viperidae,supraorbital ridge,1
Viperidae,colouration.,1
Viperidae,skull,1
Viperidae,head,1
Viperidae,rostral,1
Viperidae,microornamentation,1
Viperidae,vomerine process,1
Viperidae,palatine-pterygoid articulation,1
Viperidae,intra-pulmonary bronchus,1
Viperidae,hemipenis,1
Viperidae,postorbital bone,1
Viperidae,splenial,1
Viperidae,snout,1
Viperidae,circumocular scales,1
Viperidae,intemasals,1
Viperidae,supralabials,3
Viperidae,infralabials,3
Viperidae,mental,2
Viperidae,interocunasals,1
Viperidae,interorbitals,1
Viperidae,ventrals,2
Viperidae,anal,2
Viperidae,subcaudals.,1
Viperidae,subcaudals,1
Viperidae,scales,2
Viperidae,rows,1
Viperidae,horn,1
Viperidae,groove,1
Viperidae,nasal,1
Viperidae,pit,1
Viperidae,canthals,1
Viperidae,chinshields,1
Viperidae,dorsals,1
Viperidae,color,1
Viperidae,variation,1
Viperidae,comparisons.,1
Viperidae,preoculars,1
Viperidae,supraoculars,1
Viperidae,frontals,1
Viperidae,post-frontals,1
Viperidae,parietals,1
Viperidae,pro-otics,1
Viperidae,ectopterygoids,1
Viperidae,palatines,1
Viperidae,pterygoids,1
Viperidae,dentaries,1
Viperidae,maxillaries,1
Viperidae,splenials,1
Viperidae,angulars,1
Viperidae,haemapophyses,1
Viperidae,zig-zag pattern,1
Viperidae,ground colour,1
Viperidae,mottling,1
Viperidae,speckling.,1
