family,trait,count
amphisbaenidae,form,3
amphisbaenidae,head segments,2
amphisbaenidae,adult color,1
amphisbaenidae,segments to a midbody annulus,8
amphisbaenidae,caudal autotomy constriction,2
amphisbaenidae,body annuli,169
amphisbaenidae,caudal annuli,114
amphisbaenidae,segments per midbody annulus,2
amphisbaenidae,precloacal pores,94
amphisbaenidae,preserved specimen color,1
amphisbaenidae,rostral,50
amphisbaenidae,cephalic shields,1
amphisbaenidae,supralabials,52
amphisbaenidae,infralabials,43
amphisbaenidae,temporal (postocular) segments,1
amphisbaenidae,mental,39
amphisbaenidae,postmental,25
amphisbaenidae,postgenial row segment,1
amphisbaenidae,postmalars,9
amphisbaenidae,snout,58
amphisbaenidae,temporal muscles,1
amphisbaenidae,dorsal half-annuli,4
amphisbaenidae,the first body annulus,1
amphisbaenidae,ventral groove,1
amphisbaenidae,lateral grooves,1
amphisbaenidae,dorsal segments,55
amphisbaenidae,ventral segments,52
amphisbaenidae,precloacals,3
amphisbaenidae,postcloacals,5
amphisbaenidae,cloaca,1
amphisbaenidae,tail,98
amphisbaenidae,total length,21
amphisbaenidae,preanal pores,44
amphisbaenidae,tail annuli,37
amphisbaenidae,autotomy level,7
amphisbaenidae,segments to a mid-body annulus,1
amphisbaenidae,body shape,4
amphisbaenidae,tail shape,17
amphisbaenidae,medio-ventral segments,1
amphisbaenidae,preanal scales,4
amphisbaenidae,autotomy constriction,20
amphisbaenidae,back color,1
amphisbaenidae,belly appearance,1
amphisbaenidae,ventral aspect of the tail,1
amphisbaenidae,"rostral, nasals, upper labials and chin region",1
amphisbaenidae,postrostral head shields,4
amphisbaenidae,head,50
amphisbaenidae,living specimens' color,1
amphisbaenidae,ventral segments to a midbody annulus,5
amphisbaenidae,body color,4
amphisbaenidae,"ventral part of the supralabials, and the middle of the chin shields",1
amphisbaenidae,ocular,38
amphisbaenidae,the eye,1
amphisbaenidae,cloacal region,6
amphisbaenidae,section,1
amphisbaenidae,middorsal segments,5
amphisbaenidae,midventral segments,7
amphisbaenidae,midbody annulus segments,5
amphisbaenidae,upper labiais,1
amphisbaenidae,lower labiais,1
amphisbaenidae,species size,4
amphisbaenidae,body length,2
amphisbaenidae,head shape,13
amphisbaenidae,nasal scales,1
amphisbaenidae,frontals,22
amphisbaenidae,tail tip,12
amphisbaenidae,coloration,11
amphisbaenidae,svl,14
amphisbaenidae,dorsal segments/midbody annulus,17
amphisbaenidae,ventral segments/midbody annulus,17
amphisbaenidae,rows of postgenials,15
amphisbaenidae,nasal suture,11
amphisbaenidae,dorsum color,19
amphisbaenidae,upper surface of head and tail,1
amphisbaenidae,rectangular centers of each segment,1
amphisbaenidae,general appearance,1
amphisbaenidae,dorsal color,32
amphisbaenidae,chin and venter,1
amphisbaenidae,light-colored segments,1
amphisbaenidae,dorsal segments per midbody annulus,4
amphisbaenidae,ventral segments per midbody annulus,4
amphisbaenidae,postgenial rows of chin shields,1
amphisbaenidae,anillos del cuerpo (body rings),1
amphisbaenidae,anillos de la cola (tail rings),1
amphisbaenidae,escamas alrededor de un anillo del medio del cuerpo (scales around the middle body ring),1
amphisbaenidae,escamas dorsales (dorsal scales),1
amphisbaenidae,escamas ventrales (ventral scales),1
amphisbaenidae,cabeza (head color),1
amphisbaenidae,number of scales around the middle body of a. boliviana,1
amphisbaenidae,número de anillos corporales (number of body rings),1
amphisbaenidae,caudal autotomy,16
amphisbaenidae,rows of postmalar chin shields,1
amphisbaenidae,temporals,23
amphisbaenidae,rectangular centers of segments,1
amphisbaenidae,dorsum,4
amphisbaenidae,venter,2
amphisbaenidae,size,30
amphisbaenidae,autotomy annulus,9
amphisbaenidae,precloacal pores or pore scars,3
amphisbaenidae,ventral color,23
amphisbaenidae,segment pigmentation,1
amphisbaenidae,along sides,1
amphisbaenidae,nuchal band,1
amphisbaenidae,"meristic, size, and pattern characters",1
amphisbaenidae,head scales,6
amphisbaenidae,a. barbouri and a. carlgansi,1
amphisbaenidae,"body and caudal annuli, interfrontal/interprefrontal and intemasal/ interprefrontal ratios",1
amphisbaenidae,tail length/ svl,1
amphisbaenidae,total midbody segments,1
amphisbaenidae,lateral annuli,18
amphisbaenidae,total half-annular segments of head,1
amphisbaenidae,prefrontals,23
amphisbaenidae,parietals,37
amphisbaenidae,first supralabial,5
amphisbaenidae,second supralabial,5
amphisbaenidae,first infralabial,4
amphisbaenidae,second infralabial,5
amphisbaenidae,malar,2
amphisbaenidae,ventral coloration,3
amphisbaenidae,liead shields,1
amphisbaenidae,first parietals,4
amphisbaenidae,supra- and infralabials,2
amphisbaenidae,postgenial and postmalar rows,1
amphisbaenidae,caudal annuli from the cloaca to the conical caudal spine,1
amphisbaenidae,dorsal color of preserved specimens,1
amphisbaenidae,ventral color on the trunk,1
amphisbaenidae,"color of nape, parietal aspects of the head, and dorsal surface of the tail",1
amphisbaenidae,lightened area,1
amphisbaenidae,pigmentation,14
amphisbaenidae,chin configuration,2
amphisbaenidae,"""difference counts""",1
