family,trait,count
boidae,ventrals,15
boidae,enlarged ventral scales,1
boidae,scales on the top of the head,1
boidae,subcaudal scales,2
boidae,dorsal scales,6
boidae,adult size,1
boidae,male's tail and hemipenis,1
boidae,dorsal body bloches,1
boidae,longitudinal mid-dorsal band,1
boidae,head and body coloration,1
boidae,tail color in adults,1
boidae,red coloration on the tail,1
boidae,midbody scale rows,3
boidae,body pattern,1
boidae,head in adults,1
boidae,ventral count,1
boidae,tail,8
boidae,ventral coloration,1
boidae,middorsal scale rows,1
boidae,overall coloration,1
boidae,number of subcaudals,1
boidae,dorsal body saddles,1
boidae,snout,3
boidae,canthus,1
boidae,dorsal scale rows at midbody,7
boidae,"distinct, subrectangular, dark dorsal saddles",1
boidae,dorsal ground color,6
boidae,venter,8
boidae,subocular stripe,1
boidae,loreal stripe,1
boidae,chin and infralabials,1
boidae,facial stripes,1
boidae,mineralized internarial septum,1
boidae,postorbital and frontal,1
boidae,distal border of the optic foramen,1
boidae,anterior margin,1
boidae,apex of the coronoid,1
boidae,lateroventral ledge of the surangular,1
boidae,posterior trunk intercostal arteries,1
boidae,hemipenis,4
boidae,rostral,2
boidae,small shields,1
boidae,upper surface of the head,1
boidae,scales above the eye,1
boidae,scales across the forehead,1
boidae,upper labials,2
boidae,lower labials,2
boidae,scales,1
boidae,subcaudals,10
boidae,coloration,1
boidae,dark brown spots,1
boidae,oblique dark brown streak,1
boidae,lower parts,1
boidae,total length,1
boidae,shields between frontal and large rostral,1
boidae,azygous prefrontal,1
boidae,azygous shields,1
boidae,preocular,2
boidae,supraoculars,2
boidae,post-oculars,1
boidae,temporals in the first row,1
boidae,temporals in the second row,1
boidae,scale formula,1
boidae,claws at each corner of the base,1
boidae,general color,1
boidae,irregular markings,1
boidae,sides,1
boidae,tip of head and tail,1
boidae,white band around tail,1
boidae,iris,1
boidae,pupil,1
boidae,ventral scales,4
boidae,color,2
boidae,black dorsal markings,1
boidae,smaller white spots,1
boidae,venter color,5
boidae,females,1
boidae,spurs,1
boidae,midbody scale row counts,1
boidae,ventral scale row counts,1
boidae,individual color,1
boidae,dorsal black pattern,1
boidae,parallel black lines on the ventral scales,1
boidae,svl,4
boidae,supralabials,4
boidae,white spot,1
boidae,scales of 2nd row of dorsals,1
boidae,enlarged supraoculars,1
boidae, anterior scale rows,1
boidae,maximum scale rows,1
boidae,posterior scale rows,1
boidae,ventrals - subcaudals,1
boidae,tail/ total length ratio,1
boidae,lip/eye diameter ratio,1
boidae,dark blotches on sides,1
boidae,scales between enlarged supraoculars,1
boidae,minimum intersupraocular count,1
boidae,ventrals (tepedeleni),1
boidae,ventrals plus caudals (tepedeleni),1
boidae,ventrals - caudals (tepedeleni),1
boidae,caudals (tepedeleni),1
boidae,interorbitals (tepedeleni),1
boidae,anterior scale rows (tepedeleni),1
boidae,postrostrals (tepedeleni),1
boidae,internasals (tepedeleni),1
boidae,scales between internasals and postrostrals (tepedeleni),1
boidae,charina,1
boidae,head,4
boidae,eye,2
boidae,chin scales,1
boidae,anal plate,2
boidae,pelvic spurs,2
boidae,dorsum color,2
boidae,young color,1
boidae,sub-caudals,2
boidae,frontal plate,1
boidae,size,1
boidae,dorsal color,2
boidae,lichanura,1
boidae,circumocular ring,1
boidae,dorsal head scutes,1
boidae,"chin shields, mental groove",1
boidae,dorsal scale rows,4
boidae,ventrals number,1
boidae,pelvic spurs in males,1
boidae,hemipenis characteristics,1
boidae,longitudinal stripes,1
boidae,venter spots,1
boidae,appearance in young,1
boidae,gracia subspecies,1
boidae,gracia subspecies spotting,1
boidae,roseofusca subspecies,1
boidae,nasal contact,1
boidae,dorsal blotches,1
boidae,central area of dorsal blotches,1
boidae,infraloreals + loreals,1
boidae,anterior edge of splenial,1
boidae,coronoid,1
boidae,green dorsal ground color,1
boidae,enamel-white markings on the dorsum,1
boidae,dorsum,2
boidae,juveniles,1
boidae,scales on snout,1
boidae, mid-dorsal longitudinal stripe,1
boidae,lateral blotches,1
boidae,juvenile dorsal coloration,1
boidae,specimens svl,1
boidae,color variation,1
boidae,dorsal pattern,4
boidae,diamond-shape pattern,1
boidae,maximum number of dorsal scale rows,2
boidae,anterior teeth,1
boidae,labials and rostral,1
boidae,body,4
boidae,dorsals at midbody,1
boidae,anal,1
boidae,caudals,1
boidae,body+head,1
boidae,body color,1
boidae,belly color,1
boidae,ventral,1
boidae,black edges,1
boidae,nasals,1
boidae,prefrontal,1
boidae,mandibular,1
boidae,palatine,1
boidae,pterigoid,1
boidae,skull,1
boidae,shape of the main element in the dorsal pattern at midbody,1
boidae,corallus cropanii,1
boidae,corallus annulatus,1
boidae,corallus caninus,1
boidae,corallus hortulanus,1
boidae,corallus from st. vincent and the grenada bank,1
boidae,west indian corallus,1
boidae,corallus grenadensis,1
boidae,pattern variation in west indian populations,1
boidae,maximum svl,5
boidae,ventrals in males,6
boidae,ventrals in females,6
boidae,subcaudals in males,6
boidae,subcaudals in females,6
boidae,ventrals + subcaudals in males,6
boidae,ventrals + subcaudals in females,6
boidae,head scale formula,9
boidae,dorsal pattern (western cuba),1
boidae,lateral ocelli,1
boidae,lateral process of surangular,1
boidae,alary process of vomer,1
boidae,inverted hemipenis,1
boidae,dorsal scale rows on neck,5
boidae,midbody dorsal scale rows,1
boidae,tail blotches,5
boidae,middorsal blotches on body,1
boidae,blotches on tail,1
boidae,ventrolateral spots,1
boidae,head pattern,2
boidae,throat color,1
boidae,maximum svl (snout-vent-length),1
boidae,ventrals + subcaudals,2
boidae,body blotches,3
boidae,body blotches color,1
boidae,blotches,2
boidae,dorsal scale rows at neck,1
boidae,neck,1
boidae,size of males,1
boidae,size of females,1
boidae,unpaired subcaudal scales,1
boidae,infralabials,1
boidae,loreals,1
boidae,preoculars,1
boidae,postoculars,1
boidae,dark-brown body blotches,1
boidae,dark dorsal tail blotches,1
boidae,left hemipenis,1
boidae,patternless individuals,1
boidae,svl(maximum),1
boidae,svl of syntypes,1
boidae,scale rows on neck,1
boidae,ventrolateral blotches,1
boidae,chin and throat,1
boidae,posteriormost caudal blotches,1
boidae,blotches color,1
boidae,outline of blotches,1
boidae,ground color,1
boidae,blotches shape,1
boidae,blotches on lower sides,1
boidae,lateral neck stripe,1
boidae,upper side of tail blotches,1
boidae,tail color,1
boidae,venter markings,1
boidae,venter markings shape,1
boidae,dorsum at midbody,1
boidae,posterior of body and tail,1
boidae,head color,1
boidae,postorbital stripes,1
boidae,chin color,1
boidae,posterior half of body and tail,1
boidae,juvenile general color,1
boidae,juvenile anterior pattern,1
boidae,juvenile posterior pattern,1
boidae,juvenile venter color,1
boidae,ventral scale count,1
boidae,superior preocular scale,1
boidae,prefrontal contact,1
boidae,parietal scales,1
