family,trait,attribute,count
Pythonidae,dark blotches,"highly contrasted, large, with usually ragged edges",2
Pythonidae,body size,larger (max. SVL 1220 mm),1
Pythonidae,ventrals,higher number (249�280),1
Pythonidae,pattern,blotched,1
Pythonidae,blotches,more ragged edges,1
Pythonidae,prefrontal scales,never having less than four,2
Pythonidae,SVL,maximum recorded of 1220 mm,1
Pythonidae,tail length,Maximum recorded is 112 mm and on average 0.094 of the SVL,1
Pythonidae,head length,on average 0.036 of the SVL,1
Pythonidae,head width,on average 1.68 times the head width,1
Pythonidae,mid-body girth,"Maximum recorded is 140 mm, and on average 2.04 times thicker than the neck",1
Pythonidae,frontal scale,One large roughly hexagonal or pentagonal,1
Pythonidae,parietal scales,two,1
Pythonidae,supraocular,one large above each eye,2
Pythonidae,prefrontal scales,"four large, with sometimes one additional small scale between them",1
Pythonidae,supralabials,"9-12, with an average of 10.5",1
Pythonidae,infralabials,"11�14, with an average of 12.9",1
Pythonidae,heat pits,three to four,1
Pythonidae,preocular scales,"single, large, anteriorly pointed",1
Pythonidae,loreal scales,1�11 irregularly sized,1
Pythonidae,postocular scales,two to four,1
Pythonidae,Ventral scales,"transversally elongated shields, ranging in number from 249 to 280",1
Pythonidae,Anal scale,single (undivided),2
Pythonidae,Subcaudal scales,range from 37 to 46 with an average of 41.2,1
Pythonidae,Background colouration,"greyish brown, light sandy colour, and a more reddish ochre",1
Pythonidae,spots or blotches,"much darker, from chocolate brown to a reddish dark brown",1
Pythonidae,Spots,ragged edges and irregular in shape,1
Pythonidae,skin sheen,slightly iridescent,1
Pythonidae,body size,larger (max. SVL 1320 mm),1
Pythonidae,ventrals,higher number (252�287),1
Pythonidae,postocular scales,never having less than three,1
Pythonidae,Apodora papuana/Liasis olivaceus,large brown elongated,1
Pythonidae,ventral scales,high counts of,1
Pythonidae,A. papuana,"remarkable ability to change the colour of its head, eyes, and body",1
Pythonidae,neural spine on the vertebrae of the neck and body,low,1
Pythonidae,skin,darkly pigmented,1
Pythonidae,lining of the mouth and cloaca,darkly pigmented,1
Pythonidae,tongue,extremely long and deeply forked,1
Pythonidae,Apodora,easily slough skin,1
Pythonidae,Apodora,thermoreceptive pits in the rostral,1
Pythonidae,eggs (Apodora),relatively larger,1
Pythonidae,rostral,two times as broad as deep,1
Pythonidae,internasals,one time and a half as long as broad,1
Pythonidae,frontal,about one time and one fourth as long as broad,1
Pythonidae,loreal,large,1
Pythonidae,praeocular,a very small subocular below it,1
Pythonidae,upper labials,"eleven upper labials, first to third with a groove, fifth and sixth entering the eye",1
Pythonidae,lower labials,three posterior lower labials grooved,1
Pythonidae,scales,65 rows,1
Pythonidae,ventrals,375,1
Pythonidae,subcaudals,"86, of which the first four are paired, the next four single, 65 paired and 13 single",1
Pythonidae,color,brown above,1
Pythonidae,head,with dark dots,1
Pythonidae,lower surface,yellowish-white,1
Pythonidae,length of head and body,330 mm,1
Pythonidae,tail,220 mm,1
Pythonidae,size,attains a length of 2 M,1
Pythonidae,premaxillary teeth,absent,1
Pythonidae,subcaudals,majority single,1
Pythonidae,sensory pits,absent on labials and rostral,1
Pythonidae,head shields,symmetrical,1
Pythonidae,nasal,entire,1
Pythonidae,parietals,fragmented,1
Pythonidae,ventrals,273-359,1
Pythonidae,subcaudals,43-69,1
Pythonidae,Anal scale,entire,2
Pythonidae,midbody scale rows,43-63,1
Pythonidae,Dorsal scales,"smooth, moderately imbricate, apically rounded",1
Pythonidae,juveniles,strongly banded and compressed,1
