family,trait,count
viperidae,dorsal head shields,3
viperidae,anterior temporal,1
viperidae,posterior temporal,1
viperidae,suprarostral,3
viperidae,nasal shield,5
viperidae,subcutaneous nasal gland,1
viperidae,ectopterygoid,4
viperidae,palatine-pterygoid articulation,3
viperidae,subcaudals,102
viperidae,parietal,1
viperidae,postorbital,2
viperidae,angular,3
viperidae,top of head,1
viperidae,nasal,12
viperidae,nostril,14
viperidae,eye,21
viperidae,temporals,8
viperidae,supralabials,97
viperidae,infralabials,54
viperidae,sublinguals,5
viperidae,gulars,5
viperidae,proximal ventral scute,1
viperidae,dorsal scales,52
viperidae,ventrals,104
viperidae,anal,10
viperidae,deep black color,1
viperidae,white spots,2
viperidae,transverse bands,3
viperidae,belly,15
viperidae,yellow line,2
viperidae,upper labials,20
viperidae,rostral,28
viperidae,scales,30
viperidae,specimen length,2
viperidae,a. contortrix,1
viperidae,average adult size,2
viperidae,maximum size,3
viperidae,ratio of tail to total length in males,1
viperidae,ratio of tail to total length in females,1
viperidae,anal plate,11
viperidae,midbody scale rows,8
viperidae,subcaudals in males,13
viperidae,subcaudals in females,13
viperidae,ventral scales,42
viperidae,total postoculars + suboculars,3
viperidae,dark crossbands on males,1
viperidae,background color on males,1
viperidae,dark crossbands on females,1
viperidae,cross-bands shape,1
viperidae,crossbands,3
viperidae,head color,14
viperidae,cheek stripe,4
viperidae,northern cottonmouth,1
viperidae,ratio of tail to total length,2
viperidae,postoculars + suboculars,1
viperidae,dark cross-bands,1
viperidae,background color,4
viperidae,vertical rostral stripes,1
viperidae,dark cheek stripe,1
viperidae,pentagonal rostral shield,1
viperidae,frontal shield,2
viperidae,interorbitals,3
viperidae,mid-dorsal scales,3
viperidae,dorsal color,15
viperidae,markings on back of head,1
viperidae,stripe from eye along lower temporals,1
viperidae,blotches on tail,1
viperidae,interstitial skin,5
viperidae,eye color,11
viperidae,ventrum color,3
viperidae,körperbau,1
viperidae,kopf,1
viperidae,schnauzenkante,1
viperidae,schuppen über jedem auge,1
viperidae,schuppenformel,1
viperidae,supralabialen,1
viperidae,sublabialen,1
viperidae,schuppe in einer querreihe zwischen den hörnern,1
viperidae,rinnenschilder,1
viperidae,gularenreihen,1
viperidae,rumpfschuppen,1
viperidae,schildehen,1
viperidae,farbe oben,1
viperidae,farbe unten,1
viperidae,totallänge,1
viperidae,schwanzlänge,1
viperidae,rumpfdicke,1
viperidae,rumpfhöhe,1
viperidae,kopflänge,1
viperidae,kopfbreite,1
viperidae,länge der supraorbitalhörner,1
viperidae,habitus,1
viperidae,body,30
viperidae,ventral and subcaudal counts,1
viperidae,head,54
viperidae,dorsal head scales,6
viperidae,suprarostrals,5
viperidae,transverse dorsal scale rows,1
viperidae,intra-pulmonary bronchus,1
viperidae,internasals,47
viperidae,nasals,5
viperidae,headshields,1
viperidae,interorbital scales,2
viperidae,circumorbitals,3
viperidae,mental,3
viperidae,dorsals,6
viperidae,vertebral markings,1
viperidae,tail tip color,2
viperidae,coloration,9
viperidae,black arrowhead marking,1
viperidae,black lateral stripe,1
viperidae,black dorsal blotches,1
viperidae,tail tip,2
viperidae,juvenile color,2
viperidae,juvenile tail tip,1
viperidae,vertiefung,1
viperidae,schuppen,1
viperidae,vorderen zähne,1
viperidae,anterior scale rows,2
viperidae,type,1
viperidae,caudals,8
viperidae,supraoculars,50
viperidae,interoculars,2
viperidae,subfoveal rows,1
viperidae,total length,34
viperidae,dorsal coloration,5
viperidae,lateral blotches along flank,1
viperidae,posterior-lateral eye stripe,1
viperidae,nasorostrals,2
viperidae,midbody dorsal scale rows,10
viperidae,choanal process on the palatine,1
viperidae,oviparity,1
viperidae,head scales,12
viperidae,loreal shield,1
viperidae,color,8
viperidae,total length males,4
viperidae,total length females,4
viperidae,tail length males,4
viperidae,tail length females,4
viperidae,ventral surface,3
viperidae,pterygoideum,2
viperidae,angulare,2
viperidae,dentale,2
viperidae,quadratum,2
viperidae,trunk vertebrae,2
viperidae,caudal vertebrae,2
viperidae,head scaling,1
viperidae,outermost row of scales on body,1
viperidae,body color,8
viperidae,size,31
viperidae,elongate scales,1
viperidae,dorsal colouration,3
viperidae,scutellation,1
viperidae,asr (an interspecific morphological characteristics),1
viperidae,ventral scale counts (males),1
viperidae,ventral scale counts (females),1
viperidae,supraorbital ridge,1
viperidae,ventral scale counts in both sexes,1
viperidae,msr,9
viperidae,dorsal blotches,13
viperidae,supraorbital 'horns',1
viperidae,colour pattern,5
viperidae,ventral scale counts,5
viperidae,subcaudal counts,2
viperidae,'horns',3
viperidae,colouration,1
viperidae,tails (male),1
viperidae,hemipenes,33
viperidae,ventralia,4
viperidae,body shape,11
viperidae,tail,76
viperidae,scales around the eye,3
viperidae,scales above the eye,1
viperidae,between the eye and the supralabials,1
viperidae,sublabials,4
viperidae,chin shields,1
viperidae,side color,1
viperidae,belly side color,1
viperidae,head + trunk,1
viperidae,lacunolabial,11
viperidae,dorsal keels,10
viperidae,infralabials and gulars,5
viperidae,cream round or c-shaped marks,1
viperidae,canthorostrals,11
viperidae,loreal,20
viperidae,canthals,21
viperidae,postocular stripe,31
viperidae,dorsum color,16
viperidae,dorsal bands,3
viperidae,paraventral stripe,1
viperidae,dorsum,14
viperidae,dorsal surface of head,2
viperidae,row of paraventral spots,1
viperidae,venter,23
viperidae,intersupraoculars,16
viperidae,prelacunal,9
viperidae,ventrals in males,6
viperidae,ventrals in females,7
viperidae,rhinocerophis,3
viperidae,gular scales,4
viperidae,prelacunal scale,2
viperidae,rhinocerophis species,1
viperidae,rhinocerophis itapetiningae,1
viperidae,rhinocerophis ammodytoides,1
viperidae,pattern of subtriangular blotches or french telephone-shaped marks,1
viperidae,black edging of dorsal blotches,1
viperidae,specimens reviewed,1
viperidae,figures on back,1
viperidae,clear borders,1
viperidae,lower mouth area,1
viperidae,male size,3
viperidae,female size,3
viperidae,juvenile males tail tip,1
viperidae,base of tail at cloaca in males,1
viperidae,supralabial scales,9
viperidae,infralabial scales,4
viperidae,loreal scale,1
viperidae,preocular scales,1
viperidae,postocular scales,1
viperidae,dorsal scales at midbody,7
viperidae,subcaudal scales,21
viperidae,dark stripe,1
viperidae,termo-receptors,1
viperidae,mental scale,3
viperidae,rostral scale,8
viperidae,genial scales,2
viperidae,infralabials and gulars pigmentation,1
viperidae,postocular stripes,5
viperidae,venter of b. atrox,1
viperidae,young tail,1
viperidae,aging tail,1
viperidae,t. barnetti,1
viperidae,terminal scute of the tail,1
viperidae,labials,8
viperidae,lower labials,1
viperidae,rows of scales,3
viperidae,tendency of serpent's color,1
viperidae,brown blotches,1
viperidae,belly color,6
viperidae,individuals' color varies,1
viperidae,sub-caudal scales,2
viperidae,intersupraocular scales,3
viperidae,ventral color,7
viperidae,post-ocular stripe,2
viperidae,head pattern,2
viperidae,large dark brown spot,1
viperidae,form,2
viperidae,tl,9
viperidae,color pattern,8
viperidae,dorsal ground color,2
viperidae,occipital area,1
viperidae,postorbital stripe,12
viperidae,iris color,9
viperidae,tongue color,3
viperidae,dorsal pattern,7
viperidae,the configuration of each dorsal marking,1
viperidae,tail pattern,2
viperidae,venter color,11
viperidae,infralabiais,1
viperidae,interoculabials,5
viperidae,bothrops,3
viperidae,bothrops species,1
viperidae,b. moojeni and b. jararacussu,1
viperidae,b. brazili and b. sanctaecrucis,1
viperidae,bothriopsis and bothrops,1
viperidae,bothrops osbornei and bothrops punctatus,1
viperidae,infralabials and some gulars,1
viperidae,scales between internasals,1
viperidae,pattern of bands,1
viperidae,dorsum pattern,5
viperidae,wavy occipital stripe,1
viperidae,bothropoides,1
viperidae,habitat,1
viperidae,interrictals,10
viperidae,posterior dorsal scales,1
viperidae,dorsolateral blotches,9
viperidae,occipital blotches,3
viperidae,postcephalic stripes,5
viperidae,dorsolateral blotches of the trunk,2
viperidae,"venter, labials, and chin",1
viperidae,tail color,18
viperidae,head shape,11
viperidae,neck,3
viperidae,snout,36
viperidae,eyes,12
viperidae,pupil,7
viperidae,hornlike scale above each eye,1
viperidae,scales on upper head,1
viperidae,nostrils,1
viperidae,suboculars row,1
viperidae,rows of dorsal scales at midbody,1
viperidae,lateral scales,4
viperidae,basic colour of the upper side,1
viperidae,darker markings,1
viperidae,tail-tip,1
viperidae,sexual dimorphism,3
viperidae,interocular scales,3
viperidae,horn,1
viperidae,ventrals - male,1
viperidae,ventrals - female,1
viperidae,enlarged supranasal,1
viperidae,the scale bordering the supranasal anteriorly,1
viperidae,cluster of enlarged scales on the mid-occipital region,1
viperidae,tail / total length,1
viperidae,eye & supralabials distance,1
viperidae,scales on dorsal side of head,1
viperidae,tail color and length,1
viperidae,female tail,1
viperidae,male tail,1
viperidae,animals from the western mediterranean coastal plain,1
viperidae,ventrals and supralabials,1
viperidae,preoculars,16
viperidae,supraocular above eye,1
viperidae,canthals and internasals,1
viperidae,crown of head,2
viperidae,keeling in parietal area,1
viperidae,second supralabial,3
viperidae,supralabial and subocular series,1
viperidae,middorsal dorsal scale rows,1
viperidae,mid-dorsal scales at midbody,1
viperidae,undivided subcaudals,5
viperidae,tail spine,3
