trait,count
adult lengths,1
anal,4
anal scale,1
anterior ones of both jaws,1
anterior parietals,1
anterior praefrontals,1
anterior prefrontals,1
anterior teeth,1
anterior temporals,1
anterior third of the body,1
arrow-shaped mark on head,1
average hl/hw,1
average hl/svl,1
average tl/svl,1
belly,4
black stripe,1
blotched pattern,1
blotches,2
body,6
body length,1
body size,3
both jaws,1
broad transverse black-edged patches,1
broken pattern,1
chin,2
cloacal scale,3
cloacal spurs,6
color,1
color pattern,1
